contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),CDA,Stadspartij Den Helder,ChristenUnie,GROENLINKS,Behoorlijk Bestuur,Helder Onafhankelijk!,Vrije Socialisten
,Den Helder,GR2014_DenHelder,Gemeenteraad Den Helder 2014,0400,Den Helder,2014-03-19,"Stembureau ""Bethelkerk""",0400::SB1,,1747,787,2,5,0,1,0,726,69,0,0,0,1,0,0,795,81,100,52,66,223,38,68,27,96,36
,Den Helder,GR2014_DenHelder,Gemeenteraad Den Helder 2014,0400,Den Helder,2014-03-19,"Stembureau ""Bethelkerk""",0400::SB2,,1555,683,11,2,0,0,0,633,63,0,0,0,0,0,0,696,84,78,43,61,190,50,39,45,57,36
,Den Helder,GR2014_DenHelder,Gemeenteraad Den Helder 2014,0400,Den Helder,2014-03-19,"Stembureau Buurthuis Centrum,",0400::SB3,,1427,594,2,2,0,0,0,530,68,0,0,0,0,0,0,598,58,68,32,34,258,21,20,17,65,21
,Den Helder,GR2014_DenHelder,Gemeenteraad Den Helder 2014,0400,Den Helder,2014-03-19,"Stembureau Buurthuis "" 't Kraaienest""",0400::SB4,,2123,896,0,3,0,2,0,821,80,0,0,0,2,0,0,901,87,122,79,61,308,43,60,35,73,28
,Den Helder,GR2014_DenHelder,Gemeenteraad Den Helder 2014,0400,Den Helder,2014-03-19,"Stembureau ""Paviljoen van Toen"" (oude muziekkoepel)",0400::SB5,,1919,1183,4,4,0,1,0,1069,123,0,0,0,1,0,0,1192,215,157,72,138,310,64,68,45,81,33
,Den Helder,GR2014_DenHelder,Gemeenteraad Den Helder 2014,0400,Den Helder,2014-03-19,"Stembureau Buurtvereniging ""ELTO""",0400::SB6,,2502,927,3,6,0,0,0,846,90,0,0,0,0,0,0,936,97,90,87,79,331,56,37,28,91,31
,Den Helder,GR2014_DenHelder,Gemeenteraad Den Helder 2014,0400,Den Helder,2014-03-19,"Stembureau Buurthuis ""De Viskom""",0400::SB7,,1696,562,2,2,0,0,0,512,54,0,0,0,0,0,0,566,49,74,32,47,219,41,19,10,45,26
,Den Helder,GR2014_DenHelder,Gemeenteraad Den Helder 2014,0400,Den Helder,2014-03-19,"Stembureau Buurthuis ""De Overzet""",0400::SB8,,1432,607,1,1,0,0,0,559,50,0,0,0,0,0,0,609,65,78,46,60,205,46,17,21,51,18
,Den Helder,GR2014_DenHelder,Gemeenteraad Den Helder 2014,0400,Den Helder,2014-03-19,"Stembureau Dorpshuis Huisduinen,",0400::SB9,,401,314,2,1,1,0,0,283,33,0,0,1,0,0,0,316,64,47,13,30,85,19,24,18,10,4
,Den Helder,GR2014_DenHelder,Gemeenteraad Den Helder 2014,0400,Den Helder,2014-03-19,"Stembureau Zorgcentrum ""de Groene Vecht""",0400::SB10,,1023,434,1,1,0,0,0,389,47,0,0,0,0,0,0,436,63,48,30,58,125,27,19,18,37,9
