contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,OGP Midden-Delfland,VVD,Mijn Partij,Partij van de Arbeid (P.v.d.A.)
,Midden-Delfland,GR2014_MiddenDelfland,Gemeenteraad Midden-Delfland 2014,1842,Midden-Delfland,2014-03-19,Stembureau Dienstencentrum Korpershoek,1842::SB1,2636 JA,1609,787,3,2,0,5,0,695,102,0,0,0,5,0,0,797,224,157,114,253,39
,Midden-Delfland,GR2014_MiddenDelfland,Gemeenteraad Midden-Delfland 2014,1842,Midden-Delfland,2014-03-19,Stembureau De Dorpshoeve,1842::SB2,2636 GM,1628,1290,6,0,0,1,0,1145,152,0,0,0,1,0,0,1297,241,303,171,437,138
,Midden-Delfland,GR2014_MiddenDelfland,Gemeenteraad Midden-Delfland 2014,1842,Midden-Delfland,2014-03-19,Stembureau Dienstencentrum Kickerthoek,1842::SB3,2635 JM,1399,872,9,3,0,0,0,809,75,0,0,0,0,0,0,884,195,238,152,230,57
,Midden-Delfland,GR2014_MiddenDelfland,Gemeenteraad Midden-Delfland 2014,1842,Midden-Delfland,2014-03-19,Stembureau De Hoornbloem,1842::SB4,2635 HD,1483,1239,7,3,0,0,0,1083,166,0,0,0,0,0,0,1249,238,319,225,356,101
,Midden-Delfland,GR2014_MiddenDelfland,Gemeenteraad Midden-Delfland 2014,1842,Midden-Delfland,2014-03-19,Stembureau De Hoornbloem,1842::SB5,2635 HD,1442,1025,9,3,0,0,0,919,118,0,0,0,0,0,0,1037,214,263,177,260,111
,Midden-Delfland,GR2014_MiddenDelfland,Gemeenteraad Midden-Delfland 2014,1842,Midden-Delfland,2014-03-19,Stembureau Singelhof,1842::SB6,3155 AL,1719,1210,3,4,0,0,0,1077,140,0,0,0,0,0,0,1217,417,310,283,138,62
,Midden-Delfland,GR2014_MiddenDelfland,Gemeenteraad Midden-Delfland 2014,1842,Midden-Delfland,2014-03-19,Stembureau Gebouw voormalige bibliotheek,1842::SB7,3155 VZ,1754,1068,6,2,0,0,0,956,120,0,0,0,0,0,0,1076,389,269,229,141,40
,Midden-Delfland,GR2014_MiddenDelfland,Gemeenteraad Midden-Delfland 2014,1842,Midden-Delfland,2014-03-19,Stembureau De Oude Pastorie,1842::SB8,3155 AM,1634,971,7,1,0,0,0,860,119,0,0,0,0,0,0,979,353,234,212,125,47
,Midden-Delfland,GR2014_MiddenDelfland,Gemeenteraad Midden-Delfland 2014,1842,Midden-Delfland,2014-03-19,Stembureau WoonZorgCentrum Akkerleven,1842::SB9,2636 JJ,68,52,0,0,0,0,0,51,1,0,0,0,0,0,0,52,40,7,1,2,2
,Midden-Delfland,GR2014_MiddenDelfland,Gemeenteraad Midden-Delfland 2014,1842,Midden-Delfland,2014-03-19,Stembureau Combiwerk,1842::SB10,2635 DP,1487,303,1,0,0,0,0,259,45,0,0,0,0,0,0,304,58,69,72,82,22
