contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),CDA,GROENLINKS,Democraten 66 (D66),Liberaal Heemskerk,ChristenUnie/SGP,Heemskerk Lokaal
,Heemskerk,GR2014_Heemskerk,Gemeenteraad Heemskerk 2014,0396,Heemskerk,2014-03-19,Stembureau Woonzorgcentrum St. Agnes,0396::SB1,1962 GA,2060,826,8,6,0,0,0,766,74,0,0,0,0,0,0,840,140,160,87,99,129,40,171
,Heemskerk,GR2014_Heemskerk,Gemeenteraad Heemskerk 2014,0396,Heemskerk,2014-03-19,Stembureau Verpleeghuis Meerstate,0396::SB2,1962 AB,1825,1060,2,1,0,0,0,981,82,0,0,0,0,0,0,1063,150,223,120,173,158,21,215
,Heemskerk,GR2014_Heemskerk,Gemeenteraad Heemskerk 2014,0396,Heemskerk,2014-03-19,Stembureau RKBS de Otterkolken,0396::SB3,1963 AS,2013,937,3,2,0,0,0,842,100,0,0,0,0,0,0,942,130,127,125,158,150,36,211
,Heemskerk,GR2014_Heemskerk,Gemeenteraad Heemskerk 2014,0396,Heemskerk,2014-03-19,Stembureau OBS De Zevenhoeven,0396::SB4,1963 KH,1996,1000,3,3,0,0,0,926,80,0,0,0,0,0,0,1006,148,186,114,179,146,23,204
,Heemskerk,GR2014_Heemskerk,Gemeenteraad Heemskerk 2014,0396,Heemskerk,2014-03-19,Stembureau Kantine Brandweerkazerne,0396::SB5,1962 TG,1754,784,1,4,1,0,0,730,58,0,0,1,0,0,0,788,152,184,70,94,125,19,140
,Heemskerk,GR2014_Heemskerk,Gemeenteraad Heemskerk 2014,0396,Heemskerk,2014-03-19,Stembureau Buurthuis de Schuilhoek,0396::SB6,1962 TV,1737,702,0,6,0,0,0,657,51,0,0,0,0,0,0,708,95,183,71,93,115,24,121
,Heemskerk,GR2014_Heemskerk,Gemeenteraad Heemskerk 2014,0396,Heemskerk,2014-03-19,Stembureau Gemeentehuis,0396::SB7,1964 EZ,2274,1210,8,5,0,0,0,1125,98,0,0,0,0,0,0,1223,186,260,123,186,241,18,196
,Heemskerk,GR2014_Heemskerk,Gemeenteraad Heemskerk 2014,0396,Heemskerk,2014-03-19,Stembureau Woongroep van Ouderen Burisbeek,0396::SB8,1964 KT,1821,931,5,1,0,0,0,845,92,0,0,0,0,0,0,937,119,179,94,129,205,30,175
,Heemskerk,GR2014_Heemskerk,Gemeenteraad Heemskerk 2014,0396,Heemskerk,2014-03-19,Stembureau Verpleeghuis Heemswijk,0396::SB9,1964 RM,1831,847,3,0,0,1,0,761,90,0,0,0,1,0,0,851,122,162,76,130,164,20,173
,Heemskerk,GR2014_Heemskerk,Gemeenteraad Heemskerk 2014,0396,Heemskerk,2014-03-19,Stembureau Buurtcentrum D'Evelaer,0396::SB10,1969 MV,1415,683,2,1,0,0,0,614,72,0,0,0,0,0,0,686,62,214,39,106,148,5,109
,Heemskerk,GR2014_Heemskerk,Gemeenteraad Heemskerk 2014,0396,Heemskerk,2014-03-19,Stembureau Verzorgingshuis Westerheem,0396::SB11,1962 GA,2018,1048,4,4,0,0,0,966,90,0,0,0,0,0,0,1056,151,266,84,156,165,35,191
,Heemskerk,GR2014_Heemskerk,Gemeenteraad Heemskerk 2014,0396,Heemskerk,2014-03-19,Stembureau Anne Frankschool,0396::SB12,1964 BC,1688,907,2,7,0,0,0,840,76,0,0,0,0,0,0,916,122,181,95,170,160,15,164
,Heemskerk,GR2014_Heemskerk,Gemeenteraad Heemskerk 2014,0396,Heemskerk,2014-03-19,Stembureau De Harteheem,0396::SB13,1967 NM,1566,635,3,4,0,0,0,590,52,0,0,0,0,0,0,642,114,113,67,114,92,18,117
,Heemskerk,GR2014_Heemskerk,Gemeenteraad Heemskerk 2014,0396,Heemskerk,2014-03-19,Stembureau OBS 't Tweespan,0396::SB14,1966 XA,2063,1020,9,8,0,1,0,924,114,0,0,0,1,0,0,1038,193,181,106,118,172,29,221
,Heemskerk,GR2014_Heemskerk,Gemeenteraad Heemskerk 2014,0396,Heemskerk,2014-03-19,Stembureau RKB De Vlinder,0396::SB15,1966 VD,2271,771,3,7,0,0,0,719,61,0,0,1,0,0,0,780,159,117,99,84,109,31,172
,Heemskerk,GR2014_Heemskerk,Gemeenteraad Heemskerk 2014,0396,Heemskerk,2014-03-19,Stembureau Wijkcentrum Citadel,0396::SB16,1967 KD,1634,661,7,6,0,0,0,604,70,0,0,0,0,0,0,674,98,81,46,139,142,21,134
,Heemskerk,GR2014_Heemskerk,Gemeenteraad Heemskerk 2014,0396,Heemskerk,2014-03-19,Stembureau School De Bareel,0396::SB17,1967 EH,1498,727,1,1,0,0,0,648,81,0,0,0,0,0,0,729,88,103,85,149,140,16,146
