contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Sterk Meppel (SteM),VVD,Partij van de Arbeid (P.v.d.A.),CDA,Democraten 66 (D66),ChristenUnie,GROENLINKS,SP (Socialistische Partij)
,Meppel,GR2014_Meppel,Gemeenteraad Meppel 2014,0119,Meppel,2014-03-19,Stembureau Stadhuis,0119::SB1,,1493,1110,3,4,0,1,0,1031,87,0,0,0,1,0,0,1118,243,180,197,107,99,104,44,136
,Meppel,GR2014_Meppel,Gemeenteraad Meppel 2014,0119,Meppel,2014-03-19,Stembureau Cultureel Centrum de Plataan,0119::SB2,,1128,698,1,0,0,0,0,648,51,0,0,0,0,0,0,699,161,115,100,82,56,53,47,84
,Meppel,GR2014_Meppel,Gemeenteraad Meppel 2014,0119,Meppel,2014-03-19,Stembureau Oosterboerschool,0119::SB3,,1282,756,2,1,0,0,0,687,72,0,0,0,0,0,0,759,161,124,116,79,78,95,46,57
,Meppel,GR2014_Meppel,Gemeenteraad Meppel 2014,0119,Meppel,2014-03-19,Stembureau School de Toermalijn,0119::SB4,,1450,671,0,3,0,0,0,623,51,0,0,0,0,0,0,674,150,148,80,46,107,45,51,44
,Meppel,GR2014_Meppel,Gemeenteraad Meppel 2014,0119,Meppel,2014-03-19,Stembureau Wooncentrum Meeuwenborgh,0119::SB5,,580,306,0,1,0,0,0,288,19,0,0,0,0,0,0,307,89,31,45,15,17,26,17,66
,Meppel,GR2014_Meppel,Gemeenteraad Meppel 2014,0119,Meppel,2014-03-19,Stembureau Woon-zorgcentrum Irene,0119::SB6,,1304,714,1,0,0,0,0,659,56,0,0,0,0,0,0,715,123,159,81,114,99,54,49,35
,Meppel,GR2014_Meppel,Gemeenteraad Meppel 2014,0119,Meppel,2014-03-19,Stembureau Brandweerkazerne,0119::SB7,,1050,521,2,1,0,0,0,471,53,0,0,0,0,0,0,524,135,62,90,50,40,36,40,68
,Meppel,GR2014_Meppel,Gemeenteraad Meppel 2014,0119,Meppel,2014-03-19,Stembureau Anne Frankschool,0119::SB8,,1415,863,0,3,0,0,0,794,72,0,0,0,0,0,0,866,204,99,101,109,82,97,53,118
,Meppel,GR2014_Meppel,Gemeenteraad Meppel 2014,0119,Meppel,2014-03-19,Stembureau Beatrixschool,0119::SB9,,888,372,1,3,0,1,0,349,30,0,2,0,3,0,0,379,82,33,77,27,22,45,21,65
,Meppel,GR2014_Meppel,Gemeenteraad Meppel 2014,0119,Meppel,2014-03-19,Stembureau School de Woldstroom,0119::SB10,,872,457,6,0,0,0,0,426,37,0,0,0,0,0,0,463,112,42,92,19,36,48,34,74
