contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),ChristenUnie,VVD,Gemeentebelangen Slochteren,CDA,GROENLINKS/D66
,Slochteren,GR2014_Slochteren,Gemeenteraad Slochteren 2014,0040,Slochteren,2014-03-19,Stembureau Olderloug,0040::SB1,,1600,1042,8,8,0,0,0,947,111,0,0,0,0,0,0,1058,138,356,96,188,121,143
,Slochteren,GR2014_Slochteren,Gemeenteraad Slochteren 2014,0040,Slochteren,2014-03-19,Stembureau De Meent,0040::SB2,,1408,767,8,4,0,0,0,702,77,0,0,0,0,0,0,779,80,288,75,129,97,98
,Slochteren,GR2014_Slochteren,Gemeenteraad Slochteren 2014,0040,Slochteren,2014-03-19,Stembureau Ufkenshuis,0040::SB3,,1590,867,8,2,0,0,0,785,92,0,0,0,0,0,0,877,123,125,79,183,255,102
,Slochteren,GR2014_Slochteren,Gemeenteraad Slochteren 2014,0040,Slochteren,2014-03-19,Stembureau Plaaisterploats,0040::SB4,,406,233,4,0,0,0,0,205,32,0,0,0,0,0,0,237,33,34,30,53,33,50
,Slochteren,GR2014_Slochteren,Gemeenteraad Slochteren 2014,0040,Slochteren,2014-03-19,Stembureau De Pompel,0040::SB5,,495,243,9,0,0,0,0,220,32,0,0,0,0,0,0,252,38,45,27,43,48,42
,Slochteren,GR2014_Slochteren,Gemeenteraad Slochteren 2014,0040,Slochteren,2014-03-19,Stembureau De Borgstee,0040::SB6,,1038,1000,2,4,0,1,0,934,73,0,0,0,1,0,0,1007,186,162,123,281,96,152
,Slochteren,GR2014_Slochteren,Gemeenteraad Slochteren 2014,0040,Slochteren,2014-03-19,Stembureau Mainschoar,0040::SB7,,1114,593,7,2,0,0,0,548,54,0,0,0,0,0,0,602,95,49,71,236,55,87
,Slochteren,GR2014_Slochteren,Gemeenteraad Slochteren 2014,0040,Slochteren,2014-03-19,Stembureau Ruitenvelder,0040::SB8,,897,470,2,5,0,0,0,435,42,0,0,0,0,0,0,477,87,54,56,125,59,89
,Slochteren,GR2014_Slochteren,Gemeenteraad Slochteren 2014,0040,Slochteren,2014-03-19,Stembureau Rehoboth,0040::SB9,,1393,756,15,2,0,0,0,684,89,0,0,0,0,0,0,773,102,134,83,220,156,61
,Slochteren,GR2014_Slochteren,Gemeenteraad Slochteren 2014,0040,Slochteren,2014-03-19,Stembureau Scharmerhoeve,0040::SB10,,1366,575,2,0,0,0,0,519,58,0,0,0,0,0,0,577,88,61,123,119,37,147
,Slochteren,GR2014_Slochteren,Gemeenteraad Slochteren 2014,0040,Slochteren,2014-03-19,Stembureau Informatiecentrum Meerstad,0040::SB11,,849,304,0,1,0,0,0,264,41,0,0,0,0,0,0,305,53,40,44,63,16,88
