contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),GROENLINKS,CDA,Democraten 66 (D66),6,ChristenUnie,Gooise Ouderen Partij
,Bussum,GR2014_Bussum,Gemeenteraad Bussum 2014,0381,Bussum,2014-03-19,Stembureau 1  Gemeentehuis,0381::SB1,,1751,1243,8,2,0,0,0,1152,101,0,0,0,0,0,0,1253,221,156,108,121,204,311,50,72
,Bussum,GR2014_Bussum,Gemeenteraad Bussum 2014,0381,Bussum,2014-03-19,Stembureau 2  Vrije Evangelische Gemeente,0381::SB2,,1590,1029,5,2,0,1,0,925,112,0,0,0,1,0,0,1037,330,71,83,106,201,176,36,26
,Bussum,GR2014_Bussum,Gemeenteraad Bussum 2014,0381,Bussum,2014-03-19,Stembureau 3  Huize Godelinde,0381::SB3,,1541,953,2,4,1,0,0,869,89,0,0,1,0,0,0,958,233,148,69,92,142,143,33,93
,Bussum,GR2014_Bussum,Gemeenteraad Bussum 2014,0381,Bussum,2014-03-19,Stembureau 4  De Hoeksteen,0381::SB4,,1536,1179,1,3,0,0,0,1043,140,0,0,0,0,0,0,1183,343,151,93,112,235,179,29,37
,Bussum,GR2014_Bussum,Gemeenteraad Bussum 2014,0381,Bussum,2014-03-19,Stembureau 5  Gebouw Versa,0381::SB5,,1627,847,1,5,0,0,0,784,70,0,1,0,1,0,0,854,111,119,139,84,133,183,29,49
,Bussum,GR2014_Bussum,Gemeenteraad Bussum 2014,0381,Bussum,2014-03-19,Stembureau 6  Peuterspeelzaal Talamander,0381::SB6,,1605,638,3,0,0,0,0,573,68,0,0,0,0,0,0,641,82,98,89,38,87,166,22,56
,Bussum,GR2014_Bussum,Gemeenteraad Bussum 2014,0381,Bussum,2014-03-19,Stembureau 7  Julianaschool,0381::SB7,,1722,978,6,2,0,0,0,896,90,0,0,0,0,0,0,986,195,113,94,111,173,166,33,93
,Bussum,GR2014_Bussum,Gemeenteraad Bussum 2014,0381,Bussum,2014-03-19,Stembureau 9  R.I.B.W. (v/h De Essen),0381::SB9,,1837,851,6,3,0,0,0,806,54,0,0,0,0,0,0,860,133,103,124,108,100,147,40,96
,Bussum,GR2014_Bussum,Gemeenteraad Bussum 2014,0381,Bussum,2014-03-19,Stembureau 10 Trefpunt,0381::SB10,,1729,811,3,3,0,0,0,757,60,0,0,0,0,0,0,817,102,123,100,112,95,145,38,96
,Bussum,GR2014_Bussum,Gemeenteraad Bussum 2014,0381,Bussum,2014-03-19,Stembureau 11 Breeduit,0381::SB11,,1583,691,5,2,0,0,0,645,53,0,0,0,0,0,0,698,56,112,94,48,64,192,42,83
,Bussum,GR2014_Bussum,Gemeenteraad Bussum 2014,0381,Bussum,2014-03-19,Stembureau 13 De Antonius Hof,0381::SB13,,1669,717,5,4,0,0,0,685,41,0,0,0,0,0,0,726,54,110,84,100,62,141,41,125
,Bussum,GR2014_Bussum,Gemeenteraad Bussum 2014,0381,Bussum,2014-03-19,Stembureau 14 Mariënburg,0381::SB14,,1426,736,9,2,0,0,0,674,73,0,0,0,0,0,0,747,124,64,104,99,122,166,20,37
,Bussum,GR2014_Bussum,Gemeenteraad Bussum 2014,0381,Bussum,2014-03-19,Stembureau 15 De Zandzee,0381::SB15,,1581,1075,4,5,0,0,0,968,116,0,0,0,0,0,0,1084,242,138,87,101,174,179,35,119
,Bussum,GR2014_Bussum,Gemeenteraad Bussum 2014,0381,Bussum,2014-03-19,Stembureau 16 Koningin Emmaschool,0381::SB16,,1237,814,1,2,0,0,0,717,103,0,3,0,3,0,0,820,289,56,59,109,178,103,7,13
,Bussum,GR2014_Bussum,Gemeenteraad Bussum 2014,0381,Bussum,2014-03-19,Stembureau 17 Chr. Brandsmaschool,0381::SB17,,1532,1096,0,2,0,0,0,947,151,0,0,0,0,0,0,1098,350,93,87,141,214,123,36,52
,Bussum,GR2014_Bussum,Gemeenteraad Bussum 2014,0381,Bussum,2014-03-19,Stembureau 18 Evang. Luth. Kerk,0381::SB18,,1040,514,2,1,0,0,0,473,44,0,0,0,0,0,0,517,101,66,51,39,122,105,16,14
