contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Lijst Samenwerking,CDA,Democraten Echt-Susteren,GROENLINKS,VVD,Partij Nieuw Echt-Susteren (PNES),Partij van de Arbeid (P.v.d.A.),M en M Echt-Susteren
,Echt-Susteren,GR2014_EchtSusteren,Gemeenteraad Echt-Susteren 2014,1711,Echt-Susteren,2014-03-19,Stembureau Stadhuis,1711::SB1,6101 CV,1609,1316,2,9,0,0,0,1144,183,0,0,0,0,0,0,1327,304,277,93,67,55,395,51,74
,Echt-Susteren,GR2014_EchtSusteren,Gemeenteraad Echt-Susteren 2014,1711,Echt-Susteren,2014-03-19,Stembureau Trefcentrum Edith Stein,1711::SB2,6101 AT,1870,926,6,2,0,0,0,788,146,0,0,0,0,0,0,934,250,188,71,24,31,285,28,49
,Echt-Susteren,GR2014_EchtSusteren,Gemeenteraad Echt-Susteren 2014,1711,Echt-Susteren,2014-03-19,Stembureau Zorgcentrum De Egthe,1711::SB3,6101 EX,1447,712,2,0,0,0,0,636,78,0,0,0,0,0,0,714,187,120,55,40,5,247,25,33
,Echt-Susteren,GR2014_EchtSusteren,Gemeenteraad Echt-Susteren 2014,1711,Echt-Susteren,2014-03-19,Stembureau Buurthuis St Joris,1711::SB4,6101 JX,1529,791,1,3,0,0,0,685,110,0,0,0,0,0,0,795,218,122,45,56,17,257,41,35
,Echt-Susteren,GR2014_EchtSusteren,Gemeenteraad Echt-Susteren 2014,1711,Echt-Susteren,2014-03-19,Stembureau Trefcentrum De Blomehoaf,1711::SB5,6101 NK,1604,649,3,1,0,0,0,578,75,0,0,0,0,0,0,653,286,84,45,28,18,120,31,37
,Echt-Susteren,GR2014_EchtSusteren,Gemeenteraad Echt-Susteren 2014,1711,Echt-Susteren,2014-03-19,Stembureau Clublokaal De Ster,1711::SB6,6102 CW,1828,1030,9,1,0,0,0,916,124,0,0,0,0,0,0,1040,358,176,110,33,41,224,38,50
,Echt-Susteren,GR2014_EchtSusteren,Gemeenteraad Echt-Susteren 2014,1711,Echt-Susteren,2014-03-19,Stembureau Basisschool Patricius,1711::SB7,6102 AS,1419,749,0,4,0,0,0,647,106,0,0,0,0,0,0,753,282,136,77,34,21,137,29,33
,Echt-Susteren,GR2014_EchtSusteren,Gemeenteraad Echt-Susteren 2014,1711,Echt-Susteren,2014-03-19,Stembureau Clubgebouw Slekker Boys,1711::SB8,6102 XR,827,548,2,3,0,0,0,456,97,0,0,0,0,0,0,553,184,96,172,5,9,59,10,13
,Echt-Susteren,GR2014_EchtSusteren,Gemeenteraad Echt-Susteren 2014,1711,Echt-Susteren,2014-03-19,Stembureau Café 't Heukske,1711::SB9,6111 AP,1186,716,6,0,0,0,0,640,82,0,0,0,0,0,0,722,426,65,45,20,42,100,4,14
,Echt-Susteren,GR2014_EchtSusteren,Gemeenteraad Echt-Susteren 2014,1711,Echt-Susteren,2014-03-19,Stembureau Café van Pol,1711::SB10,6104 AR,1419,939,6,4,0,0,0,775,174,0,0,0,0,0,0,949,455,321,45,11,64,27,9,7
,Echt-Susteren,GR2014_EchtSusteren,Gemeenteraad Echt-Susteren 2014,1711,Echt-Susteren,2014-03-19,Stembureau Gemeenschapshuis Maria Hoop,1711::SB11,6105 AT,1104,747,2,1,0,0,0,646,104,0,0,0,0,0,0,750,601,51,26,18,16,5,7,23
,Echt-Susteren,GR2014_EchtSusteren,Gemeenteraad Echt-Susteren 2014,1711,Echt-Susteren,2014-03-19,Stembureau Zo Wonen,1711::SB12,6114 MC,1007,696,6,5,0,0,0,621,86,0,0,0,0,0,0,707,111,194,218,13,19,47,48,46
,Echt-Susteren,GR2014_EchtSusteren,Gemeenteraad Echt-Susteren 2014,1711,Echt-Susteren,2014-03-19,Stembureau Zorgcentrum Vastrada,1711::SB13,6114 HG,1635,985,6,4,0,0,0,881,114,0,0,0,0,0,0,995,144,309,277,22,69,64,61,39
,Echt-Susteren,GR2014_EchtSusteren,Gemeenteraad Echt-Susteren 2014,1711,Echt-Susteren,2014-03-19,Stembureau Basisschool In 't Park,1711::SB14,6114 EA,1261,698,1,3,0,0,0,630,72,0,0,0,0,0,0,702,105,231,197,16,19,47,38,45
,Echt-Susteren,GR2014_EchtSusteren,Gemeenteraad Echt-Susteren 2014,1711,Echt-Susteren,2014-03-19,Stembureau D'n Hermeniezaal,1711::SB15,6114 CW,1052,519,3,6,0,0,0,462,66,0,0,0,0,0,0,528,89,113,201,14,17,41,17,27
,Echt-Susteren,GR2014_EchtSusteren,Gemeenteraad Echt-Susteren 2014,1711,Echt-Susteren,2014-03-19,Stembureau Tunnelbar Heide,1711::SB16,6114 AA,1006,637,2,1,0,0,0,519,121,0,0,0,0,0,0,640,125,141,245,8,15,35,53,15
,Echt-Susteren,GR2014_EchtSusteren,Gemeenteraad Echt-Susteren 2014,1711,Echt-Susteren,2014-03-19,Stembureau Gemeenschapshuis Dieteren,1711::SB17,6114 KN,754,548,1,3,0,0,0,477,75,0,0,0,0,0,0,552,82,315,103,13,11,11,6,7
