contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Gemeentebelangen Menaldumadeel,Partij van de Arbeid (P.v.d.A.),CDA,FNP,VVD,GROENLINKS
,Menameradiel,GR2014_Menameradiel,Gemeenteraad Menameradiel 2014,1908,Menameradiel,2014-03-19,Stembureau Menaam 1,1908::SB1,9036 MG,1211,797,2,0,0,0,0,704,95,0,0,0,0,0,0,799,308,137,118,118,69,47
,Menameradiel,GR2014_Menameradiel,Gemeenteraad Menameradiel 2014,1908,Menameradiel,2014-03-19,Stembureau Dronryp 1,1908::SB2,9035 AZ,1526,1025,2,1,0,0,0,941,87,0,0,0,0,0,0,1028,420,125,185,96,125,74
,Menameradiel,GR2014_Menameradiel,Gemeenteraad Menameradiel 2014,1908,Menameradiel,2014-03-19,Stembureau Dronryp 2,1908::SB3,9035 AJ,1091,605,4,2,0,0,0,553,58,0,0,0,0,0,0,611,274,70,130,64,34,33
,Menameradiel,GR2014_Menameradiel,Gemeenteraad Menameradiel 2014,1908,Menameradiel,2014-03-19,Stembureau Berltsum 1,1908::SB4,9041 EC,1037,607,2,1,0,0,0,568,42,0,0,0,0,0,0,610,152,44,158,193,40,20
,Menameradiel,GR2014_Menameradiel,Gemeenteraad Menameradiel 2014,1908,Menameradiel,2014-03-19,Stembureau Berltsum 2,1908::SB5,9041 AR,894,456,2,0,0,0,0,427,31,0,0,0,0,0,0,458,109,50,108,131,31,27
,Menameradiel,GR2014_Menameradiel,Gemeenteraad Menameradiel 2014,1908,Menameradiel,2014-03-19,Stembureau Bitgum,1908::SB6,9044 ML,615,357,0,2,0,0,0,332,27,0,0,0,0,0,0,359,88,56,62,104,25,22
,Menameradiel,GR2014_Menameradiel,Gemeenteraad Menameradiel 2014,1908,Menameradiel,2014-03-19,Stembureau Bitgummole,1908::SB7,9045 PE,707,399,0,0,0,0,0,376,23,0,0,0,0,0,0,399,67,88,72,107,35,30
,Menameradiel,GR2014_Menameradiel,Gemeenteraad Menameradiel 2014,1908,Menameradiel,2014-03-19,Stembureau Marsum,1908::SB8,9034 GZ,836,479,4,3,0,0,0,446,40,0,0,0,0,0,0,486,142,147,28,88,36,38
,Menameradiel,GR2014_Menameradiel,Gemeenteraad Menameradiel 2014,1908,Menameradiel,2014-03-19,Stembureau Deinum,1908::SB9,9033 WT,767,475,5,0,0,0,0,446,34,0,0,0,0,0,0,480,143,98,52,81,29,72
,Menameradiel,GR2014_Menameradiel,Gemeenteraad Menameradiel 2014,1908,Menameradiel,2014-03-19,Stembureau Skingen,1908::SB10,8816 HT,144,102,0,0,0,0,0,95,7,0,0,0,0,0,0,102,38,23,12,12,4,13
,Menameradiel,GR2014_Menameradiel,Gemeenteraad Menameradiel 2014,1908,Menameradiel,2014-03-19,Stembureau Wier,1908::SB11,9043 VP,166,103,0,0,0,0,0,91,12,0,0,0,0,0,0,103,22,15,9,38,16,3
,Menameradiel,GR2014_Menameradiel,Gemeenteraad Menameradiel 2014,1908,Menameradiel,2014-03-19,Stembureau Ingelum,1908::SB12,9038 TG,308,191,2,1,0,0,0,178,16,0,0,0,0,0,0,194,50,54,18,35,14,20
,Menameradiel,GR2014_Menameradiel,Gemeenteraad Menameradiel 2014,1908,Menameradiel,2014-03-19,Stembureau Boksum,1908::SB13,9031 XW,394,259,1,0,0,0,0,235,25,0,0,0,0,0,0,260,40,45,51,58,21,44
,Menameradiel,GR2014_Menameradiel,Gemeenteraad Menameradiel 2014,1908,Menameradiel,2014-03-19,Stembureau Menaam 2,1908::SB14,9036 JC,906,490,0,5,0,0,0,461,34,0,0,0,0,0,0,495,170,94,112,56,21,37
