contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,DOS,Communiceren Met Burgers (CMB),CDA,Partij van de Arbeid (P.v.d.A.),Volkspartij voor Vrijheid en Democratie ( VVD ),Democraten 66 (D66),Politieke vereniging Steins Belang
,Stein,GR2014_Stein,Gemeenteraad Stein 2014,0971,Stein,2014-03-19,Stembureau De Moutheuvel,0971::SB1,6171HS,817,649,5,6,0,0,0,590,70,0,0,0,0,0,0,660,118,201,81,25,24,38,162
,Stein,GR2014_Stein,Gemeenteraad Stein 2014,0971,Stein,2014-03-19,Stembureau Gemeentehuis,0971::SB2,6171KP,956,580,5,2,0,0,0,546,41,0,0,0,0,0,0,587,124,163,71,27,30,34,131
,Stein,GR2014_Stein,Gemeenteraad Stein 2014,0971,Stein,2014-03-19,Stembureau Zalencentrum Kerensheide,0971::SB3,6171AM,1027,701,7,4,0,0,0,629,83,0,0,0,0,0,0,712,107,252,96,28,48,39,131
,Stein,GR2014_Stein,Gemeenteraad Stein 2014,0971,Stein,2014-03-19,Stembureau Basisschool Kerensheide,0971::SB4,6171BS,1022,508,3,9,0,0,0,463,57,0,0,0,0,0,0,520,103,139,47,21,36,40,122
,Stein,GR2014_Stein,Gemeenteraad Stein 2014,0971,Stein,2014-03-19,Stembureau Gymzaal Nieuwdorp,0971::SB5,6171NR,1012,538,6,5,0,0,0,491,58,0,0,0,0,0,0,549,83,199,40,28,34,23,131
,Stein,GR2014_Stein,Gemeenteraad Stein 2014,0971,Stein,2014-03-19,Stembureau Café-Brasserie Merode,0971::SB6,6171XM,1055,545,5,1,0,0,0,470,81,0,0,0,0,0,0,551,109,180,68,18,30,42,98
,Stein,GR2014_Stein,Gemeenteraad Stein 2014,0971,Stein,2014-03-19,Stembureau Basisschool De Brök,0971::SB7,6171HK,1026,679,10,5,0,0,0,614,80,0,0,0,0,0,0,694,170,196,74,27,29,42,141
,Stein,GR2014_Stein,Gemeenteraad Stein 2014,0971,Stein,2014-03-19,Stembureau Fanfarezaal De Hoorn,0971::SB8,6181NX,1066,747,3,4,0,0,0,647,107,0,0,0,0,0,0,754,391,83,120,9,22,79,43
,Stein,GR2014_Stein,Gemeenteraad Stein 2014,0971,Stein,2014-03-19,Stembureau Stemlokaal Bootenplein,0971::SB9,6171KX,943,452,3,0,0,0,0,407,48,0,0,0,0,0,0,455,92,117,55,15,24,26,123
,Stein,GR2014_Stein,Gemeenteraad Stein 2014,0971,Stein,2014-03-19,Stembureau Crea Dance Stein,0971::SB10,6171ED,1002,348,2,1,0,0,0,303,48,0,0,0,0,0,0,351,58,107,48,12,37,35,51
