contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Leefbaar Schouwen-Duiveland,Staatkundig Gereformeerde Partij (SGP),CDA,Partij van de Arbeid (P.v.d.A.),alert!,ChristenUnie,GROENLINKS,Democraten 66 (D66),SP (Socialistische Partij),Onafhankelijk Schouwen-Duiveland (ONS)
,Schouwen-Duiveland,GR2014_SchouwenDuiveland,Gemeenteraad Schouwen-Duiveland 2014,1676,Schouwen-Duiveland,2014-03-19,Stembureau Stadhuismuseum,1676::SB1,4301 EC,1014,669,1,2,0,0,0,598,74,0,0,0,0,0,0,672,97,151,15,117,32,51,31,31,47,69,28
,Schouwen-Duiveland,GR2014_SchouwenDuiveland,Gemeenteraad Schouwen-Duiveland 2014,1676,Schouwen-Duiveland,2014-03-19,Stembureau het Tonnenmagazijn,1676::SB2,4318 AC,1160,684,0,2,0,0,0,625,61,0,0,0,0,0,0,686,77,161,22,67,72,48,57,25,62,74,19
,Schouwen-Duiveland,GR2014_SchouwenDuiveland,Gemeenteraad Schouwen-Duiveland 2014,1676,Schouwen-Duiveland,2014-03-19,Stembureau Dorpshuis Dreischor,1676::SB3,4315 AA,785,469,4,2,0,0,0,430,45,0,0,0,0,0,0,475,65,115,29,48,27,36,18,28,30,56,17
,Schouwen-Duiveland,GR2014_SchouwenDuiveland,Gemeenteraad Schouwen-Duiveland 2014,1676,Schouwen-Duiveland,2014-03-19,Stembureau Dorpshuis Noordgouwe,1676::SB4,4317 BA,638,449,1,4,0,0,0,410,44,0,0,0,0,0,0,454,79,94,31,86,22,28,11,21,29,39,9
,Schouwen-Duiveland,GR2014_SchouwenDuiveland,Gemeenteraad Schouwen-Duiveland 2014,1676,Schouwen-Duiveland,2014-03-19,Stembureau Dorpshuis Zonnemaire,1676::SB5,4316 AB,611,395,0,3,0,0,0,358,40,0,0,0,0,0,0,398,66,76,10,64,32,37,15,15,33,40,7
,Schouwen-Duiveland,GR2014_SchouwenDuiveland,Gemeenteraad Schouwen-Duiveland 2014,1676,Schouwen-Duiveland,2014-03-19,Stembureau 't Durps'uus Bruinisse,1676::SB6,4311 ED,1564,1032,1,2,0,0,0,879,156,0,0,0,0,0,0,1035,291,117,246,141,47,23,47,7,30,49,34
,Schouwen-Duiveland,GR2014_SchouwenDuiveland,Gemeenteraad Schouwen-Duiveland 2014,1676,Schouwen-Duiveland,2014-03-19,Stembureau Hervormde Kerk,1676::SB7,4311 AS,1480,918,1,2,0,0,0,774,147,0,0,0,0,0,0,921,213,141,239,104,40,12,85,6,13,45,20
,Schouwen-Duiveland,GR2014_SchouwenDuiveland,Gemeenteraad Schouwen-Duiveland 2014,1676,Schouwen-Duiveland,2014-03-19,"Stembureau Verenigingsgebouw ""Ons Dorpshuis""",1676::SB8,4306 CA,956,682,1,1,0,0,0,606,78,0,0,0,0,0,0,684,40,97,296,62,20,13,57,25,8,44,20
,Schouwen-Duiveland,GR2014_SchouwenDuiveland,Gemeenteraad Schouwen-Duiveland 2014,1676,Schouwen-Duiveland,2014-03-19,Stembureau Woonservicecentrum Steenzwaenshof,1676::SB9,4306 CW,1037,730,0,0,0,0,0,659,71,0,0,0,0,0,0,730,81,110,186,94,32,16,82,25,22,63,19
,Schouwen-Duiveland,GR2014_SchouwenDuiveland,Gemeenteraad Schouwen-Duiveland 2014,1676,Schouwen-Duiveland,2014-03-19,Stembureau Dorpshuis Oosterland,1676::SB10,4307 AR,838,624,0,2,0,0,0,528,98,0,0,0,0,0,0,626,28,123,303,43,18,7,46,4,12,18,22
