contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,ALGEMEEN BELANG CUIJK (ABC-CUIJK),Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),Progressief Leefbaar Cuijk ca (PLC'93),GROENLINKS,SP (Socialistische Partij)
,Cuijk,GR2014_Cuijk,Gemeenteraad Cuijk 2014,1684,Cuijk,2014-03-19,Stembureau Gemeentehuis (bureau 1),1684::SB1,5431 BV,1293,1249,2,5,0,0,0,1115,142,0,1,0,1,0,0,1257,187,236,112,228,119,105,40,222
,Cuijk,GR2014_Cuijk,Gemeenteraad Cuijk 2014,1684,Cuijk,2014-03-19,Stembureau Zorgcentrum Maartenshof,1684::SB2,5431 DP,1169,654,1,1,0,0,0,608,48,0,0,0,0,0,0,656,93,136,67,67,65,61,15,150
,Cuijk,GR2014_Cuijk,Gemeenteraad Cuijk 2014,1684,Cuijk,2014-03-19,Stembureau 't Akkertje,1684::SB3,5434 PA,987,584,2,0,0,0,0,519,67,0,0,0,0,0,0,586,46,90,260,47,28,14,6,93
,Cuijk,GR2014_Cuijk,Gemeenteraad Cuijk 2014,1684,Cuijk,2014-03-19,Stembureau Café van Kempen,1684::SB4,5433 KA,343,224,0,0,0,0,0,206,18,0,0,0,0,0,0,224,25,90,20,21,21,14,8,25
,Cuijk,GR2014_Cuijk,Gemeenteraad Cuijk 2014,1684,Cuijk,2014-03-19,Stembureau De Agaat,1684::SB5,5435 XJ,409,272,1,1,0,0,0,251,23,0,0,0,0,0,0,274,35,49,91,19,43,4,2,29
,Cuijk,GR2014_Cuijk,Gemeenteraad Cuijk 2014,1684,Cuijk,2014-03-19,Stembureau Parochiezaal,1684::SB6,5431 AV,1518,788,1,4,0,0,0,681,112,0,0,0,0,0,0,793,46,251,70,40,43,126,5,207
,Cuijk,GR2014_Cuijk,Gemeenteraad Cuijk 2014,1684,Cuijk,2014-03-19,Stembureau Nevenvestiging Merletcollege,1684::SB7,5431 ZN,1380,568,3,8,0,0,0,500,79,0,0,0,0,0,0,579,28,178,53,34,33,60,7,175
,Cuijk,GR2014_Cuijk,Gemeenteraad Cuijk 2014,1684,Cuijk,2014-03-19,Stembureau Het Doehuis,1684::SB8,5431 JR,1558,841,1,4,0,0,0,777,69,0,0,0,0,0,0,846,69,108,109,116,67,83,30,259
,Cuijk,GR2014_Cuijk,Gemeenteraad Cuijk 2014,1684,Cuijk,2014-03-19,Stembureau OBS Harlekijn,1684::SB9,5431 KJ,1328,687,3,2,0,0,0,633,59,0,0,0,0,0,0,692,72,80,89,132,43,65,24,182
,Cuijk,GR2014_Cuijk,Gemeenteraad Cuijk 2014,1684,Cuijk,2014-03-19,Stembureau De Nielt,1684::SB10,5432 DW,1593,785,3,2,0,0,0,728,62,0,0,0,0,0,0,790,130,106,92,147,86,57,27,140
,Cuijk,GR2014_Cuijk,Gemeenteraad Cuijk 2014,1684,Cuijk,2014-03-19,Stembureau basisschool De Waai (bureau 1),1684::SB11,5432 DH,1642,710,4,3,0,0,0,632,85,0,0,0,0,0,0,717,153,87,53,137,74,78,13,115
,Cuijk,GR2014_Cuijk,Gemeenteraad Cuijk 2014,1684,Cuijk,2014-03-19,Stembureau sporthal De Kloosterhof,1684::SB12,5437 AS,1360,845,2,0,0,1,0,768,80,0,0,0,1,0,0,848,107,251,247,77,51,25,7,80
,Cuijk,GR2014_Cuijk,Gemeenteraad Cuijk 2014,1684,Cuijk,2014-03-19,Stembureau De Burcht,1684::SB13,5439 ND,214,139,1,1,0,0,0,125,16,0,0,0,0,0,0,141,14,20,40,37,12,1,3,12
,Cuijk,GR2014_Cuijk,Gemeenteraad Cuijk 2014,1684,Cuijk,2014-03-19,Stembureau sporthal De Stappert (bureau 1),1684::SB14,5443 BE,1115,739,2,1,0,0,0,657,85,0,0,0,0,0,0,742,176,81,302,37,19,48,7,69
,Cuijk,GR2014_Cuijk,Gemeenteraad Cuijk 2014,1684,Cuijk,2014-03-19,Stembureau Hof van Cuijk,1684::SB15,5431 EZ,926,262,0,0,0,0,0,237,25,0,0,0,0,0,0,262,26,79,27,21,23,17,5,64
,Cuijk,GR2014_Cuijk,Gemeenteraad Cuijk 2014,1684,Cuijk,2014-03-19,Stembureau basisschool De Waai (bureau 2),1684::SB16,5432 DH,1504,617,4,2,0,0,0,565,58,0,0,0,0,0,0,623,120,68,59,105,59,63,10,133
,Cuijk,GR2014_Cuijk,Gemeenteraad Cuijk 2014,1684,Cuijk,2014-03-19,Stembureau Sporthal De Stappert (bureau 2),1684::SB17,5443 BE,1179,781,1,1,0,0,0,715,68,0,0,0,0,0,0,783,190,87,323,64,16,27,12,62
