contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Lokale Partij Ommen,VVD,ChristenUnie,Partij van de Arbeid (P.v.d.A.),Volkspartij Ommen Vooruit (VOV),Democraten 66 (D66)
,Ommen,GR2014_Ommen,Gemeenteraad Ommen 2014,0175,Ommen,2014-03-19,Stembureau Gemeentehuis Ommen,0175::SB1,7731 EE,1008,692,0,6,0,0,0,634,64,0,0,0,0,0,0,698,203,64,61,140,54,81,89
,Ommen,GR2014_Ommen,Gemeenteraad Ommen 2014,0175,Ommen,2014-03-19,"Stembureau Jeugdgebouw ""De Schakel""",0175::SB2,8148 PD,1200,731,1,4,0,0,0,659,77,0,0,0,0,0,0,736,225,238,119,51,34,18,46
,Ommen,GR2014_Ommen,Gemeenteraad Ommen 2014,0175,Ommen,2014-03-19,"Stembureau verenigingsgebouw ""De Garve""",0175::SB5,7685 PL,916,539,2,0,0,0,0,478,63,0,0,0,0,0,0,541,140,95,47,214,10,9,24
,Ommen,GR2014_Ommen,Gemeenteraad Ommen 2014,0175,Ommen,2014-03-19,"Stembureau Restaurant ""De Bootsman""",0175::SB6,7737 PE,724,416,0,0,0,0,0,366,50,0,0,0,0,0,0,416,136,67,73,44,23,35,38
,Ommen,GR2014_Ommen,Gemeenteraad Ommen 2014,0175,Ommen,2014-03-19,"Stembureau verenigingsgebouw ""Irene""",0175::SB7,7738 PB,846,504,0,3,1,0,0,447,59,0,0,1,0,0,0,506,176,45,88,104,16,26,49
,Ommen,GR2014_Ommen,Gemeenteraad Ommen 2014,0175,Ommen,2014-03-19,Stembureau Cultureel Centrum CARROUSEL,0175::SB14,7731 EH,973,695,1,0,0,1,0,629,68,0,0,0,1,0,0,697,159,67,57,149,35,118,110
,Ommen,GR2014_Ommen,Gemeenteraad Ommen 2014,0175,Ommen,2014-03-19,"Stembureau wooncentrum ""Nijenhaghen""",0175::SB15,7731 ZL,1329,962,5,1,0,0,0,864,104,0,0,0,0,0,0,968,215,97,71,191,75,173,140
,Ommen,GR2014_Ommen,Gemeenteraad Ommen 2014,0175,Ommen,2014-03-19,"Stembureau Restaurant ""De Wildzang""",0175::SB16,7731 AX,776,562,0,0,0,0,0,521,41,0,0,0,0,0,0,562,136,67,134,49,34,44,98
,Ommen,GR2014_Ommen,Gemeenteraad Ommen 2014,0175,Ommen,2014-03-19,"Stembureau Kerkelijk Centrum ""De Kern""",0175::SB17,7731 CP,1065,540,1,2,0,0,0,485,58,0,0,0,0,0,0,543,163,57,69,80,31,75,65
,Ommen,GR2014_Ommen,Gemeenteraad Ommen 2014,0175,Ommen,2014-03-19,Stembureau Het Baken,0175::SB18,7731 CK,931,553,4,2,0,0,0,506,53,0,0,0,0,0,0,559,243,44,31,137,24,40,34
,Ommen,GR2014_Ommen,Gemeenteraad Ommen 2014,0175,Ommen,2014-03-19,"Stembureau Restaurant ""De Nieuwe Brug""",0175::SB19,7731 PR,790,398,0,1,0,0,0,369,30,0,0,0,0,0,0,399,114,48,93,35,27,26,55
,Ommen,GR2014_Ommen,Gemeenteraad Ommen 2014,0175,Ommen,2014-03-19,Stembureau Hervormd Centrum,0175::SB20,7731 GH,1115,581,1,0,0,0,0,512,70,0,0,0,0,0,0,582,150,73,42,115,31,103,67
,Ommen,GR2014_Ommen,Gemeenteraad Ommen 2014,0175,Ommen,2014-03-19,"Stembureau Sportzaal ""De Slaghen""",0175::SB21,7731 TJ,1010,896,1,0,0,0,0,811,86,0,0,0,0,0,0,897,220,124,100,162,66,107,117
,Ommen,GR2014_Ommen,Gemeenteraad Ommen 2014,0175,Ommen,2014-03-19,Stembureau LARCOM,0175::SB22,7731 SM,946,452,1,1,0,0,0,413,41,0,0,0,0,0,0,454,122,52,76,84,18,51,49
,Ommen,GR2014_Ommen,Gemeenteraad Ommen 2014,0175,Ommen,2014-03-19,Stembureau Mobiel stembureau,0175::SB23,,0,186,1,0,0,0,0,162,25,0,0,0,0,0,0,187,87,13,54,4,7,8,13
