contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,BBB-NDB,CDA,Progressief Beek,VVD,Senioren Belang Beek
,Beek,GR2014_Beek,Gemeenteraad Beek 2014,0888,Beek,2014-03-19,Stembureau Gemeentehuis,0888::SB1,6191KA,1155,896,0,1,0,0,0,817,80,0,0,0,0,0,0,897,247,251,167,106,125
,Beek,GR2014_Beek,Gemeenteraad Beek 2014,0888,Beek,2014-03-19,Stembureau De Dagbeeker,0888::SB2,6191TX,1184,687,3,1,0,0,0,617,74,0,0,0,0,0,0,691,228,114,194,81,70
,Beek,GR2014_Beek,Gemeenteraad Beek 2014,0888,Beek,2014-03-19,Stembureau Duivenlokaal,0888::SB3,6191TK,1218,687,1,6,0,0,0,634,60,0,0,0,0,0,0,694,300,132,137,46,72
,Beek,GR2014_Beek,Gemeenteraad Beek 2014,0888,Beek,2014-03-19,Stembureau Woon/Zorgcentrum,0888::SB4,6191KZ,1170,716,5,5,0,0,0,657,71,0,2,0,2,0,0,728,283,148,147,75,63
,Beek,GR2014_Beek,Gemeenteraad Beek 2014,0888,Beek,2014-03-19,Stembureau Verenigingslokaal L'Union,0888::SB5,6191BN,1201,620,3,4,0,0,0,574,53,0,0,0,0,0,0,627,279,127,99,47,68
,Beek,GR2014_Beek,Gemeenteraad Beek 2014,0888,Beek,2014-03-19,Stembureau Muziekschool,0888::SB6,6191VP,1145,547,1,1,0,0,0,549,0,0,0,0,0,0,0,549,260,80,116,29,62
,Beek,GR2014_Beek,Gemeenteraad Beek 2014,0888,Beek,2014-03-19,Stembureau Gemeenschapshuis Neerbeek,0888::SB7,6191GN,989,737,1,6,0,0,0,686,58,0,0,0,0,0,0,744,243,186,130,41,137
,Beek,GR2014_Beek,Gemeenteraad Beek 2014,0888,Beek,2014-03-19,Stembureau Verenigingslokaal Willem Tell,0888::SB8,6191RP,472,300,2,1,0,0,0,269,34,0,0,0,0,0,0,303,121,71,58,39,11
,Beek,GR2014_Beek,Gemeenteraad Beek 2014,0888,Beek,2014-03-19,Stembureau Gemeenschapshuis  Genhout,0888::SB9,6191NZ,996,689,1,5,0,0,0,634,61,0,0,0,0,0,0,695,236,73,290,72,18
,Beek,GR2014_Beek,Gemeenteraad Beek 2014,0888,Beek,2014-03-19,Stembureau WOZOCO,0888::SB10,6176BE,1091,671,1,1,0,0,0,613,60,0,0,0,0,0,0,673,194,228,149,35,65
,Beek,GR2014_Beek,Gemeenteraad Beek 2014,0888,Beek,2014-03-19,Stembureau Bejaarden Sociëteit,0888::SB11,6176AS,987,534,2,2,0,0,0,489,49,0,0,0,0,0,0,538,127,194,143,34,36
,Beek,GR2014_Beek,Gemeenteraad Beek 2014,0888,Beek,2014-03-19,Stembureau Verenigingslokaal Schutterij,0888::SB12,6176BZ,800,478,2,1,0,0,0,425,56,0,0,0,0,0,0,481,129,220,81,27,21
,Beek,GR2014_Beek,Gemeenteraad Beek 2014,0888,Beek,2014-03-19,Stembureau School de Bron,0888::SB13,6191EK,1049,494,0,0,0,0,0,425,68,0,0,1,0,1,0,493,135,157,94,34,74
,Beek,GR2014_Beek,Gemeenteraad Beek 2014,0888,Beek,2014-03-19,Stembureau Station Beek-Elsloo,0888::SB14,6191BH,0,88,1,0,0,0,0,80,9,0,0,0,0,0,0,89,23,15,38,8,4
