contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),Staatkundig Gereformeerde Partij (SGP),VVD,CDA,ChristenUnie,Democraten 66 (D66),Leefbaar Alblasserdam
,Alblasserdam,GR2014_Alblasserdam,Gemeenteraad Alblasserdam 2014,0482,Alblasserdam,2014-03-19,Stembureau Gemeentehuis Alblasserdam,0482::SB1,2950 AA,1651,1067,3,7,0,0,0,947,130,0,0,0,0,0,0,1077,108,240,182,163,130,188,56
,Alblasserdam,GR2014_Alblasserdam,Gemeenteraad Alblasserdam 2014,0482,Alblasserdam,2014-03-19,Stembureau Openbare Bibliotheek,0482::SB2,2951 CB,1161,904,2,1,0,0,0,808,99,0,0,0,0,0,0,907,169,204,101,152,104,111,63
,Alblasserdam,GR2014_Alblasserdam,Gemeenteraad Alblasserdam 2014,0482,Alblasserdam,2014-03-19,Stembureau P.C.B.S. De Schalm,0482::SB3,2951 GL,1187,683,1,2,0,0,0,599,87,0,0,0,0,0,0,686,94,195,63,108,130,74,19
,Alblasserdam,GR2014_Alblasserdam,Gemeenteraad Alblasserdam 2014,0482,Alblasserdam,2014-03-19,Stembureau de Alblashof,0482::SB4,2951 XR,1478,1095,2,2,0,0,0,989,110,0,0,0,0,0,0,1099,163,317,105,194,101,159,56
,Alblasserdam,GR2014_Alblasserdam,Gemeenteraad Alblasserdam 2014,0482,Alblasserdam,2014-03-19,Stembureau gebouw Anjerstraat 2,0482::SB5,2951 BA,1214,728,3,0,0,0,0,628,103,0,0,0,0,0,0,731,177,139,60,118,65,99,70
,Alblasserdam,GR2014_Alblasserdam,Gemeenteraad Alblasserdam 2014,0482,Alblasserdam,2014-03-19,Stembureau P.C.O. De Loopplank,0482::SB6,2951 CS,1167,357,1,2,0,0,0,326,34,0,0,0,0,0,0,360,88,54,28,68,23,56,40
,Alblasserdam,GR2014_Alblasserdam,Gemeenteraad Alblasserdam 2014,0482,Alblasserdam,2014-03-19,Stembureau Gymzaal,0482::SB7,2951 BZ,1207,551,0,1,0,0,0,484,68,0,0,0,0,0,0,552,130,148,37,73,63,73,27
,Alblasserdam,GR2014_Alblasserdam,Gemeenteraad Alblasserdam 2014,0482,Alblasserdam,2014-03-19,Stembureau O.B.S. 't Nokkenwiel,0482::SB8,2953 BA,1401,954,3,3,0,0,0,841,119,0,0,0,0,0,0,960,168,119,173,110,75,189,120
,Alblasserdam,GR2014_Alblasserdam,Gemeenteraad Alblasserdam 2014,0482,Alblasserdam,2014-03-19,Stembureau Ichtuskerk,0482::SB9,2953 EV,1327,753,4,2,0,0,0,677,82,0,0,0,0,0,0,759,114,211,50,128,77,108,65
,Alblasserdam,GR2014_Alblasserdam,Gemeenteraad Alblasserdam 2014,0482,Alblasserdam,2014-03-19,"Stembureau School met de Bijbel ""Het Kompas""",0482::SB10,2953 XM,1037,670,5,5,0,0,0,581,98,0,0,1,0,0,0,679,74,214,72,103,106,74,27
,Alblasserdam,GR2014_Alblasserdam,Gemeenteraad Alblasserdam 2014,0482,Alblasserdam,2014-03-19,"Stembureau Sportpark Molenzicht, CKC Kinderdij",0482::SB11,,1283,522,4,3,0,0,0,483,46,0,0,0,0,0,0,529,104,103,63,57,70,96,29
,Alblasserdam,GR2014_Alblasserdam,Gemeenteraad Alblasserdam 2014,0482,Alblasserdam,2014-03-19,Stembureau P.C.O. De Loopplank,0482::SB12,2951 SB,921,713,0,3,0,0,0,637,79,0,0,0,0,0,0,716,111,127,84,129,92,135,35
