contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Gemeentebelangen/VVD,Partij van de Arbeid (P.v.d.A.),Dorpen Centraal
,Tubbergen,GR2014_Tubbergen,Gemeenteraad Tubbergen 2014,0183,Tubbergen,2014-03-19,"Stembureau Gemeentehuis, Tubbergen",0183::SB1,7651 CV,1520,887,0,2,0,0,0,782,107,0,0,0,0,0,0,889,383,283,103,118
,Tubbergen,GR2014_Tubbergen,Gemeenteraad Tubbergen 2014,0183,Tubbergen,2014-03-19,"Stembureau De Delle, Tubbergen",0183::SB2,7651 KT,1558,814,5,0,0,0,0,734,85,0,0,0,0,0,0,819,359,208,151,96
,Tubbergen,GR2014_Tubbergen,Gemeenteraad Tubbergen 2014,0183,Tubbergen,2014-03-19,Stembureau RK BS De Wiekslag,0183::SB3,7651 BS,1450,879,3,2,0,0,0,791,93,0,0,0,0,0,0,884,403,217,121,138
,Tubbergen,GR2014_Tubbergen,Gemeenteraad Tubbergen 2014,0183,Tubbergen,2014-03-19,Stembureau Ontm ruimte De Aanleg Geesteren,0183::SB4,7651 VZ,1691,1053,2,2,0,0,0,885,172,0,0,0,0,0,0,1057,549,315,41,148
,Tubbergen,GR2014_Tubbergen,Gemeenteraad Tubbergen 2014,0183,Tubbergen,2014-03-19,Stembureau Zaal Kottink Geesteren,0183::SB5,7678 AW,1570,919,10,3,0,0,0,790,143,0,1,0,1,0,0,933,495,280,37,107
,Tubbergen,GR2014_Tubbergen,Gemeenteraad Tubbergen 2014,0183,Tubbergen,2014-03-19,"Stembureau De Spil, Fleringen",0183::SB6,7666 LJ,675,512,2,3,0,0,0,439,78,0,0,0,0,0,0,517,270,200,15,27
,Tubbergen,GR2014_Tubbergen,Gemeenteraad Tubbergen 2014,0183,Tubbergen,2014-03-19,Stembureau Dorpshuis 't Eschhoes,0183::SB7,7661 RA,1128,755,1,1,0,0,0,666,91,0,0,0,0,0,0,757,354,203,150,48
,Tubbergen,GR2014_Tubbergen,Gemeenteraad Tubbergen 2014,0183,Tubbergen,2014-03-19,"Stembureau Zaal Morshuis, Albergen",0183::SB8,7665 RX,1404,836,0,1,0,2,0,708,129,0,0,2,0,0,0,837,348,369,55,64
,Tubbergen,GR2014_Tubbergen,Gemeenteraad Tubbergen 2014,0183,Tubbergen,2014-03-19,"Stembureau Clubgeb. Concordia, Albergen",0183::SB9,7665 AB,1241,823,1,4,0,0,0,718,110,0,0,0,0,0,0,828,356,373,57,37
,Tubbergen,GR2014_Tubbergen,Gemeenteraad Tubbergen 2014,0183,Tubbergen,2014-03-19,Stembureau Rabo Kultuurhoes Reutum,0183::SB10,7667 PV,1003,634,2,3,0,0,0,551,88,0,0,0,0,0,0,639,423,135,38,38
,Tubbergen,GR2014_Tubbergen,Gemeenteraad Tubbergen 2014,0183,Tubbergen,2014-03-19,"Stembureau De Gaarf, Langeveen",0183::SB11,7679 VG,986,622,2,0,0,0,0,516,108,0,0,0,0,0,0,624,410,128,24,60
,Tubbergen,GR2014_Tubbergen,Gemeenteraad Tubbergen 2014,0183,Tubbergen,2014-03-19,Stembureau Kulturhus Manderveen,0183::SB12,7664 VV,494,386,1,1,0,0,0,334,54,0,0,0,0,0,0,388,289,47,34,16
,Tubbergen,GR2014_Tubbergen,Gemeenteraad Tubbergen 2014,0183,Tubbergen,2014-03-19,"Stembureau De Haambrink, Mariaparochie",0183::SB13,7614 LA,1409,847,8,1,0,0,0,726,130,0,0,0,0,0,0,856,473,254,56,64
