contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),Velsen Lokaal,Democraten 66 Velsen,LGV,CDA,GROENLINKS,SP (Socialistische Partij),ChristenUnie,Zinnig en Nuttig (ZEN),Forza! IJmond
,Velsen,GR2014_Velsen,Gemeenteraad Velsen 2014,0453,Velsen,2014-03-19,Stembureau Stadhuis Dudok,0453::SB1,1971 EN,1610,1174,4,4,0,0,0,1074,108,0,0,0,0,0,0,1182,106,125,176,179,151,61,38,160,56,25,97
,Velsen,GR2014_Velsen,Gemeenteraad Velsen 2014,0453,Velsen,2014-03-19,Stembureau Woon en zorgcentrum Huis ter Hagen,0453::SB2,1985 CV,1148,821,1,5,0,0,0,755,72,0,0,0,0,0,0,827,142,96,117,186,48,106,34,28,22,13,29
,Velsen,GR2014_Velsen,Gemeenteraad Velsen 2014,0453,Velsen,2014-03-19,Stembureau Verpleeghuis Velserduin,0453::SB3,1985 HH,1375,1003,0,4,0,0,0,890,117,0,0,0,0,0,0,1007,142,69,217,235,85,71,39,55,30,20,40
,Velsen,GR2014_Velsen,Gemeenteraad Velsen 2014,0453,Velsen,2014-03-19,Stembureau Voormalig Raadhuis,0453::SB4,1981 BC,1522,869,1,1,0,0,0,792,79,0,0,0,0,0,0,871,119,104,145,179,102,85,22,33,36,5,39
,Velsen,GR2014_Velsen,Gemeenteraad Velsen 2014,0453,Velsen,2014-03-19,Stembureau Wooncentrum Velserhooft,0453::SB10,2071 BH,1872,1204,8,0,0,0,0,1090,122,0,0,0,0,0,0,1212,165,131,182,266,76,96,92,99,47,12,38
,Velsen,GR2014_Velsen,Gemeenteraad Velsen 2014,0453,Velsen,2014-03-19,Stembureau Cafe Zaal De Wildeman,0453::SB11,2071 EL,1650,1086,3,0,0,0,0,989,100,0,0,0,0,0,0,1089,169,89,143,253,86,102,68,74,29,10,63
,Velsen,GR2014_Velsen,Gemeenteraad Velsen 2014,0453,Velsen,2014-03-19,Stembureau De ZorgSpecialist,0453::SB13,2071 NW,1852,1176,10,9,0,0,0,1091,104,0,0,0,0,0,0,1195,155,138,168,236,60,100,94,96,30,22,77
,Velsen,GR2014_Velsen,Gemeenteraad Velsen 2014,0453,Velsen,2014-03-19,Stembureau 't Brederode Huys,0453::SB14,2082 GE,1236,1084,3,4,0,0,0,985,106,0,0,0,0,0,0,1091,236,79,79,251,24,168,141,60,19,12,15
,Velsen,GR2014_Velsen,Gemeenteraad Velsen 2014,0453,Velsen,2014-03-19,Stembureau Basisschool Het Anker,0453::SB15,1991 BZ,1879,883,2,1,0,1,0,800,87,0,0,0,1,0,0,887,101,77,131,172,63,66,63,93,53,18,46
,Velsen,GR2014_Velsen,Gemeenteraad Velsen 2014,0453,Velsen,2014-03-19,Stembureau Brederode Daltonschool,0453::SB16,2082 BD,1256,601,3,0,0,0,0,538,66,0,0,0,0,0,0,604,141,50,47,157,17,70,76,23,5,6,9
,Velsen,GR2014_Velsen,Gemeenteraad Velsen 2014,0453,Velsen,2014-03-19,Stembureau COB Hofstede,0453::SB17,1991 PT,1663,1039,6,3,0,0,0,967,81,0,0,0,0,0,0,1048,121,114,134,198,89,115,55,102,71,5,35
,Velsen,GR2014_Velsen,Gemeenteraad Velsen 2014,0453,Velsen,2014-03-19,Stembureau Basisschool  De Duinroos,0453::SB18,1991 LB,1776,1049,1,3,0,0,0,952,102,0,1,0,1,0,0,1054,138,103,127,246,99,86,55,95,42,14,44
,Velsen,GR2014_Velsen,Gemeenteraad Velsen 2014,0453,Velsen,2014-03-19,Stembureau Basisschool De Westbroek,0453::SB19,1991 NN,1782,969,0,3,0,0,0,885,87,0,0,0,0,0,0,972,154,102,128,191,61,72,55,79,73,8,46
,Velsen,GR2014_Velsen,Gemeenteraad Velsen 2014,0453,Velsen,2014-03-19,Stembureau Basisschool De Molenweid,0453::SB20,1991 EV,1599,665,1,5,0,0,0,605,66,0,0,0,0,0,0,671,86,73,60,128,49,67,42,82,31,12,35
