contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,DorpsBelangen,PvdA-GroenLinks,VVD,CDA,Democraten 66 (D66)
,Wijdemeren,GR2014_Wijdemeren,Gemeenteraad Wijdemeren 2014,1696,Wijdemeren,2014-03-19,Stembureau Hervormde Kerk,1696::SB1,1243 JG,1671,712,4,1,0,1,0,653,65,0,0,0,1,0,0,718,123,88,87,273,141
,Wijdemeren,GR2014_Wijdemeren,Gemeenteraad Wijdemeren 2014,1696,Wijdemeren,2014-03-19,Stembureau De Dobber,1696::SB2,1241 CZ,1472,1442,10,7,0,2,0,1314,148,0,1,0,3,0,0,1462,183,169,165,710,215
,Wijdemeren,GR2014_Wijdemeren,Gemeenteraad Wijdemeren 2014,1696,Wijdemeren,2014-03-19,Stembureau Veenstaete,1696::SB4,1241 AX,1737,770,2,2,0,0,0,712,62,0,0,0,0,0,0,774,111,104,82,395,78
,Wijdemeren,GR2014_Wijdemeren,Gemeenteraad Wijdemeren 2014,1696,Wijdemeren,2014-03-19,Stembureau Wapen van Ankeveen,1696::SB5,1244 PK,1418,817,5,0,0,0,0,733,89,0,0,0,0,0,0,822,71,91,130,414,111
,Wijdemeren,GR2014_Wijdemeren,Gemeenteraad Wijdemeren 2014,1696,Wijdemeren,2014-03-19,Stembureau Dirk's Sportcafé,1696::SB6,1241 HD,1670,1150,2,5,0,1,0,1037,121,0,0,0,1,0,0,1158,109,138,151,572,180
,Wijdemeren,GR2014_Wijdemeren,Gemeenteraad Wijdemeren 2014,1696,Wijdemeren,2014-03-19,Stembureau Gemeentehuis Wijdemeren,1696::SB7,1231 KB,2007,1135,3,7,0,0,0,1019,126,0,0,0,0,0,0,1145,402,149,203,181,200
,Wijdemeren,GR2014_Wijdemeren,Gemeenteraad Wijdemeren 2014,1696,Wijdemeren,2014-03-19,Stembureau De Emtinckhof,1696::SB8,1231 BG,1735,1263,11,1,0,0,0,1159,115,0,0,1,0,1,0,1274,472,142,186,253,210
,Wijdemeren,GR2014_Wijdemeren,Gemeenteraad Wijdemeren 2014,1696,Wijdemeren,2014-03-19,Stembureau Oude Pastorie,1696::SB10,1231 KS,1775,919,5,1,0,0,0,813,111,0,1,1,0,0,0,924,308,64,246,123,178
,Wijdemeren,GR2014_Wijdemeren,Gemeenteraad Wijdemeren 2014,1696,Wijdemeren,2014-03-19,Stembureau Catamaran,1696::SB11,1231 PR,1566,748,3,5,0,0,0,660,96,0,0,0,0,0,0,756,260,46,208,113,121
,Wijdemeren,GR2014_Wijdemeren,Gemeenteraad Wijdemeren 2014,1696,Wijdemeren,2014-03-19,Stembureau De Kuijer,1696::SB13,1394 EK,1649,1052,6,0,0,0,0,949,109,0,0,0,0,0,0,1058,201,105,168,287,291
,Wijdemeren,GR2014_Wijdemeren,Gemeenteraad Wijdemeren 2014,1696,Wijdemeren,2014-03-19,Stembureau De Herberg,1696::SB14,1394 BL,1727,963,5,1,0,3,0,876,96,0,0,0,3,0,0,972,184,125,153,230,271
