contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,Partij van de Arbeid (P.v.d.A.),Demokraten Swalmen,GROENLINKS,Burgerbelangen Roermond,Democraten 66 (D66),Stadspartij Roermond,Partij Voor De Eenheid (PVDE),OPA,Artikel50,Liberale Volkspartij Roermond (LVR),Partij voor Leefbaarheid en Democratie
,Roermond,GR2014_Roermond,Gemeenteraad Roermond 2014,0957,Roermond,2014-03-19,Stembureau Stadhuis,0957::SB1,6041 EM,1677,1257,9,4,0,6,0,1158,118,0,0,0,6,0,0,1276,149,172,61,17,169,17,101,93,2,28,12,413,23
,Roermond,GR2014_Roermond,Gemeenteraad Roermond 2014,0957,Roermond,2014-03-19,Stembureau Verzorgingscentrum 'RCG',0957::SB2,6041 GC,1444,641,5,4,0,0,0,615,37,0,0,0,2,0,0,652,62,135,49,5,89,18,71,37,1,23,12,131,8
,Roermond,GR2014_Roermond,Gemeenteraad Roermond 2014,0957,Roermond,2014-03-19,Stembureau Theaterhotel De Oranjerie,0957::SB3,6041 JA,1386,981,4,4,0,1,0,908,82,0,0,0,1,0,0,990,138,136,58,6,127,24,100,72,1,19,9,276,15
,Roermond,GR2014_Roermond,Gemeenteraad Roermond 2014,0957,Roermond,2014-03-19,Stembureau Basisschool 'De Steenen Brug',0957::SB4,6041 LV,1292,947,2,5,0,0,0,854,100,0,0,0,0,0,0,954,146,169,50,2,136,5,105,60,2,19,5,237,11
,Roermond,GR2014_Roermond,Gemeenteraad Roermond 2014,0957,Roermond,2014-03-19,Stembureau Stichting 'Swalm en Roer',0957::SB5,6041 NB,1596,975,2,2,0,0,0,860,119,0,0,0,0,0,0,979,164,151,57,3,104,13,97,33,3,13,5,325,7
,Roermond,GR2014_Roermond,Gemeenteraad Roermond 2014,0957,Roermond,2014-03-19,Stembureau Basisschool Willem de Zwijger,0957::SB6,6042 BL,1607,722,4,7,0,0,0,685,49,0,1,0,1,0,0,734,83,88,64,3,167,16,45,49,7,25,5,162,8
,Roermond,GR2014_Roermond,Gemeenteraad Roermond 2014,0957,Roermond,2014-03-19,Stembureau Wijkhuis 'de Terp',0957::SB7,6043 RW,1452,544,1,2,0,0,0,454,93,0,0,0,0,0,0,547,12,65,94,4,35,3,12,13,24,20,15,241,6
,Roermond,GR2014_Roermond,Gemeenteraad Roermond 2014,0957,Roermond,2014-03-19,Stembureau Zalencentrum 'De Velderie',0957::SB8,6043 BG,1337,802,0,9,0,1,0,692,120,0,0,0,1,0,0,812,19,66,109,6,54,28,24,22,34,13,17,392,18
,Roermond,GR2014_Roermond,Gemeenteraad Roermond 2014,0957,Roermond,2014-03-19,Stembureau Zorgcentrum 'Roncalli',0957::SB9,6042 BC,1295,662,1,6,0,0,0,602,67,0,0,0,0,0,0,669,22,129,58,1,93,20,34,30,8,39,9,207,12
,Roermond,GR2014_Roermond,Gemeenteraad Roermond 2014,0957,Roermond,2014-03-19,Stembureau Basisschool 'Ankertje-Kompas',0957::SB10,6043 XM,1161,568,1,3,0,0,0,507,64,0,1,1,0,0,0,571,59,99,55,12,80,10,30,15,3,23,6,172,4
