contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,WSP,VVD,CDA,Democraten 66 (D66),GROENLINKS,Partij van de Arbeid (P.v.d.A.),Artikel50
,Weesp,GR2014_Weesp,Gemeenteraad Weesp 2014,0457,Weesp,2014-03-19,Stembureau Stadskantoor,0457::SB1,1381 BD,1365,1221,4,9,0,0,0,1131,103,0,0,0,0,0,0,1234,273,129,164,237,215,135,68
,Weesp,GR2014_Weesp,Gemeenteraad Weesp 2014,0457,Weesp,2014-03-19,Stembureau Gebouw Papelaan 99,0457::SB2,1382 RK,1612,758,2,6,0,0,0,691,75,0,0,0,0,0,0,766,218,73,48,109,114,135,61
,Weesp,GR2014_Weesp,Gemeenteraad Weesp 2014,0457,Weesp,2014-03-19,Stembureau De Hogeweyk,0457::SB3,1382 GV,1768,609,3,4,0,0,0,557,58,0,0,1,0,0,0,615,193,46,69,88,82,83,48
,Weesp,GR2014_Weesp,Gemeenteraad Weesp 2014,0457,Weesp,2014-03-19,Stembureau Vechtstede college,0457::SB4,1381 CD,1835,975,6,6,0,0,0,881,106,0,0,0,0,0,0,987,315,102,124,116,104,157,57
,Weesp,GR2014_Weesp,Gemeenteraad Weesp 2014,0457,Weesp,2014-03-19,Stembureau Brede school Kors Breijer,0457::SB5,1382 GJ,1592,621,3,3,0,0,0,570,57,0,0,0,0,0,0,627,169,61,90,87,83,104,27
,Weesp,GR2014_Weesp,Gemeenteraad Weesp 2014,0457,Weesp,2014-03-19,Stembureau Verzorgingshuis Oversingel,0457::SB6,1381 DE,1148,772,4,5,0,0,0,720,61,0,0,0,0,0,0,781,206,54,150,93,126,97,46
,Weesp,GR2014_Weesp,Gemeenteraad Weesp 2014,0457,Weesp,2014-03-19,Stembureau Sporth. Aetsveld,0457::SB7,1383 ED,1484,697,2,2,0,0,0,650,54,3,0,0,3,0,0,704,208,88,77,90,106,88,40
,Weesp,GR2014_Weesp,Gemeenteraad Weesp 2014,0457,Weesp,2014-03-19,Stembureau Sporthal Aetsveld,0457::SB8,1383 ED,1459,868,6,3,0,0,0,797,80,0,0,0,0,0,0,877,287,89,108,121,105,94,64
,Weesp,GR2014_Weesp,Gemeenteraad Weesp 2014,0457,Weesp,2014-03-19,Stembureau Brandweerkazerne,0457::SB9,1381 CZ,1276,809,3,1,0,0,0,737,76,0,0,0,0,0,0,813,202,82,122,110,140,94,59
,Weesp,GR2014_Weesp,Gemeenteraad Weesp 2014,0457,Weesp,2014-03-19,Stembureau Volvo Garage,0457::SB10,1382 LE,959,598,4,1,0,0,0,531,72,0,0,0,0,0,0,603,110,77,99,156,67,84,5
