contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,GROENLINKS,Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),SP (Socialistische Partij),VVD,CDA,Verenigde Senioren Partij,Gewoon Nijmegen,De Nijmeegse Fractie,Creatieve Partij Nijmegen 2.0,ChristenUnie,Piratenpartij,ONP/PSP'92,OPA
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau Lindenberg.,0268::SB1,6511 TM,1296,494,2,0,0,0,0,455,41,0,0,0,0,0,0,496,112,40,80,114,52,4,8,22,15,36,6,0,5,0
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau Buurthuis Het Oude Weeshuis,0268::SB2,6511 WT,1379,913,2,0,0,0,0,841,74,0,0,0,0,0,0,915,198,49,130,171,71,18,18,136,79,29,8,0,2,4
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau Stadhuis,0268::SB3,6511 PP,1586,1031,6,3,0,0,0,968,72,0,0,0,0,0,0,1040,212,95,205,182,118,34,18,36,73,33,14,3,6,2
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau Stadswinkel,0268::SB4,6511 PS,1608,808,5,3,0,0,0,756,60,0,0,0,0,0,0,816,162,74,184,133,100,26,7,27,44,24,20,2,5,0
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau Activiteitencentrum Doddendaal,0268::SB5,6511 DM,1533,715,3,3,2,0,0,675,44,0,0,2,0,0,0,719,144,51,183,90,99,20,5,42,52,17,6,2,3,1
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau Kolpinghuis,0268::SB6,6511 ER,1446,755,2,1,1,0,0,719,38,0,0,1,0,0,0,757,107,73,202,77,146,32,13,35,38,13,11,4,1,3
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau Hotel Manna,0268::SB7,6511 NS,1598,639,2,1,0,0,0,601,41,0,0,0,0,0,0,642,129,53,193,62,125,15,3,13,20,13,11,2,0,0
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau Wijkcentrum Burghardt,0268::SB8,6512 DR,1548,1101,3,5,0,2,0,1056,55,0,0,0,2,0,0,1111,292,98,267,148,125,26,2,18,48,43,23,3,5,3
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau Cordium Centrum voor groei en ontw.,0268::SB9,6512 GB,1548,565,2,4,0,0,0,533,38,0,0,0,0,0,0,571,159,71,125,93,44,6,6,4,22,25,5,3,1,1
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau School de Driemaster,0268::SB10,6512 GD,1441,750,4,8,0,0,0,714,48,0,0,0,0,0,0,762,197,120,113,158,61,4,8,6,21,48,10,1,3,0
