contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),VVD,CDA,Weststellingwerfs Belang,GROENLINKS,Weststellingwerf Natuurlijk!,Vrijheid Voor Allen - VVA
,Weststellingwerf,GR2014_Weststellingwerf,Gemeenteraad Weststellingwerf 2014,0098,Weststellingwerf,2014-03-19,Stembureau Lindestede loc.Verpleeghuis Wolvega,0098::SB1,8471 KZ,1889,723,4,4,0,0,0,675,56,0,0,0,0,0,0,731,195,106,157,93,58,52,62
,Weststellingwerf,GR2014_Weststellingwerf,Gemeenteraad Weststellingwerf 2014,0098,Weststellingwerf,2014-03-19,"Stembureau Lycklama Stins, Wolvega",0098::SB2,8472 AB,1949,939,7,1,0,0,0,876,75,4,0,0,4,0,0,951,209,196,221,125,88,63,37
,Weststellingwerf,GR2014_Weststellingwerf,Gemeenteraad Weststellingwerf 2014,0098,Weststellingwerf,2014-03-19,"Stembureau Hotel Wolvega/Holland Inn, Wolvega",0098::SB3,8471 MT,1607,828,4,1,0,0,0,763,70,0,0,0,0,0,0,833,232,125,177,128,64,45,57
,Weststellingwerf,GR2014_Weststellingwerf,Gemeenteraad Weststellingwerf 2014,0098,Weststellingwerf,2014-03-19,"Stembureau Sickengaoord, Wolvega",0098::SB4,8471 BS,1555,787,5,1,0,0,0,728,65,0,0,0,0,0,0,793,165,111,178,172,62,29,70
,Weststellingwerf,GR2014_Weststellingwerf,Gemeenteraad Weststellingwerf 2014,0098,Weststellingwerf,2014-03-19,"Stembureau Clubhuis ""Het Wolvennest"", Wolvega",0098::SB5,8471 HH,1542,707,7,7,0,0,0,676,45,0,0,0,0,0,0,721,141,100,133,144,84,40,65
,Weststellingwerf,GR2014_Weststellingwerf,Gemeenteraad Weststellingwerf 2014,0098,Weststellingwerf,2014-03-19,"Stembureau OBS ""De Heidepolle"", Wolvega",0098::SB6,8471 VM,1476,685,2,0,0,0,0,629,58,0,0,0,0,0,0,687,147,106,125,128,67,53,59
,Weststellingwerf,GR2014_Weststellingwerf,Gemeenteraad Weststellingwerf 2014,0098,Weststellingwerf,2014-03-19,"Stembureau 't Polderhuus, Munnekeburen",0098::SB7,8485 JE,1137,683,3,1,0,0,0,580,107,0,0,0,0,0,0,687,67,115,104,48,106,234,9
,Weststellingwerf,GR2014_Weststellingwerf,Gemeenteraad Weststellingwerf 2014,0098,Weststellingwerf,2014-03-19,"Stembureau Dorpshuis, Oldelamer",0098::SB8,8486 GD,286,210,2,0,0,0,0,182,30,0,0,0,0,0,0,212,21,80,66,11,21,5,6
,Weststellingwerf,GR2014_Weststellingwerf,Gemeenteraad Weststellingwerf 2014,0098,Weststellingwerf,2014-03-19,"Stembureau Dorpshuis ""De Bult"", Ter Idzard",0098::SB9,8476 EN,495,344,1,0,0,0,0,304,41,0,0,0,0,0,0,345,48,97,118,23,40,7,11
,Weststellingwerf,GR2014_Weststellingwerf,Gemeenteraad Weststellingwerf 2014,0098,Weststellingwerf,2014-03-19,"Stembureau OBS ""De Striepe"", Oldeholtpade",0098::SB10,8474 CE,848,498,0,3,0,0,0,464,37,0,0,0,0,0,0,501,110,118,74,50,62,25,59
