contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),CDA,Lokale Partij Middelburg (LPM),VVD,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),ChristenUnie,SP (Socialistische Partij),Democraten 66 (D66),OPA Middelburg
,Middelburg,GR2014_Middelburg,Gemeenteraad Middelburg 2014,0687,Middelburg,2014-03-19,Stembureau Willibrord Verpleeghuis,0687::SB1,,1553,966,3,2,0,0,0,877,94,0,0,0,0,0,0,971,164,58,160,142,72,30,70,95,153,22
,Middelburg,GR2014_Middelburg,Gemeenteraad Middelburg 2014,0687,Middelburg,2014-03-19,Stembureau Acaciahof,0687::SB2,,1521,818,4,4,0,0,0,746,80,0,0,0,0,0,0,826,112,62,136,141,91,18,49,72,126,11
,Middelburg,GR2014_Middelburg,Gemeenteraad Middelburg 2014,0687,Middelburg,2014-03-19,Stembureau Ver.gebouw Gasthuiskerk,0687::SB3,,1327,694,1,1,0,0,0,641,55,0,0,0,0,0,0,696,102,54,124,103,59,29,30,76,106,11
,Middelburg,GR2014_Middelburg,Gemeenteraad Middelburg 2014,0687,Middelburg,2014-03-19,Stembureau Wijkcentrum Van Cittershoff,0687::SB4,,904,657,0,1,0,0,0,592,66,0,0,0,0,0,0,658,65,184,52,51,32,121,69,36,40,7
,Middelburg,GR2014_Middelburg,Gemeenteraad Middelburg 2014,0687,Middelburg,2014-03-19,Stembureau Zorgcentrum Eben-Haëzer,0687::SB5,,1149,857,2,1,0,0,0,780,80,0,0,0,0,0,0,860,110,134,91,112,35,170,64,60,71,10
,Middelburg,GR2014_Middelburg,Gemeenteraad Middelburg 2014,0687,Middelburg,2014-03-19,Stembureau 't Gasthuis,0687::SB6,,1655,1078,5,1,0,0,0,961,123,0,0,0,0,0,0,1084,159,145,167,112,63,96,78,101,141,16
,Middelburg,GR2014_Middelburg,Gemeenteraad Middelburg 2014,0687,Middelburg,2014-03-19,Stembureau Hof van Buren (Grand Café Willem),0687::SB7,,1602,1296,0,6,0,0,0,1183,120,0,1,0,1,0,0,1303,247,133,238,140,72,60,90,164,121,31
,Middelburg,GR2014_Middelburg,Gemeenteraad Middelburg 2014,0687,Middelburg,2014-03-19,Stembureau Wijkgebouw 't Bolwerk,0687::SB8,4331 TB,1052,623,0,2,0,0,0,574,51,0,0,0,0,0,0,625,91,60,80,79,56,61,53,78,63,2
,Middelburg,GR2014_Middelburg,Gemeenteraad Middelburg 2014,0687,Middelburg,2014-03-19,Stembureau Praktijkschool Het Bolwerk,0687::SB9,,1224,807,4,5,0,0,0,731,85,0,0,0,0,0,0,816,147,93,93,112,40,72,65,66,104,15
,Middelburg,GR2014_Middelburg,Gemeenteraad Middelburg 2014,0687,Middelburg,2014-03-19,Stembureau Durps'uus op d'n oek,0687::SB10,,1064,651,1,0,0,0,0,586,66,0,0,0,0,0,0,652,44,140,113,39,59,100,56,66,26,8
,Middelburg,GR2014_Middelburg,Gemeenteraad Middelburg 2014,0687,Middelburg,2014-03-19,Stembureau De Olmenhof,0687::SB12,4334 CN,1316,797,2,0,0,0,0,716,83,0,0,0,0,0,0,799,145,90,119,81,62,54,55,97,80,14
,Middelburg,GR2014_Middelburg,Gemeenteraad Middelburg 2014,0687,Middelburg,2014-03-19,Stembureau Kerkgebouw de Morgenster,0687::SB13,,1154,790,2,1,0,0,0,704,89,0,0,0,0,0,0,793,110,85,115,53,31,188,80,63,54,11
,Middelburg,GR2014_Middelburg,Gemeenteraad Middelburg 2014,0687,Middelburg,2014-03-19,Stembureau Kerkgebouw de Hoeksteen,0687::SB14,,1433,932,1,4,0,0,0,854,82,0,0,1,0,0,1,936,184,103,238,55,44,22,67,139,49,31
,Middelburg,GR2014_Middelburg,Gemeenteraad Middelburg 2014,0687,Middelburg,2014-03-19,Stembureau Kerkgebouw de Morgenster,0687::SB16,,1122,511,1,0,0,0,0,446,66,0,0,0,0,0,0,512,77,57,60,44,23,103,43,48,45,11
,Middelburg,GR2014_Middelburg,Gemeenteraad Middelburg 2014,0687,Middelburg,2014-03-19,Stembureau De Ontmoetingskerk,0687::SB17,,1506,660,3,1,0,0,0,613,51,0,0,0,0,0,0,664,134,69,98,50,22,66,59,95,57,10
,Middelburg,GR2014_Middelburg,Gemeenteraad Middelburg 2014,0687,Middelburg,2014-03-19,Stembureau Het Getij,0687::SB19,,1491,899,6,3,0,0,0,823,85,0,0,0,0,0,0,908,187,70,155,66,36,75,68,139,70,33
,Middelburg,GR2014_Middelburg,Gemeenteraad Middelburg 2014,0687,Middelburg,2014-03-19,Stembureau Wijkcentrum Palet,0687::SB20,,1152,894,0,3,0,0,0,816,81,0,0,0,0,0,0,897,154,115,166,74,34,47,60,123,82,39
,Middelburg,GR2014_Middelburg,Gemeenteraad Middelburg 2014,0687,Middelburg,2014-03-19,Stembureau Scalda Ravensteijnweg,0687::SB21,,1317,639,2,0,0,0,0,555,86,0,0,0,0,0,0,641,56,81,102,149,27,42,58,25,90,9
,Middelburg,GR2014_Middelburg,Gemeenteraad Middelburg 2014,0687,Middelburg,2014-03-19,Stembureau R.K. Franciscusschool,0687::SB22,,1407,581,0,1,0,0,0,523,59,0,0,0,0,0,0,582,98,56,126,54,31,21,52,69,57,17
,Middelburg,GR2014_Middelburg,Gemeenteraad Middelburg 2014,0687,Middelburg,2014-03-19,Stembureau Rustenburg,0687::SB23,,1483,681,1,2,0,0,0,640,44,0,0,0,0,0,0,684,133,81,150,40,33,25,54,109,47,9
,Middelburg,GR2014_Middelburg,Gemeenteraad Middelburg 2014,0687,Middelburg,2014-03-19,Stembureau Verpleegcentrum Buitenrust,0687::SB24,,1244,491,0,2,0,0,0,450,43,0,0,0,0,0,0,493,84,57,77,52,22,16,54,72,47,10
,Middelburg,GR2014_Middelburg,Gemeenteraad Middelburg 2014,0687,Middelburg,2014-03-19,Stembureau Dolfijnenburch,0687::SB25,,1163,997,2,3,0,0,0,905,97,0,0,0,0,0,0,1002,169,132,101,113,85,88,106,79,113,11
,Middelburg,GR2014_Middelburg,Gemeenteraad Middelburg 2014,0687,Middelburg,2014-03-19,Stembureau Wijkcentrum Palet,0687::SB26,,1401,753,3,0,0,0,0,688,68,0,0,0,0,0,0,756,127,100,155,76,33,40,58,77,63,24
,Middelburg,GR2014_Middelburg,Gemeenteraad Middelburg 2014,0687,Middelburg,2014-03-19,Stembureau Cypressenhof,0687::SB27,,1264,464,1,0,0,0,0,416,49,0,0,0,0,0,0,465,80,53,92,39,14,23,51,69,35,8
,Middelburg,GR2014_Middelburg,Gemeenteraad Middelburg 2014,0687,Middelburg,2014-03-19,Stembureau Zeeuwse Bibliotheek,0687::SB28,,941,744,0,5,0,0,0,681,68,0,0,0,0,0,0,749,105,86,119,99,59,42,39,83,102,10
,Middelburg,GR2014_Middelburg,Gemeenteraad Middelburg 2014,0687,Middelburg,2014-03-19,Stembureau Clubgebouw M.Z.V.C.,0687::SB29,,1257,572,1,0,0,0,0,515,58,0,0,0,0,0,0,573,93,76,77,110,28,20,50,28,84,6
