contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,GemeenteBelangen,ChristenUnie,VVD,Staatkundig Gereformeerde Partij (SGP),Partij van de Arbeid (P.v.d.A.),OPA Katwijk,KiesKatwijk,Hart Voor Katwijk,Democraten 66 (D66),JEZUS LEEFT
,Katwijk,GR2014_Katwijk,Gemeenteraad Katwijk 2014,0537,Katwijk,2014-03-19,Stembureau Gemeentehuis,0537::SB1,2224 EW,1508,1101,2,3,0,1,0,972,136,0,1,0,2,0,0,1108,195,125,167,58,233,74,23,77,98,45,6
,Katwijk,GR2014_Katwijk,Gemeenteraad Katwijk 2014,0537,Katwijk,2014-03-19,"Stembureau De Duinroos, locatie Otto Baron",0537::SB2,2223 VG,1717,853,1,3,0,0,0,758,99,0,0,0,0,0,0,857,120,134,96,48,57,80,38,60,160,47,13
,Katwijk,GR2014_Katwijk,Gemeenteraad Katwijk 2014,0537,Katwijk,2014-03-19,Stembureau De Wilbert,0537::SB3,2223 ER,1263,781,6,3,0,0,0,738,52,0,0,0,0,0,0,790,160,118,96,58,89,38,16,58,117,30,1
,Katwijk,GR2014_Katwijk,Gemeenteraad Katwijk 2014,0537,Katwijk,2014-03-19,Stembureau De Horizon,0537::SB4,2223 AP,1588,1077,1,3,0,0,0,941,140,0,0,0,0,0,0,1081,236,167,117,85,87,55,17,127,120,52,14
,Katwijk,GR2014_Katwijk,Gemeenteraad Katwijk 2014,0537,Katwijk,2014-03-19,Stembureau De Duinroos,0537::SB5,2224 XA,1513,886,2,0,0,0,0,771,117,0,0,0,0,0,0,888,167,100,146,50,150,41,15,58,100,55,4
,Katwijk,GR2014_Katwijk,Gemeenteraad Katwijk 2014,0537,Katwijk,2014-03-19,Stembureau Woonzorgcentrum Salem,0537::SB6,2225 RT,1532,978,2,5,0,2,0,878,109,0,0,0,2,0,0,987,176,65,227,30,295,23,18,45,73,19,7
,Katwijk,GR2014_Katwijk,Gemeenteraad Katwijk 2014,0537,Katwijk,2014-03-19,Stembureau Bibliotheek Katwijk Zee,0537::SB7,2225 MA,1337,1316,2,13,0,0,0,1127,204,0,0,0,0,0,0,1331,163,78,289,50,432,52,40,65,95,33,19
,Katwijk,GR2014_Katwijk,Gemeenteraad Katwijk 2014,0537,Katwijk,2014-03-19,Stembureau K&O Gebouw,0537::SB8,2225 XM,1448,1068,2,4,0,0,0,892,182,0,0,0,0,0,0,1074,182,87,233,69,287,39,25,44,66,32,4
,Katwijk,GR2014_Katwijk,Gemeenteraad Katwijk 2014,0537,Katwijk,2014-03-19,Stembureau Wijkgebouw 't Zandgat,0537::SB9,2225 AS,1465,715,2,6,1,0,0,630,94,0,0,0,1,0,0,724,105,55,151,29,185,29,24,32,66,28,11
,Katwijk,GR2014_Katwijk,Gemeenteraad Katwijk 2014,0537,Katwijk,2014-03-19,Stembureau Dienstencentrum Zwanenburg,0537::SB10,2225 DZ,1849,1111,0,4,0,0,0,963,152,0,0,0,0,0,0,1115,176,75,193,53,380,40,26,47,73,40,8
