contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),CDA,Wakker Emmen,VVD,Democraten 66 (D66),Drentse Ouderenpartijen - DOP,LEF!,GROENLINKS,ChristenUnie,Vrolijk Emmen,SOPN
,Emmen,GR2014_Emmen,Gemeenteraad Emmen 2014,0114,Emmen,2014-03-19,Stembureau Gemeentehuis Locatie 1,0114::SB1,,951,668,0,4,0,0,0,602,70,0,0,0,0,0,0,672,144,148,80,92,61,31,59,16,34,2,1
,Emmen,GR2014_Emmen,Gemeenteraad Emmen 2014,0114,Emmen,2014-03-19,Stembureau Zorgcentrum Oostermarke,0114::SB2,,972,708,1,1,0,0,0,653,57,0,0,0,0,0,0,710,112,134,101,99,109,28,46,21,57,1,0
,Emmen,GR2014_Emmen,Gemeenteraad Emmen 2014,0114,Emmen,2014-03-19,Stembureau S.B.O. de Toermalijn,0114::SB3,,597,410,0,3,0,0,0,366,47,0,0,0,0,0,0,413,68,64,77,48,49,25,18,19,35,1,6
,Emmen,GR2014_Emmen,Gemeenteraad Emmen 2014,0114,Emmen,2014-03-19,Stembureau Zorgcentrum Holdert,0114::SB4,,709,387,0,4,0,0,0,349,42,0,0,0,0,0,0,391,105,84,70,16,15,57,11,3,22,0,4
,Emmen,GR2014_Emmen,Gemeenteraad Emmen 2014,0114,Emmen,2014-03-19,Stembureau Wijkcentrum Meerstede,0114::SB5,,1352,573,1,5,0,0,0,524,55,0,0,0,0,0,0,579,114,54,142,22,44,82,15,21,48,5,26
,Emmen,GR2014_Emmen,Gemeenteraad Emmen 2014,0114,Emmen,2014-03-19,Stembureau Ichthus,0114::SB6,,1256,688,1,2,0,0,0,642,49,0,0,0,0,0,0,691,127,116,94,59,90,57,45,23,59,6,12
,Emmen,GR2014_Emmen,Gemeenteraad Emmen 2014,0114,Emmen,2014-03-19,Stembureau R.K.b.s. St. Frans,0114::SB7,,1300,468,0,0,0,0,0,422,46,0,0,0,0,0,0,468,105,39,109,23,38,47,31,18,37,6,15
,Emmen,GR2014_Emmen,Gemeenteraad Emmen 2014,0114,Emmen,2014-03-19,Stembureau O.b.s. Emmermeer,0114::SB8,,1324,546,1,3,0,0,0,514,36,0,0,0,0,0,0,550,128,89,126,17,24,71,14,26,28,5,18
,Emmen,GR2014_Emmen,Gemeenteraad Emmen 2014,0114,Emmen,2014-03-19,Stembureau Zorgcentrum Zuidermarke,0114::SB9,,1507,908,0,1,0,0,0,843,66,0,0,0,0,0,0,909,190,150,205,48,60,131,46,13,55,3,7
,Emmen,GR2014_Emmen,Gemeenteraad Emmen 2014,0114,Emmen,2014-03-19,Stembureau AOC Terra,0114::SB10,,651,342,0,0,0,0,0,313,29,0,0,0,0,0,0,342,52,73,64,52,40,10,17,9,20,1,4
