contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,ONS Voorschoten,VVD,CDA,GROENLINKS,Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),SP (Socialistische Partij)
,Voorschoten,GR2014_Voorschoten,Gemeenteraad Voorschoten 2014,0626,Voorschoten,2014-03-19,Stembureau Kerk Het Kruispunt,0626::SB1,2251 BH,1094,782,10,4,0,2,0,735,63,0,0,0,2,0,0,798,158,151,154,78,62,92,87
,Voorschoten,GR2014_Voorschoten,Gemeenteraad Voorschoten 2014,0626,Voorschoten,2014-03-19,Stembureau Zorgcentr. Topaz,0626::SB2,2251 VG,1668,876,4,6,0,1,0,810,75,0,0,1,0,0,0,885,215,111,179,81,80,98,112
,Voorschoten,GR2014_Voorschoten,Gemeenteraad Voorschoten 2014,0626,Voorschoten,2014-03-19,Stembureau Gym. Ver. Avanti,0626::SB3,2252 KZ,976,524,2,0,0,0,0,484,42,0,0,0,0,0,0,526,79,158,103,62,29,71,22
,Voorschoten,GR2014_Voorschoten,Gemeenteraad Voorschoten 2014,0626,Voorschoten,2014-03-19,Stembureau School Het Kompas,0626::SB4,2253 VW,1445,701,5,0,0,0,0,636,70,0,0,0,0,0,0,706,167,136,118,85,54,101,40
,Voorschoten,GR2014_Voorschoten,Gemeenteraad Voorschoten 2014,0626,Voorschoten,2014-03-19,Stembureau Florence Adegeest,0626::SB5,2253 XL,1361,696,3,1,0,1,0,629,70,0,0,1,0,0,0,699,137,119,136,95,56,103,50
,Voorschoten,GR2014_Voorschoten,Gemeenteraad Voorschoten 2014,0626,Voorschoten,2014-03-19,Stembureau Alettahof,0626::SB6,2253 RP,1526,1149,5,1,0,0,0,1047,108,0,0,0,0,0,0,1155,259,174,163,149,96,177,131
,Voorschoten,GR2014_Voorschoten,Gemeenteraad Voorschoten 2014,0626,Voorschoten,2014-03-19,Stembureau Serviceflat Rossini,0626::SB7,2253 GA,1121,702,1,2,0,0,0,642,63,0,0,0,0,0,0,705,168,137,116,70,52,125,34
,Voorschoten,GR2014_Voorschoten,Gemeenteraad Voorschoten 2014,0626,Voorschoten,2014-03-19,Stembureau Cult. Centrum,0626::SB8,2252 HH,1761,966,2,2,0,0,0,894,76,0,0,0,0,0,0,970,210,190,179,128,64,139,56
,Voorschoten,GR2014_Voorschoten,Gemeenteraad Voorschoten 2014,0626,Voorschoten,2014-03-19,Stembureau De Boschbloem,0626::SB9,2252 EA,1206,875,3,4,0,0,0,786,96,0,0,0,0,0,0,882,159,209,178,91,63,110,65
,Voorschoten,GR2014_Voorschoten,Gemeenteraad Voorschoten 2014,0626,Voorschoten,2014-03-19,Stembureau Brandweerkazerne,0626::SB10,2251 CT,931,1043,8,2,0,0,0,969,84,0,0,0,0,0,0,1053,219,219,256,84,60,125,80
,Voorschoten,GR2014_Voorschoten,Gemeenteraad Voorschoten 2014,0626,Voorschoten,2014-03-19,Stembureau Bondsgebouw,0626::SB11,2251 LG,1131,765,3,1,0,0,0,686,83,0,0,0,0,0,0,769,113,184,169,69,53,117,60
,Voorschoten,GR2014_Voorschoten,Gemeenteraad Voorschoten 2014,0626,Voorschoten,2014-03-19,Stembureau Britse School,0626::SB12,2252 BG,996,442,0,1,0,0,0,390,53,0,0,0,0,0,0,443,76,127,77,36,29,65,32
,Voorschoten,GR2014_Voorschoten,Gemeenteraad Voorschoten 2014,0626,Voorschoten,2014-03-19,Stembureau Bibliotheek,0626::SB13,2252 XN,1216,429,1,0,0,0,0,389,41,0,0,0,0,0,0,430,81,79,82,57,30,63,37
,Voorschoten,GR2014_Voorschoten,Gemeenteraad Voorschoten 2014,0626,Voorschoten,2014-03-19,Stembureau School Starrenburg,0626::SB14,2251 DM,1658,802,4,4,0,0,0,810,0,0,0,0,0,0,0,810,143,239,150,46,57,98,69
,Voorschoten,GR2014_Voorschoten,Gemeenteraad Voorschoten 2014,0626,Voorschoten,2014-03-19,Stembureau Sportzaal de Vos,0626::SB15,2251 ZM,1199,744,3,1,0,0,0,678,70,0,0,0,0,0,0,748,157,223,106,38,47,120,53
,Voorschoten,GR2014_Voorschoten,Gemeenteraad Voorschoten 2014,0626,Voorschoten,2014-03-19,Stembureau Taxi Avance,0626::SB16,2252 TW,9,413,3,0,0,0,0,382,34,0,0,0,0,0,0,416,68,81,64,51,24,89,36
