contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Castricum Kern(en) Gezond (CKenG),Gemeente- en Dorpsbelang (GDB),CDA,Partij van de Arbeid (P.v.d.A.),GROENLINKS,Democraten 66 (D66),De VrijeLijst,SP (Socialistische Partij)
,Castricum,GR2014_Castricum,Gemeenteraad Castricum 2014,0383,Castricum,2014-03-19,Stembureau Gemeentehuis,0383::SB1,1902 CA,1892,1343,4,9,0,0,0,1263,93,0,0,0,0,0,0,1356,141,237,50,171,95,174,236,87,152
,Castricum,GR2014_Castricum,Gemeenteraad Castricum 2014,0383,Castricum,2014-03-19,Stembureau Maranathakerk,0383::SB3,1901 CA,1909,1423,2,1,0,0,0,1313,113,0,0,0,0,0,0,1426,182,188,64,155,121,216,231,114,152
,Castricum,GR2014_Castricum,Gemeenteraad Castricum 2014,0383,Castricum,2014-03-19,Stembureau De Kern,0383::SB4,1901 EW,1910,1055,3,1,0,0,0,942,117,0,0,0,0,0,0,1059,122,189,68,123,95,131,163,71,93
,Castricum,GR2014_Castricum,Gemeenteraad Castricum 2014,0383,Castricum,2014-03-19,Stembureau Augustinusschool,0383::SB5,1900 AK,1403,721,3,4,4,0,0,673,59,0,0,0,4,0,0,732,80,103,39,108,59,86,124,39,83
,Castricum,GR2014_Castricum,Gemeenteraad Castricum 2014,0383,Castricum,2014-03-19,Stembureau Toermalijn,0383::SB6,1902 BE,1311,1003,1,3,0,1,0,924,84,0,0,0,1,0,0,1008,147,182,41,94,78,108,215,47,91
,Castricum,GR2014_Castricum,Gemeenteraad Castricum 2014,0383,Castricum,2014-03-19,Stembureau De Klimop,0383::SB7,1902 DH,1881,1118,5,0,0,0,0,1021,102,0,0,0,0,0,0,1123,157,236,66,122,79,100,184,62,112
,Castricum,GR2014_Castricum,Gemeenteraad Castricum 2014,0383,Castricum,2014-03-19,Stembureau Visser 't Hooftschool,0383::SB9,1902 KA,1935,1160,4,6,0,0,0,1048,122,0,0,0,0,0,0,1170,155,203,57,124,109,116,187,83,126
,Castricum,GR2014_Castricum,Gemeenteraad Castricum 2014,0383,Castricum,2014-03-19,Stembureau Clusius College,0383::SB10,1901 TX,1777,1015,2,4,0,0,0,942,79,0,0,0,0,0,0,1021,133,160,55,133,102,106,154,67,105
,Castricum,GR2014_Castricum,Gemeenteraad Castricum 2014,0383,Castricum,2014-03-19,Stembureau De Santmark,0383::SB11,1901 WZ,1735,963,1,1,0,0,0,883,82,0,0,0,0,0,0,965,105,173,50,150,93,95,124,53,120
,Castricum,GR2014_Castricum,Gemeenteraad Castricum 2014,0383,Castricum,2014-03-19,Stembureau Hotel Borst,0383::SB13,1901 KA,2358,1252,3,4,2,0,0,1156,101,0,0,2,0,0,0,1257,216,178,66,145,92,167,194,49,145
,Castricum,GR2014_Castricum,Gemeenteraad Castricum 2014,0383,Castricum,2014-03-19,Stembureau 't Kruispunt,0383::SB14,1921 XC,2051,1276,5,6,0,0,0,1184,103,0,0,0,0,0,0,1287,337,281,96,216,54,16,89,151,36
,Castricum,GR2014_Castricum,Gemeenteraad Castricum 2014,0383,Castricum,2014-03-19,Stembureau Bibliotheek,0383::SB15,1921 EK,1884,1036,0,0,0,0,0,951,85,0,0,0,0,0,0,1036,304,302,49,129,55,14,78,84,21
,Castricum,GR2014_Castricum,Gemeenteraad Castricum 2014,0383,Castricum,2014-03-19,Stembureau Pax Christi,0383::SB17,1906 CC,1872,1111,2,1,0,0,0,993,121,0,0,0,0,0,0,1114,195,104,393,142,52,44,86,34,61
,Castricum,GR2014_Castricum,Gemeenteraad Castricum 2014,0383,Castricum,2014-03-19,Stembureau Vredeburg,0383::SB18,1906 AL,1620,1059,1,3,0,0,0,954,109,0,0,0,0,0,0,1063,176,82,410,143,35,18,114,31,50
,Castricum,GR2014_Castricum,Gemeenteraad Castricum 2014,0383,Castricum,2014-03-19,Stembureau De Cameren,0383::SB19,1906 XA,1876,1052,0,6,0,0,0,976,82,0,0,0,0,0,0,1058,159,72,402,187,43,23,78,37,51
,Castricum,GR2014_Castricum,Gemeenteraad Castricum 2014,0383,Castricum,2014-03-19,Stembureau mobiel stembureau,0383::SB20,,0,331,0,2,0,0,0,293,40,0,0,0,0,0,0,333,56,39,11,33,25,32,42,50,43
,Castricum,GR2014_Castricum,Gemeenteraad Castricum 2014,0383,Castricum,2014-03-19,Stembureau Aangepast stembureau,0383::SB21,1901 AA,0,632,2,1,0,0,0,602,33,0,0,0,0,0,0,635,72,97,29,39,55,116,118,46,60
