contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,GBBL Ubach over Worms,Partij van de Arbeid (P.v.d.A.),CDA,GBBL Nieuwenhagen,GBBL Schaesberg,SP (Socialistische Partij),GROENLINKS,VVD,1Parkstad.nl,OPA,Democraten Landgraaf
,Landgraaf,GR2014_Landgraaf,Gemeenteraad Landgraaf 2014,0882,Landgraaf,2014-03-19,Stembureau Raadhuis,0882::SB1,6371 LA,1315,1094,6,3,0,0,0,949,154,0,0,0,0,0,0,1103,73,186,125,211,100,189,52,31,18,82,27
,Landgraaf,GR2014_Landgraaf,Gemeenteraad Landgraaf 2014,0882,Landgraaf,2014-03-19,Stembureau Zorgcentrum De Dormig,0882::SB2,6371 XN,947,437,2,0,0,0,0,375,64,0,0,0,0,0,0,439,22,83,45,55,59,84,14,29,10,23,13
,Landgraaf,GR2014_Landgraaf,Gemeenteraad Landgraaf 2014,0882,Landgraaf,2014-03-19,Stembureau Ontmoetingsruimte A gen Bruk,0882::SB3,6371 HW,1209,557,2,0,0,0,0,504,55,0,0,0,0,0,0,559,17,100,78,25,110,92,25,34,21,45,10
,Landgraaf,GR2014_Landgraaf,Gemeenteraad Landgraaf 2014,0882,Landgraaf,2014-03-19,Stembureau Parochiezaal Kerkplein,0882::SB11,6372 EZ,1538,902,6,3,0,0,0,804,107,0,0,0,0,0,0,911,36,141,110,40,280,161,31,33,18,37,15
,Landgraaf,GR2014_Landgraaf,Gemeenteraad Landgraaf 2014,0882,Landgraaf,2014-03-19,Stembureau Ontmoetingsruimte A gen Maar,0882::SB12,6372 ER,1539,689,3,2,0,0,0,616,80,0,2,0,0,0,0,696,24,97,73,13,256,114,24,25,9,43,11
,Landgraaf,GR2014_Landgraaf,Gemeenteraad Landgraaf 2014,0882,Landgraaf,2014-03-19,Stembureau Zorgcentrum Dr. Calshof,0882::SB22,6372 SP,1577,880,5,4,0,0,0,790,99,0,0,0,0,0,0,889,30,109,83,35,315,181,24,24,18,42,19
,Landgraaf,GR2014_Landgraaf,Gemeenteraad Landgraaf 2014,0882,Landgraaf,2014-03-19,Stembureau De Oefenbunker,0882::SB23,6371 HX,703,283,2,0,0,0,0,243,42,0,0,0,0,0,0,285,7,47,18,14,89,67,16,9,6,6,4
,Landgraaf,GR2014_Landgraaf,Gemeenteraad Landgraaf 2014,0882,Landgraaf,2014-03-19,Stembureau Basisschool Harlekijn,0882::SB30,6372 AC,1212,482,4,1,0,0,0,429,58,0,0,0,0,0,0,487,14,74,45,20,149,109,18,16,6,25,6
,Landgraaf,GR2014_Landgraaf,Gemeenteraad Landgraaf 2014,0882,Landgraaf,2014-03-19,Stembureau Parochiezaal St. Michael,0882::SB31,6372 VW,949,363,0,1,0,0,0,329,35,0,0,0,0,0,0,364,14,45,44,10,106,76,12,21,9,22,4
,Landgraaf,GR2014_Landgraaf,Gemeenteraad Landgraaf 2014,0882,Landgraaf,2014-03-19,Stembureau 't Noaberhoes De Wendelwiek,0882::SB32,6372 VM,1365,622,6,1,0,0,0,552,77,0,0,0,0,0,0,629,31,122,49,25,134,111,22,30,40,57,1
,Landgraaf,GR2014_Landgraaf,Gemeenteraad Landgraaf 2014,0882,Landgraaf,2014-03-19,Stembureau Buurthuis de Molt,0882::SB42,6371 EC,1503,655,3,1,0,1,0,569,90,0,0,0,0,0,0,659,28,100,66,61,109,106,76,60,14,31,4
,Landgraaf,GR2014_Landgraaf,Gemeenteraad Landgraaf 2014,0882,Landgraaf,2014-03-19,Stembureau Harmoniezaal SUN-plein,0882::SB101,6373 LG,1095,487,2,7,0,0,0,438,58,0,0,0,0,0,0,496,40,98,50,112,27,80,25,14,8,25,8
,Landgraaf,GR2014_Landgraaf,Gemeenteraad Landgraaf 2014,0882,Landgraaf,2014-03-19,Stembureau Bibliotheek Nieuwenhagen,0882::SB102,6373 JS,1453,562,2,1,0,0,0,489,76,0,0,0,0,0,0,565,46,135,56,130,29,71,28,10,5,44,8
,Landgraaf,GR2014_Landgraaf,Gemeenteraad Landgraaf 2014,0882,Landgraaf,2014-03-19,Stembureau Scouting St. Tarcisius,0882::SB111,6373 CW,1541,771,1,0,0,0,0,630,142,0,0,0,0,0,0,772,35,162,63,239,31,100,25,29,15,40,32
,Landgraaf,GR2014_Landgraaf,Gemeenteraad Landgraaf 2014,0882,Landgraaf,2014-03-19,Stembureau Ontmoetingscentrum Oude Heide,0882::SB112,6373 GJ,1645,826,2,4,0,0,0,744,88,0,0,0,0,0,0,832,47,162,73,265,30,117,26,20,7,67,12
,Landgraaf,GR2014_Landgraaf,Gemeenteraad Landgraaf 2014,0882,Landgraaf,2014-03-19,Stembureau Basisschool 't Valder,0882::SB121,6373 TT,1628,855,6,2,0,0,0,738,125,0,0,0,0,0,0,863,57,216,70,205,35,108,52,50,11,35,16
,Landgraaf,GR2014_Landgraaf,Gemeenteraad Landgraaf 2014,0882,Landgraaf,2014-03-19,Stembureau Gemeenschapshuis 't Ströatje,0882::SB201,6374 KC,1390,791,2,0,0,0,0,660,133,0,0,0,0,0,0,793,283,116,127,42,17,79,26,22,9,41,29
,Landgraaf,GR2014_Landgraaf,Gemeenteraad Landgraaf 2014,0882,Landgraaf,2014-03-19,Stembureau Zorgcentrum Heereveld,0882::SB202,6374 EN,974,534,0,8,0,0,0,499,41,0,0,2,0,0,0,540,166,85,102,32,15,64,23,13,1,26,7
,Landgraaf,GR2014_Landgraaf,Gemeenteraad Landgraaf 2014,0882,Landgraaf,2014-03-19,Stembureau Basisschool De Wegwijzer,0882::SB203,6374 AR,1276,590,7,1,0,0,0,516,82,0,0,0,0,0,0,598,216,87,44,30,21,77,51,17,9,25,13
,Landgraaf,GR2014_Landgraaf,Gemeenteraad Landgraaf 2014,0882,Landgraaf,2014-03-19,Stembureau Basisschool An d'r Put,0882::SB204,6374 HR,1107,734,2,1,0,0,0,620,117,0,0,0,0,0,0,737,267,115,150,32,14,65,38,12,7,31,3
,Landgraaf,GR2014_Landgraaf,Gemeenteraad Landgraaf 2014,0882,Landgraaf,2014-03-19,Stembureau Café d'r Sjtee Uul,0882::SB211,6374 GS,1583,767,0,2,0,0,0,662,107,0,0,0,0,0,0,769,267,123,89,66,11,95,24,9,8,36,39
,Landgraaf,GR2014_Landgraaf,Gemeenteraad Landgraaf 2014,0882,Landgraaf,2014-03-19,Stembureau Basisschool de Speurneus,0882::SB212,6374 NJ,1617,801,1,4,0,0,0,683,123,0,0,0,0,0,0,806,300,113,77,69,35,87,29,27,14,31,19
,Landgraaf,GR2014_Landgraaf,Gemeenteraad Landgraaf 2014,0882,Landgraaf,2014-03-19,Stembureau Gemeenschapshuis De Residentie,0882::SB221,6374 BK,1508,823,1,0,0,0,0,693,131,0,0,0,0,0,0,824,336,115,46,35,13,91,82,25,13,37,30
,Landgraaf,GR2014_Landgraaf,Gemeenteraad Landgraaf 2014,0882,Landgraaf,2014-03-19,Stembureau Gemeenschapshuis D'r Eck,0882::SB231,6374 LV,602,418,0,0,2,0,0,355,63,0,0,0,2,0,0,418,218,37,35,7,5,18,32,29,3,32,2
