contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,GemeenteBelang Westland (GBW),CDA,Lokale Politieke Federatie Westland,Westland Verstandig-LEO 2.0,ProgressiefWestland:PvdA/GroenLinks,VVD,ChristenUnie-SGP,Democraten 66 (D66),Nederlandse Volks-Unie (NVU)
,Westland,GR2014_Westland,Gemeenteraad Westland 2014,1783,Westland,2014-03-19,Stembureau Naaldwijk Gemeentehuis,1783::SB1,2671 GW,1452,1124,0,10,0,0,0,1023,111,0,0,0,0,0,0,1134,187,240,185,205,97,108,36,62,4
,Westland,GR2014_Westland,Gemeenteraad Westland 2014,1783,Westland,2014-03-19,Stembureau Naaldwijk Bibliotheek,1783::SB2,2671 GK,1375,783,3,0,0,0,0,709,77,0,0,0,0,0,0,786,109,240,122,159,43,61,18,30,1
,Westland,GR2014_Westland,Gemeenteraad Westland 2014,1783,Westland,2014-03-19,Stembureau Naaldwijk De Ouverture,1783::SB3,2671 VV,945,626,0,2,0,1,0,559,70,0,0,0,1,0,0,629,70,174,105,101,65,49,30,30,2
,Westland,GR2014_Westland,Gemeenteraad Westland 2014,1783,Westland,2014-03-19,Stembureau Naaldwijk De Naaldhorst,1783::SB4,2671 ME,1684,929,4,1,0,0,0,823,111,0,0,0,0,0,0,934,133,165,204,185,100,65,41,29,7
,Westland,GR2014_Westland,Gemeenteraad Westland 2014,1783,Westland,2014-03-19,Stembureau Naaldwijk Careyn Rozenhof,1783::SB5,2671 KH,1103,825,2,4,0,0,0,714,117,0,0,0,0,0,0,831,78,223,165,152,62,70,51,19,5
,Westland,GR2014_Westland,Gemeenteraad Westland 2014,1783,Westland,2014-03-19,Stembureau Naaldwijk Gymzaal Wollegras,1783::SB6,2671 ZZ,1707,1041,2,1,0,0,0,915,129,0,0,0,0,0,0,1044,123,223,226,159,96,121,30,63,0
,Westland,GR2014_Westland,Gemeenteraad Westland 2014,1783,Westland,2014-03-19,Stembureau Naaldwijk De Binnenhof,1783::SB7,2671 EG,1369,872,2,3,0,0,0,754,123,0,0,0,0,0,0,877,122,165,209,143,85,82,24,36,6
,Westland,GR2014_Westland,Gemeenteraad Westland 2014,1783,Westland,2014-03-19,Stembureau Naaldwijk Openbare Daltonschool,1783::SB8,2672 BB,1367,976,1,0,0,0,0,875,102,0,0,0,0,0,0,977,197,184,161,156,85,93,35,59,6
,Westland,GR2014_Westland,Gemeenteraad Westland 2014,1783,Westland,2014-03-19,Stembureau Naaldwijk Brandweerkazerne,1783::SB9,2671 JP,1335,763,3,0,0,0,0,684,82,0,0,0,0,0,0,766,103,130,169,124,90,64,27,48,8
,Westland,GR2014_Westland,Gemeenteraad Westland 2014,1783,Westland,2014-03-19,Stembureau Naaldwijk Bernadetteschool,1783::SB10,2673 BK,1838,1144,2,2,0,1,0,987,162,0,0,0,1,0,0,1149,220,246,191,143,44,202,34,58,6
