contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),VVD,CDA,Democraten 66 (D66),GROENLINKS,SP (Socialistische Partij),TROTS,Tilburgse Volkspartij (TVP),Verenigde Senioren Partij Tilburg,Voor Tilburg,Leefbare Wijken & Dorpen,OPA,Lijst Smolders Tilburg (LST),Democratisch Actief Tilburg (DAT)
,Tilburg,GR2014_Tilburg,Gemeenteraad Tilburg 2014,0855,Tilburg,2014-03-19,Stembureau Paleis Raadhuis,0855::SB1,,3669,1641,9,2,0,2,0,1494,157,0,0,0,2,0,0,1651,115,231,124,460,191,170,20,53,18,61,7,32,148,11
,Tilburg,GR2014_Tilburg,Gemeenteraad Tilburg 2014,0855,Tilburg,2014-03-19,Stembureau Omgevingsdienst MWB,0855::SB2,,3491,734,2,0,0,0,0,691,45,0,0,0,0,0,0,736,76,87,63,187,103,87,6,21,15,13,2,13,54,7
,Tilburg,GR2014_Tilburg,Gemeenteraad Tilburg 2014,0855,Tilburg,2014-03-19,Stembureau Wijkcentrum in de Boomtak,0855::SB3,,4206,2165,3,7,0,0,0,1998,183,0,0,2,0,0,0,2181,172,195,211,491,287,290,33,94,80,65,6,21,203,17
,Tilburg,GR2014_Tilburg,Gemeenteraad Tilburg 2014,0855,Tilburg,2014-03-19,Stembureau Huize Mater Misericordiae,0855::SB5,,4380,1376,10,4,0,0,0,1287,103,0,0,0,0,0,0,1390,110,115,211,331,149,186,23,46,25,26,2,12,135,5
,Tilburg,GR2014_Tilburg,Gemeenteraad Tilburg 2014,0855,Tilburg,2014-03-19,Stembureau Buurtcentrum de Spil,0855::SB6,,3781,1122,8,7,1,0,0,1019,119,0,0,0,1,0,0,1138,116,81,70,220,126,183,8,48,17,42,6,19,161,25
,Tilburg,GR2014_Tilburg,Gemeenteraad Tilburg 2014,0855,Tilburg,2014-03-19,Stembureau Regionaal Archief Tilburg,0855::SB7,,2857,1398,5,3,0,0,0,1285,100,0,0,3,0,0,0,1385,121,196,88,303,187,247,18,75,21,14,2,12,101,13
,Tilburg,GR2014_Tilburg,Gemeenteraad Tilburg 2014,0855,Tilburg,2014-03-19,Stembureau Basisschool Armhoefse Akker,0855::SB8,,2687,1468,5,2,0,0,0,1226,255,0,0,0,0,0,0,1481,155,159,130,321,200,149,20,145,9,35,2,17,111,15
,Tilburg,GR2014_Tilburg,Gemeenteraad Tilburg 2014,0855,Tilburg,2014-03-19,Stembureau Verzorgingshuis St.Jozefzorg,0855::SB9,,2345,964,5,3,0,0,0,896,76,0,0,0,0,0,0,972,76,76,67,171,93,168,17,48,20,23,1,12,178,14
,Tilburg,GR2014_Tilburg,Gemeenteraad Tilburg 2014,0855,Tilburg,2014-03-19,Stembureau Verzorgingshuis Koningsvoorde,0855::SB11,,4212,1392,4,4,0,0,0,1288,112,0,0,0,0,0,0,1400,200,78,107,197,84,225,22,71,68,45,5,35,241,14
,Tilburg,GR2014_Tilburg,Gemeenteraad Tilburg 2014,0855,Tilburg,2014-03-19,Stembureau Wijkcentrum De Nieuwe Stede,0855::SB12,,3473,1354,11,9,0,0,0,1269,105,0,0,0,0,0,0,1374,124,73,76,292,220,238,18,73,28,40,3,19,140,10
,Tilburg,GR2014_Tilburg,Gemeenteraad Tilburg 2014,0855,Tilburg,2014-03-19,Stembureau Seniorencomplex President Mandelahof,0855::SB13,,2667,898,5,3,0,0,0,836,70,0,0,0,0,0,0,906,91,54,42,149,108,153,13,63,32,39,4,13,126,11
,Tilburg,GR2014_Tilburg,Gemeenteraad Tilburg 2014,0855,Tilburg,2014-03-19,Stembureau Servicecentrum Het Laar,0855::SB14,,2512,857,4,4,0,1,0,786,80,0,0,0,1,0,0,866,79,98,135,132,72,121,15,43,33,23,1,3,98,4
,Tilburg,GR2014_Tilburg,Gemeenteraad Tilburg 2014,0855,Tilburg,2014-03-19,Stembureau Wijkcentrum Spijkerbeemden,0855::SB15,,3320,865,5,6,0,0,0,773,103,0,0,0,0,0,0,876,118,61,58,119,81,149,13,48,24,30,5,12,141,6
,Tilburg,GR2014_Tilburg,Gemeenteraad Tilburg 2014,0855,Tilburg,2014-03-19,Stembureau Basisschool De Alm,0855::SB16,,2483,722,1,3,0,0,0,644,82,0,0,0,0,0,0,726,71,27,51,63,35,147,26,20,30,24,1,25,190,12
,Tilburg,GR2014_Tilburg,Gemeenteraad Tilburg 2014,0855,Tilburg,2014-03-19,Stembureau Sportcafe De Blaak,0855::SB17,,2980,1515,0,1,0,0,0,1355,161,0,0,0,0,0,0,1516,96,266,209,355,93,125,23,76,14,26,0,18,159,55
,Tilburg,GR2014_Tilburg,Gemeenteraad Tilburg 2014,0855,Tilburg,2014-03-19,Stembureau Openbare Basisschool De Blaak,0855::SB18,,2406,1546,1,1,0,3,0,1311,240,0,0,0,3,0,0,1551,116,217,220,347,109,135,21,76,10,27,4,9,180,75
,Tilburg,GR2014_Tilburg,Gemeenteraad Tilburg 2014,0855,Tilburg,2014-03-19,Stembureau Basisschool Christoffel Tilburg,0855::SB19,,3507,1902,8,5,0,3,0,1726,192,0,0,0,3,0,0,1918,166,341,325,412,170,125,13,78,39,34,2,19,166,12
,Tilburg,GR2014_Tilburg,Gemeenteraad Tilburg 2014,0855,Tilburg,2014-03-19,Stembureau Het Corpac Huis,0855::SB20,,2859,929,4,2,0,0,0,834,101,0,0,0,0,0,0,935,65,86,185,212,82,95,15,43,28,23,4,7,83,1
,Tilburg,GR2014_Tilburg,Gemeenteraad Tilburg 2014,0855,Tilburg,2014-03-19,Stembureau Intermezzo (kantoor WonenBreburg),0855::SB21,,2226,1268,2,5,0,0,0,1175,100,0,0,0,0,0,0,1275,98,196,158,335,106,115,15,30,78,33,6,13,76,9
,Tilburg,GR2014_Tilburg,Gemeenteraad Tilburg 2014,0855,Tilburg,2014-03-19,Stembureau Verzorgingscentrum Den Herdgang,0855::SB22,,2432,1009,2,1,0,0,0,942,70,0,0,0,0,0,0,1012,83,83,77,160,126,151,24,29,58,41,4,18,149,6
,Tilburg,GR2014_Tilburg,Gemeenteraad Tilburg 2014,0855,Tilburg,2014-03-19,Stembureau Woonzorgcentrum Joannes Zwijsen,0855::SB23,,2632,1054,2,9,0,0,0,993,73,0,1,0,1,0,0,1066,102,101,98,231,136,142,17,31,23,38,3,21,101,10
,Tilburg,GR2014_Tilburg,Gemeenteraad Tilburg 2014,0855,Tilburg,2014-03-19,Stembureau Woonzorgcentrum De Bijsterstede,0855::SB24,,2458,1127,6,3,1,0,0,1043,94,0,0,0,1,0,0,1137,81,85,91,189,188,205,17,36,26,34,5,12,142,16
,Tilburg,GR2014_Tilburg,Gemeenteraad Tilburg 2014,0855,Tilburg,2014-03-19,Stembureau Basisschool den Bijstere,0855::SB25,,3034,1111,4,2,0,2,0,1025,94,0,0,0,2,0,0,1119,88,95,88,290,160,145,9,40,18,26,4,10,131,7
,Tilburg,GR2014_Tilburg,Gemeenteraad Tilburg 2014,0855,Tilburg,2014-03-19,Stembureau Openbare Basisschool Yore,0855::SB26,,2226,788,2,0,0,0,0,744,46,0,0,0,0,0,0,790,61,62,39,178,100,129,20,25,31,32,6,14,83,8
