contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),VVD,Verenigde Senioren Partij,CDA,Maassluis Belang,Democraten 66 (D66),ChristenUnie
,Maassluis,GR2014_Maassluis,Gemeenteraad Maassluis 2014,0556,Maassluis,2014-03-19,Stembureau Stadhuis,0556::SB1,3144 BA,1573,1186,7,14,0,1,0,1055,153,0,0,0,1,0,0,1208,300,170,252,173,148,88,55
,Maassluis,GR2014_Maassluis,Gemeenteraad Maassluis 2014,0556,Maassluis,2014-03-19,Stembureau Maasdelta Maassluis,0556::SB2,3144 CX,2314,1055,7,5,0,0,0,949,118,0,0,0,0,0,0,1067,136,210,134,161,237,113,64
,Maassluis,GR2014_Maassluis,Gemeenteraad Maassluis 2014,0556,Maassluis,2014-03-19,Stembureau CBS Het Spectrum,0556::SB3,3143 AA,1563,786,10,2,0,0,0,725,73,0,0,0,0,0,0,798,161,117,124,117,137,78,52
,Maassluis,GR2014_Maassluis,Gemeenteraad Maassluis 2014,0556,Maassluis,2014-03-19,"Stembureau Pr Christinaschool, loca. Startpunt",0556::SB4,3141 KS,1568,904,4,7,0,0,0,807,108,0,0,0,0,0,0,915,258,122,114,157,119,74,60
,Maassluis,GR2014_Maassluis,Gemeenteraad Maassluis 2014,0556,Maassluis,2014-03-19,Stembureau Restaurant De Ridderhof,0556::SB5,3141 XN,1541,771,8,2,0,0,0,709,72,0,0,0,0,0,0,781,113,182,66,147,124,59,80
,Maassluis,GR2014_Maassluis,Gemeenteraad Maassluis 2014,0556,Maassluis,2014-03-19,Stembureau Dienstencentrum De Tweemaster,0556::SB6,3141 CJ,1514,665,8,0,1,0,0,604,68,0,0,1,0,0,0,672,165,94,79,151,80,35,61
,Maassluis,GR2014_Maassluis,Gemeenteraad Maassluis 2014,0556,Maassluis,2014-03-19,Stembureau Dienstencentrum De Vliet,0556::SB7,3141 AS,1712,975,6,3,0,0,0,899,85,0,0,0,0,0,0,984,179,129,200,169,141,84,73
,Maassluis,GR2014_Maassluis,Gemeenteraad Maassluis 2014,0556,Maassluis,2014-03-19,Stembureau Montessorischool,0556::SB8,3142 NX,1564,869,4,4,1,0,0,801,77,0,0,0,0,0,0,878,234,53,180,149,162,47,44
,Maassluis,GR2014_Maassluis,Gemeenteraad Maassluis 2014,0556,Maassluis,2014-03-19,Stembureau Lentiz Kastanje College/Mavo Maassl,0556::SB9,3142 AP,1571,839,5,0,0,0,0,755,89,0,0,0,0,0,0,844,137,164,123,150,155,50,60
,Maassluis,GR2014_Maassluis,Gemeenteraad Maassluis 2014,0556,Maassluis,2014-03-19,Stembureau Dienstencentrum De Vloot,0556::SB10,3144 PC,1777,920,6,6,0,0,0,851,81,0,0,0,0,0,0,932,172,109,270,174,105,48,42
,Maassluis,GR2014_Maassluis,Gemeenteraad Maassluis 2014,0556,Maassluis,2014-03-19,Stembureau Kunst en Cultuur Academie,0556::SB11,3145 XP,1791,1056,4,4,0,3,0,966,101,0,0,0,3,0,0,1067,136,227,180,184,186,59,84
,Maassluis,GR2014_Maassluis,Gemeenteraad Maassluis 2014,0556,Maassluis,2014-03-19,Stembureau Gereformeerde Kerk Vrijgemaakt,0556::SB12,3145 AG,1452,786,2,1,2,0,0,696,91,0,0,2,0,0,0,787,131,124,90,189,136,62,54
,Maassluis,GR2014_Maassluis,Gemeenteraad Maassluis 2014,0556,Maassluis,2014-03-19,Stembureau OBS De Westhoek,0556::SB13,3145 SZ,1479,749,6,3,0,0,0,677,81,0,0,0,0,0,0,758,170,130,118,120,127,52,32
,Maassluis,GR2014_Maassluis,Gemeenteraad Maassluis 2014,0556,Maassluis,2014-03-19,Stembureau Kardinaal Alfrinkschool,0556::SB14,3145 SX,927,389,2,7,0,0,0,310,88,0,0,0,0,0,0,398,171,43,38,50,34,36,17
,Maassluis,GR2014_Maassluis,Gemeenteraad Maassluis 2014,0556,Maassluis,2014-03-19,Stembureau Wethouder Smithal,0556::SB15,3146 BZ,1444,839,0,3,0,0,0,749,93,0,0,0,0,0,0,842,111,175,121,149,159,68,56
,Maassluis,GR2014_Maassluis,Gemeenteraad Maassluis 2014,0556,Maassluis,2014-03-19,Stembureau Verpleeghuis Driemaashave,0556::SB16,3146 CT,1876,926,4,3,0,0,0,827,106,0,0,0,0,0,0,933,146,210,125,158,146,89,52
