contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),VVD,Zaanse Onafhankelijke Groepering,Democraten 66 (D66),GROENLINKS,SP (Socialistische Partij),CDA,Democratisch Zaanstad,Zaanse Inwoners Partij,Politieke Partij voor Ouderen en Veiligheid,ROSA,ChristenUnie,Partij voor de IJsbaan,Progressief Burgerbelang
,Zaanstad,GR2014_Zaanstad,Gemeenteraad Zaanstad 2014,0479,Zaanstad,2014-03-19,"Stembureau Speeltuinvereniging ""De Uithoek""",0479::SB101,,1905,635,1,2,0,0,0,576,62,0,0,0,0,0,0,638,118,51,36,79,52,61,9,79,12,68,44,13,9,4
,Zaanstad,GR2014_Zaanstad,Gemeenteraad Zaanstad 2014,0479,Zaanstad,2014-03-19,Stembureau Handboog Schutters Czaar Peter,0479::SB102,,2300,878,6,8,0,0,0,778,114,0,0,0,0,0,0,892,143,87,25,181,39,106,39,76,14,74,29,30,13,22
,Zaanstad,GR2014_Zaanstad,Gemeenteraad Zaanstad 2014,0479,Zaanstad,2014-03-19,Stembureau Wijkgebouw De Poelenburcht,0479::SB103,,3674,1414,4,26,0,0,0,1220,224,0,0,0,0,0,0,1444,306,38,36,562,50,131,31,82,20,75,17,33,8,25
,Zaanstad,GR2014_Zaanstad,Gemeenteraad Zaanstad 2014,0479,Zaanstad,2014-03-19,Stembureau Gebouw Natuur- en Milieu-educatie,0479::SB105,,1399,543,0,11,0,0,0,494,60,0,0,0,0,0,0,554,83,25,16,178,14,46,34,54,10,54,13,6,1,9
,Zaanstad,GR2014_Zaanstad,Gemeenteraad Zaanstad 2014,0479,Zaanstad,2014-03-19,Stembureau JerehSalem,0479::SB106,,1883,871,6,3,0,0,0,752,128,0,0,0,0,0,0,880,166,53,34,226,28,104,34,62,10,78,27,32,13,4
,Zaanstad,GR2014_Zaanstad,Gemeenteraad Zaanstad 2014,0479,Zaanstad,2014-03-19,"Stembureau School De Windroos, INGANG PINASSTRAAT",0479::SB107,,1957,870,0,7,0,0,0,768,111,0,2,0,2,0,0,879,124,68,16,326,26,91,32,48,8,61,18,30,8,14
,Zaanstad,GR2014_Zaanstad,Gemeenteraad Zaanstad 2014,0479,Zaanstad,2014-03-19,"Stembureau Evean Oostergouw, HOOFDINGANG",0479::SB108,,1906,917,0,10,0,0,0,840,86,0,0,1,0,1,0,926,111,138,37,132,35,79,82,60,24,114,55,29,14,7
,Zaanstad,GR2014_Zaanstad,Gemeenteraad Zaanstad 2014,0479,Zaanstad,2014-03-19,"Stembureau Evean De Meerpaal, INGANG TJOTTERLAAN",0479::SB109,,1715,987,3,13,0,0,0,921,82,0,0,0,0,0,0,1003,154,110,31,180,39,110,60,75,16,113,50,35,5,9
,Zaanstad,GR2014_Zaanstad,Gemeenteraad Zaanstad 2014,0479,Zaanstad,2014-03-19,Stembureau Evean Het Erasmushuis,0479::SB110,,1843,872,3,2,0,1,0,790,86,0,0,1,0,0,0,876,154,103,18,146,35,97,54,75,8,101,30,33,6,12
,Zaanstad,GR2014_Zaanstad,Gemeenteraad Zaanstad 2014,0479,Zaanstad,2014-03-19,Stembureau Dependance Herman Gorterschool,0479::SB111,,1726,774,4,5,0,0,0,709,74,0,0,0,0,0,0,783,122,49,39,72,52,116,30,61,22,132,35,13,20,11
,Zaanstad,GR2014_Zaanstad,Gemeenteraad Zaanstad 2014,0479,Zaanstad,2014-03-19,Stembureau Herman Gorterschool,0479::SB112,,1964,856,3,2,0,0,0,787,74,0,0,0,0,0,0,861,117,80,23,78,77,106,19,104,14,102,81,17,23,15
,Zaanstad,GR2014_Zaanstad,Gemeenteraad Zaanstad 2014,0479,Zaanstad,2014-03-19,Stembureau Zorgcentrum Het Mennistenerf,0479::SB113,,1649,730,7,3,0,0,0,664,76,0,0,0,0,0,0,740,108,70,32,55,35,103,34,34,14,142,37,40,16,10
,Zaanstad,GR2014_Zaanstad,Gemeenteraad Zaanstad 2014,0479,Zaanstad,2014-03-19,Stembureau Kunstcentrum Fluxus,0479::SB114,,2009,797,3,8,0,0,0,716,90,0,0,2,0,0,0,806,129,74,26,78,36,102,41,59,10,93,119,14,12,4
,Zaanstad,GR2014_Zaanstad,Gemeenteraad Zaanstad 2014,0479,Zaanstad,2014-03-19,"Stembureau Hervormd Centrum Pennemes, INGANG BLOEMGRACHT",0479::SB115,,1646,758,4,3,0,0,0,708,57,0,0,0,0,0,0,765,116,60,21,82,39,128,68,58,15,107,26,23,9,6
,Zaanstad,GR2014_Zaanstad,Gemeenteraad Zaanstad 2014,0479,Zaanstad,2014-03-19,"Stembureau Sporthal De Struijck, INGANG OOSTZIJDE",0479::SB116,,1913,896,4,4,0,0,0,822,82,0,0,0,0,0,0,904,130,74,35,105,48,124,59,64,31,130,57,20,13,6
,Zaanstad,GR2014_Zaanstad,Gemeenteraad Zaanstad 2014,0479,Zaanstad,2014-03-19,"Stembureau School De SaenpareL, INGANG SCHOOLPLEIN",0479::SB117,,1926,680,1,4,0,0,0,615,70,0,0,0,0,0,0,685,97,54,42,97,27,84,38,71,18,72,25,36,9,10
,Zaanstad,GR2014_Zaanstad,Gemeenteraad Zaanstad 2014,0479,Zaanstad,2014-03-19,"Stembureau Jozefkerk, INGANG PASTORIE",0479::SB118,,2792,1128,4,6,0,2,0,1044,96,0,0,0,2,0,0,1140,169,90,68,139,56,163,46,112,37,121,30,55,26,16
,Zaanstad,GR2014_Zaanstad,Gemeenteraad Zaanstad 2014,0479,Zaanstad,2014-03-19,Stembureau Zorgcentrum Nieuw Groenland,0479::SB120,,1941,977,7,3,0,0,0,912,75,0,0,0,0,0,0,987,128,113,37,87,33,108,65,109,20,120,75,43,21,18
,Zaanstad,GR2014_Zaanstad,Gemeenteraad Zaanstad 2014,0479,Zaanstad,2014-03-19,Stembureau Sporthal de Tref,0479::SB121,,1583,879,0,3,0,0,0,821,61,0,0,0,0,0,0,882,104,92,49,88,27,101,56,73,24,112,63,46,31,13
,Zaanstad,GR2014_Zaanstad,Gemeenteraad Zaanstad 2014,0479,Zaanstad,2014-03-19,Stembureau School De Jagersplas,0479::SB122,,1825,821,3,4,0,0,0,755,71,0,0,2,0,2,0,826,117,92,27,73,25,94,43,90,22,102,74,29,14,19
