contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),CDA,Gemeentebelangen,Democraten 66 (D66),GROENLINKS,SP (Socialistische Partij),ChristenUnie,OPA RHEDEN,Groep Hop,Groep Pieper-Rook / Burgerbelangen
,Rheden,GR2014_Rheden,Gemeenteraad Rheden 2014,0275,Rheden,2014-03-19,Stembureau stb.01:Trouwzl. gemeentehuis Rheden,0275::SB1,6994 AB,989,748,5,0,0,0,0,679,74,0,0,0,0,0,0,753,135,80,117,35,141,58,101,40,15,3,23
,Rheden,GR2014_Rheden,Gemeenteraad Rheden 2014,0275,Rheden,2014-03-19,Stembureau stb.02:Woonzorgcompl. Nw-Schoonoord,0275::SB2,6881 TV,984,807,3,4,0,0,0,754,60,0,0,0,0,0,0,814,244,69,115,19,179,51,60,17,31,6,16
,Rheden,GR2014_Rheden,Gemeenteraad Rheden 2014,0275,Rheden,2014-03-19,Stembureau stb.03:Verzorgingshuis De Biesdel,0275::SB3,6881 CD,1022,741,1,4,0,0,0,687,59,0,0,0,0,0,0,746,243,52,96,13,199,50,28,19,29,4,8
,Rheden,GR2014_Rheden,Gemeenteraad Rheden 2014,0275,Rheden,2014-03-19,Stembureau stb.04:Parkstaete Zalencentrum Vof,0275::SB4,6881 JA,1139,754,2,2,0,0,0,688,70,0,0,0,0,0,0,758,181,72,103,19,211,58,77,16,13,1,3
,Rheden,GR2014_Rheden,Gemeenteraad Rheden 2014,0275,Rheden,2014-03-19,Stembureau stb.05:PC Basisschool De Arnhorst,0275::SB5,6881 NV,1393,948,0,4,2,0,0,880,70,0,0,2,0,0,0,950,159,101,106,39,255,82,115,38,34,3,16
,Rheden,GR2014_Rheden,Gemeenteraad Rheden 2014,0275,Rheden,2014-03-19,Stembureau stb.06:RK Basisschool Fredericus,0275::SB6,6881 SV,1317,837,1,5,0,0,0,784,59,0,0,0,0,0,0,843,131,63,138,39,190,88,114,24,22,9,19
,Rheden,GR2014_Rheden,Gemeenteraad Rheden 2014,0275,Rheden,2014-03-19,Stembureau stb.07: Woonzorgcentrum Oosterwolde,0275::SB7,6883 JK,1093,637,2,3,0,2,0,611,33,0,0,0,2,0,0,644,117,83,91,35,110,58,90,18,19,2,14
,Rheden,GR2014_Rheden,Gemeenteraad Rheden 2014,0275,Rheden,2014-03-19,Stembureau stb.08:Wooncomplex Broeckerhave,0275::SB8,6883 BD,1613,804,2,5,0,0,0,748,63,0,0,0,0,0,0,811,122,104,119,45,153,63,110,27,32,7,22
,Rheden,GR2014_Rheden,Gemeenteraad Rheden 2014,0275,Rheden,2014-03-19,Stembureau stb.09:Voorm.Van Voorthuijsenschool,0275::SB9,6882 NS,1771,779,0,0,0,0,0,721,58,0,0,0,0,0,0,779,75,108,52,62,119,110,195,18,12,11,17
,Rheden,GR2014_Rheden,Gemeenteraad Rheden 2014,0275,Rheden,2014-03-19,Stembureau stb.10:Verzorgingshuis H.A. Lorentz,0275::SB10,6882 LR,1316,541,3,8,0,0,0,512,40,0,0,0,0,0,0,552,49,72,53,53,60,32,165,14,22,5,16
,Rheden,GR2014_Rheden,Gemeenteraad Rheden 2014,0275,Rheden,2014-03-19,Stembureau stb.11:Wooncentrum De Ulenpas,0275::SB11,6882 GS,1072,477,2,0,0,0,0,444,35,0,0,0,0,0,0,479,30,77,38,63,54,21,135,7,28,3,21
,Rheden,GR2014_Rheden,Gemeenteraad Rheden 2014,0275,Rheden,2014-03-19,Stembureau stb.14:Soc.Cult.Centr. De Poort,0275::SB14,6882 DA,1890,762,0,0,0,0,0,719,43,0,0,0,0,0,0,762,33,132,49,108,90,48,208,31,30,11,22
,Rheden,GR2014_Rheden,Gemeenteraad Rheden 2014,0275,Rheden,2014-03-19,Stembureau stb.15:Attent wwz locatie Rhederhof,0275::SB15,6991 DV,1636,1085,3,2,0,0,0,1010,80,0,0,0,0,0,0,1090,129,188,206,86,137,72,164,41,26,2,34
,Rheden,GR2014_Rheden,Gemeenteraad Rheden 2014,0275,Rheden,2014-03-19,Stembureau stb.16:CKC Rheko,0275::SB16,6990 AA,1518,580,1,0,0,1,0,522,58,0,0,1,0,0,0,580,64,83,79,70,65,38,97,13,24,7,40
,Rheden,GR2014_Rheden,Gemeenteraad Rheden 2014,0275,Rheden,2014-03-19,Stembureau stb.17:Ons Huis,0275::SB17,6991 EW,1468,835,3,0,0,0,0,795,43,0,0,0,0,0,0,838,139,88,136,108,104,66,101,28,25,3,37
,Rheden,GR2014_Rheden,Gemeenteraad Rheden 2014,0275,Rheden,2014-03-19,Stembureau stb18:Sport/gezondh.centr De Cirkel,0275::SB18,6991 HE,1438,762,3,4,1,0,0,710,60,0,0,0,1,0,0,770,128,73,107,66,111,65,117,26,21,5,43
,Rheden,GR2014_Rheden,Gemeenteraad Rheden 2014,0275,Rheden,2014-03-19,Stembureau stb.19: M.F.A. Nieuw Bergstein,0275::SB19,6955 AX,870,595,3,0,0,0,0,538,60,0,0,0,0,0,0,598,97,75,102,14,88,70,84,12,14,6,33
,Rheden,GR2014_Rheden,Gemeenteraad Rheden 2014,0275,Rheden,2014-03-19,Stembureau stb.20:Attent wwz loc. Oude Plataan,0275::SB20,6953 CG,1763,1051,4,3,0,0,0,975,83,0,0,0,0,0,0,1058,141,120,158,49,190,98,152,46,26,12,59
,Rheden,GR2014_Rheden,Gemeenteraad Rheden 2014,0275,Rheden,2014-03-19,Stembureau stb.21:Zalencentrum Theothorne,0275::SB21,6951 CN,1673,892,7,2,0,0,0,827,74,0,0,0,0,0,0,901,49,189,151,52,74,54,190,34,26,5,68
,Rheden,GR2014_Rheden,Gemeenteraad Rheden 2014,0275,Rheden,2014-03-19,Stembureau stb.23:Verpleeghuis Gelders Hof,0275::SB23,6952 AA,1626,851,2,4,1,0,0,856,0,0,0,1,0,0,0,856,68,122,136,43,103,76,156,70,15,7,55
,Rheden,GR2014_Rheden,Gemeenteraad Rheden 2014,0275,Rheden,2014-03-19,Stembureau stb.24:Obs. Annie M.G. Schmidt,0275::SB24,6952 EK,1653,916,0,5,0,0,0,844,77,0,0,0,0,0,0,921,69,227,137,56,90,44,184,38,23,9,39
,Rheden,GR2014_Rheden,Gemeenteraad Rheden 2014,0275,Rheden,2014-03-19,Stembureau stb.25:Attent wwz locatie Beverode,0275::SB25,6952 GG,1203,857,1,1,0,0,0,799,60,0,0,0,0,0,0,859,116,117,178,46,126,47,114,44,28,3,38
