contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Partij van de Arbeid (P.v.d.A.),Gemeentebelangen Hoogeveen en omstreken,VVD,ChristenUnie,SP (Socialistische Partij),GROENLINKS,Democraten 66 (D66),Staatkundig Gereformeerde Partij (SGP)
,Hoogeveen,GR2014_Hoogeveen,Gemeenteraad Hoogeveen 2014,0118,Hoogeveen,2014-03-19,Stembureau Het Raadhuis,0118::SB1,7901 BP,1482,1065,7,4,0,0,0,966,110,0,0,0,0,0,0,1076,303,132,198,151,79,120,28,46,8
,Hoogeveen,GR2014_Hoogeveen,Gemeenteraad Hoogeveen 2014,0118,Hoogeveen,2014-03-19,Stembureau De Westerkim,0118::SB2,7901 CN,1487,758,0,6,0,0,0,693,71,0,0,0,0,0,0,764,293,67,129,47,92,80,21,18,11
,Hoogeveen,GR2014_Hoogeveen,Gemeenteraad Hoogeveen 2014,0118,Hoogeveen,2014-03-19,Stembureau J. v.d. Sleedenhuis,0118::SB3,7901 AH,1298,622,2,1,0,0,0,565,60,0,0,0,0,0,0,625,148,86,126,66,59,66,21,40,10
,Hoogeveen,GR2014_Hoogeveen,Gemeenteraad Hoogeveen 2014,0118,Hoogeveen,2014-03-19,Stembureau MFC Het Knooppunt,0118::SB4,7902 JG,1320,724,2,2,0,0,0,671,57,0,0,0,0,0,0,728,184,95,127,74,77,100,17,32,18
,Hoogeveen,GR2014_Hoogeveen,Gemeenteraad Hoogeveen 2014,0118,Hoogeveen,2014-03-19,Stembureau WZC De Meteoor,0118::SB5,7904 CD,1989,653,0,0,0,0,0,596,57,0,0,0,0,0,0,653,126,74,159,47,60,116,18,40,13
,Hoogeveen,GR2014_Hoogeveen,Gemeenteraad Hoogeveen 2014,0118,Hoogeveen,2014-03-19,Stembureau Schoolwoning Erflanden,0118::SB6,7908 XN,1992,1121,0,0,0,0,0,1003,118,0,0,0,0,0,0,1121,263,107,162,219,116,87,28,126,13
,Hoogeveen,GR2014_Hoogeveen,Gemeenteraad Hoogeveen 2014,0118,Hoogeveen,2014-03-19,Stembureau MFC De Magneet,0118::SB7,7904 LW,1977,1318,0,4,0,0,0,1206,116,0,0,0,0,0,0,1322,272,173,306,110,139,231,29,45,13
,Hoogeveen,GR2014_Hoogeveen,Gemeenteraad Hoogeveen 2014,0118,Hoogeveen,2014-03-19,Stembureau Oosterkerk,0118::SB8,7905 CA,1570,1106,0,1,1,0,0,1030,77,0,0,0,0,0,0,1107,299,112,208,92,132,133,43,62,25
,Hoogeveen,GR2014_Hoogeveen,Gemeenteraad Hoogeveen 2014,0118,Hoogeveen,2014-03-19,Stembureau Buurthuis Wolfsbos,0118::SB9,7905 HJ,1668,748,2,2,0,0,0,688,64,0,0,0,0,0,0,752,163,158,123,46,60,122,28,38,10
,Hoogeveen,GR2014_Hoogeveen,Gemeenteraad Hoogeveen 2014,0118,Hoogeveen,2014-03-19,Stembureau Buurthuis DES-gebouw,0118::SB10,7906 BG,1657,688,5,4,0,0,0,644,53,0,0,0,0,0,0,697,116,96,173,34,75,131,26,26,11
,Hoogeveen,GR2014_Hoogeveen,Gemeenteraad Hoogeveen 2014,0118,Hoogeveen,2014-03-19,Stembureau School Zuiderbreedte,0118::SB11,7906 GA,1424,894,2,2,0,0,0,819,79,0,0,0,0,0,0,898,221,108,175,55,113,139,20,35,28
,Hoogeveen,GR2014_Hoogeveen,Gemeenteraad Hoogeveen 2014,0118,Hoogeveen,2014-03-19,"Stembureau De Goede Herderkerk,ingang Lomanln",0118::SB12,7906 LL,1486,845,3,0,0,0,0,797,51,0,0,0,0,0,0,848,228,100,169,55,114,109,31,30,9
,Hoogeveen,GR2014_Hoogeveen,Gemeenteraad Hoogeveen 2014,0118,Hoogeveen,2014-03-19,Stembureau Maranatha kerk,0118::SB13,7907 EG,1402,661,0,4,0,0,0,580,85,0,0,0,0,0,0,665,161,95,127,67,51,96,20,34,10
,Hoogeveen,GR2014_Hoogeveen,Gemeenteraad Hoogeveen 2014,0118,Hoogeveen,2014-03-19,Stembureau O.B.S. De Schuthoek,0118::SB14,7908 EE,1365,883,1,1,0,0,0,807,78,0,0,0,0,0,0,885,176,146,150,107,104,124,32,40,4
,Hoogeveen,GR2014_Hoogeveen,Gemeenteraad Hoogeveen 2014,0118,Hoogeveen,2014-03-19,Stembureau Flat Weideheem I,0118::SB15,7909 GD,1308,650,1,3,0,0,0,607,47,0,0,0,0,0,0,654,143,89,124,40,76,119,25,30,4
,Hoogeveen,GR2014_Hoogeveen,Gemeenteraad Hoogeveen 2014,0118,Hoogeveen,2014-03-19,Stembureau Basisschool 't Kienholt,0118::SB16,7908 BJ,1346,807,0,1,0,0,0,745,63,0,0,0,0,0,0,808,159,111,135,74,104,113,47,59,5
,Hoogeveen,GR2014_Hoogeveen,Gemeenteraad Hoogeveen 2014,0118,Hoogeveen,2014-03-19,Stembureau Wijkgebouw De Weideblik,0118::SB17,7908 LL,1524,1039,2,1,0,1,0,951,92,0,0,0,0,0,0,1043,275,110,204,128,88,94,50,84,6
,Hoogeveen,GR2014_Hoogeveen,Gemeenteraad Hoogeveen 2014,0118,Hoogeveen,2014-03-19,Stembureau MFC De Cirkel,0118::SB18,7914 PM,1563,960,5,0,0,0,0,863,102,0,0,0,0,0,0,965,416,48,208,36,114,50,14,18,56
,Hoogeveen,GR2014_Hoogeveen,Gemeenteraad Hoogeveen 2014,0118,Hoogeveen,2014-03-19,Stembureau Dorpscentrum 't Anker,0118::SB19,7913 AE,1800,944,3,1,0,0,0,841,107,0,0,0,0,0,0,948,217,103,291,41,90,115,19,19,49
,Hoogeveen,GR2014_Hoogeveen,Gemeenteraad Hoogeveen 2014,0118,Hoogeveen,2014-03-19,Stembureau Woon-zorgcentrum Beatrix,0118::SB20,7913 TZ,1756,992,2,2,0,0,0,878,118,0,0,0,0,0,0,996,292,108,321,34,71,83,21,27,35
