contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Gemeente Belangen Twenterand,CDA,ChristenUnie,Partij van de Arbeid (P.v.d.A.),VVD,Staatkundig Gereformeerde Partij (SGP),Democraten 66 (D66),GROENLINKS
,Twenterand,GR2014_Twenterand,Gemeenteraad Twenterand 2014,1700,Twenterand,2014-03-19,Stembureau De Vriezenhof,1700::SB1,7671 GM,1186,807,3,5,0,0,0,736,79,0,0,0,0,0,0,815,92,278,165,52,39,129,22,30
,Twenterand,GR2014_Twenterand,Gemeenteraad Twenterand 2014,1700,Twenterand,2014-03-19,"Stembureau Buurthuis, Dokter Boomstr",1700::SB2,7671 AK,821,518,0,1,0,0,0,459,60,0,0,0,0,0,0,519,83,126,72,25,29,139,16,28
,Twenterand,GR2014_Twenterand,Gemeenteraad Twenterand 2014,1700,Twenterand,2014-03-19,"Stembureau Westerkerk, Kanaalweg Z",1700::SB3,7671 GD,1434,753,2,0,0,0,0,680,75,0,0,0,0,0,0,755,89,216,144,31,37,157,42,37
,Twenterand,GR2014_Twenterand,Gemeenteraad Twenterand 2014,1700,Twenterand,2014-03-19,Stembureau Hervormd Centrum Hoofdweg,1700::SB7,7676 AK,927,749,1,1,0,0,0,678,73,0,0,0,0,0,0,751,457,102,70,42,19,32,13,14
,Twenterand,GR2014_Twenterand,Gemeenteraad Twenterand 2014,1700,Twenterand,2014-03-19,Stembureau NH Kerk Oude Hoevenweg 40,1700::SB8,7671 PJ,572,280,0,1,0,0,0,252,29,0,0,0,0,0,0,281,36,110,40,14,19,25,13,23
,Twenterand,GR2014_Twenterand,Gemeenteraad Twenterand 2014,1700,Twenterand,2014-03-19,Stembureau Basisschool Eltheto,1700::SB9,7671 GG,669,393,1,0,0,0,0,354,40,0,0,0,0,0,0,394,79,107,82,29,17,52,11,16
,Twenterand,GR2014_Twenterand,Gemeenteraad Twenterand 2014,1700,Twenterand,2014-03-19,Stembureau De Weemelanden,1700::SB10,7672 GD,1170,730,2,3,0,0,0,667,68,0,0,0,0,0,0,735,111,266,109,34,51,88,46,25
,Twenterand,GR2014_Twenterand,Gemeenteraad Twenterand 2014,1700,Twenterand,2014-03-19,Stembureau Baptistenkerk,1700::SB11,7676 AC,1245,596,1,1,0,0,0,525,73,0,0,0,0,0,0,598,301,74,54,43,25,60,22,17
,Twenterand,GR2014_Twenterand,Gemeenteraad Twenterand 2014,1700,Twenterand,2014-03-19,Stembureau Gemeentehuis Vriezenveen,1700::SB12,7671 GS,1144,769,2,2,0,0,0,709,64,0,0,0,0,0,0,773,118,236,128,47,56,119,35,30
,Twenterand,GR2014_Twenterand,Gemeenteraad Twenterand 2014,1700,Twenterand,2014-03-19,Stembureau Verzorgingscentrum 't Haarhuus,1700::SB13,7676 GA,1467,405,0,1,0,0,0,363,43,0,0,0,0,0,0,406,263,47,28,26,14,16,7,4
