contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,LokaalBelang,VVD,CDA,Partij van de Arbeid (P.v.d.A.),Groenlinksaf,Werknemersbelang,Democraten 66 (D66),ChristenUnie,Staatkundig Gereformeerde Partij (SGP)
,Waalwijk,GR2014_Waalwijk,Gemeenteraad Waalwijk 2014,0867,Waalwijk,2014-03-19,Stembureau Gemeentehuis Waalwijk,0867::SB1,5141 PA,1087,460,0,2,0,0,0,401,61,0,0,0,0,0,0,462,147,94,38,39,69,12,30,24,7
,Waalwijk,GR2014_Waalwijk,Gemeenteraad Waalwijk 2014,0867,Waalwijk,2014-03-19,Stembureau Buurthuis Besoyen,0867::SB2,5141 BS,1223,524,1,4,0,0,0,476,53,0,0,0,0,0,0,529,160,109,75,22,54,8,54,27,15
,Waalwijk,GR2014_Waalwijk,Gemeenteraad Waalwijk 2014,0867,Waalwijk,2014-03-19,Stembureau Zorgcentrum Samarja,0867::SB3,5141 AM,1171,541,2,2,0,0,0,492,53,0,0,0,0,0,0,545,190,80,57,41,31,21,52,50,19
,Waalwijk,GR2014_Waalwijk,Gemeenteraad Waalwijk 2014,0867,Waalwijk,2014-03-19,Stembureau Ontm. centrum Ambrosiuskerk,0867::SB4,5142 AA,1620,600,4,1,0,0,0,543,62,0,0,0,0,0,0,605,217,59,47,66,126,16,44,23,2
,Waalwijk,GR2014_Waalwijk,Gemeenteraad Waalwijk 2014,0867,Waalwijk,2014-03-19,Stembureau Gemeenschapshuis De Ouwe Toren,0867::SB7,5142 EP,1462,539,2,1,0,0,0,484,58,0,0,0,0,0,0,542,211,76,46,34,105,11,39,12,5
,Waalwijk,GR2014_Waalwijk,Gemeenteraad Waalwijk 2014,0867,Waalwijk,2014-03-19,Stembureau Basisschool Baardwijk,0867::SB8,5142 WX,1338,781,4,10,0,0,0,722,73,0,0,0,0,0,0,795,291,70,77,74,183,8,38,23,17
,Waalwijk,GR2014_Waalwijk,Gemeenteraad Waalwijk 2014,0867,Waalwijk,2014-03-19,Stembureau Basisschool van der Heijden,0867::SB9,5144 GE,1638,564,4,1,0,0,0,503,67,0,0,0,1,0,0,570,199,54,40,68,117,7,53,22,4
,Waalwijk,GR2014_Waalwijk,Gemeenteraad Waalwijk 2014,0867,Waalwijk,2014-03-19,Stembureau Buurthuis Zanddonk,0867::SB11,5144 VM,1511,688,4,1,0,0,0,637,56,0,0,0,0,0,0,693,253,92,66,77,102,12,60,16,10
,Waalwijk,GR2014_Waalwijk,Gemeenteraad Waalwijk 2014,0867,Waalwijk,2014-03-19,Stembureau Buurthuis De Wierd,0867::SB12,5144 RC,1533,480,4,3,0,0,0,445,42,0,0,0,0,0,0,487,179,57,51,38,85,8,47,12,3
,Waalwijk,GR2014_Waalwijk,Gemeenteraad Waalwijk 2014,0867,Waalwijk,2014-03-19,Stembureau Basisschool Juliana v Stolberg,0867::SB13,5144 CJ,1226,615,5,3,0,0,0,559,64,0,0,0,0,0,0,623,145,144,110,46,55,3,56,46,10
,Waalwijk,GR2014_Waalwijk,Gemeenteraad Waalwijk 2014,0867,Waalwijk,2014-03-19,Stembureau Locatie de Hoef/Hugo,0867::SB14,5143 AB,1360,451,6,1,0,0,0,417,41,0,0,0,0,0,0,458,173,46,51,32,90,7,33,10,9
,Waalwijk,GR2014_Waalwijk,Gemeenteraad Waalwijk 2014,0867,Waalwijk,2014-03-19,Stembureau Buurthuis Bloemenoord,0867::SB15,5143 TB,1332,627,5,3,0,0,0,570,65,0,0,0,0,0,0,635,286,52,48,35,116,20,31,33,6
,Waalwijk,GR2014_Waalwijk,Gemeenteraad Waalwijk 2014,0867,Waalwijk,2014-03-19,Stembureau Basisschool Meerdijk,0867::SB16,5143 GJ,1141,658,2,2,0,0,0,598,64,0,0,0,0,0,0,662,153,230,105,38,36,4,64,18,10
,Waalwijk,GR2014_Waalwijk,Gemeenteraad Waalwijk 2014,0867,Waalwijk,2014-03-19,Stembureau Zorgcentrum Antoniushof,0867::SB17,5142 RT,1472,642,4,3,0,0,0,589,60,0,0,0,0,0,0,649,287,84,77,55,51,16,49,13,10
,Waalwijk,GR2014_Waalwijk,Gemeenteraad Waalwijk 2014,0867,Waalwijk,2014-03-19,Stembureau Buurthuis Vrijhoeve,0867::SB18,5161 XL,1240,562,2,2,0,0,0,501,65,0,0,0,0,0,0,566,195,47,55,19,25,6,28,54,133
,Waalwijk,GR2014_Waalwijk,Gemeenteraad Waalwijk 2014,0867,Waalwijk,2014-03-19,Stembureau Zalencentrum  Zidewinde,0867::SB19,5161 BA,1081,559,2,1,0,0,0,482,80,0,0,0,0,0,0,562,132,55,57,6,10,6,17,63,213
,Waalwijk,GR2014_Waalwijk,Gemeenteraad Waalwijk 2014,0867,Waalwijk,2014-03-19,Stembureau Zorgcentrum Elzenhoven,0867::SB20,5161 SB,1351,635,1,1,1,0,0,552,84,0,0,1,0,0,0,636,183,74,80,38,30,7,30,99,94
,Waalwijk,GR2014_Waalwijk,Gemeenteraad Waalwijk 2014,0867,Waalwijk,2014-03-19,Stembureau Buurtcentrum Sprang-Driessen,0867::SB21,5161 VA,1367,594,6,0,0,0,0,536,65,0,1,1,0,0,0,601,146,85,53,14,22,9,44,121,100
,Waalwijk,GR2014_Waalwijk,Gemeenteraad Waalwijk 2014,0867,Waalwijk,2014-03-19,Stembureau Steunpunt Achter de Hoven,0867::SB22,5161 EK,1316,515,1,4,0,0,0,467,53,0,0,0,0,0,0,520,144,77,56,21,21,6,36,103,51
,Waalwijk,GR2014_Waalwijk,Gemeenteraad Waalwijk 2014,0867,Waalwijk,2014-03-19,Stembureau Basisschool De Bron,0867::SB23,5161 AN,1045,490,2,0,0,0,0,435,57,0,0,0,0,0,0,492,116,80,43,18,7,37,29,55,105
,Waalwijk,GR2014_Waalwijk,Gemeenteraad Waalwijk 2014,0867,Waalwijk,2014-03-19,Stembureau Buurthuis Capelle,0867::SB24,5161 ZD,857,426,3,0,0,0,0,375,54,0,0,0,0,0,0,429,105,67,26,16,21,22,126,15,28
,Waalwijk,GR2014_Waalwijk,Gemeenteraad Waalwijk 2014,0867,Waalwijk,2014-03-19,Stembureau Soc Cult Centrum  Den Bolder,0867::SB25,5165 TR,1133,726,2,7,0,0,0,653,81,0,0,1,0,1,0,734,89,151,128,31,31,207,55,26,8
,Waalwijk,GR2014_Waalwijk,Gemeenteraad Waalwijk 2014,0867,Waalwijk,2014-03-19,Stembureau Ontmoetingsruimte Bartholomeushof,0867::SB26,5165 TX,973,445,0,1,0,0,0,400,46,0,0,0,0,0,0,446,33,64,91,21,12,183,33,8,0
,Waalwijk,GR2014_Waalwijk,Gemeenteraad Waalwijk 2014,0867,Waalwijk,2014-03-19,Stembureau Buurthuiskamer 't Schooltje,0867::SB27,5165 AL,924,444,3,0,0,0,0,401,46,0,0,0,0,0,0,447,40,58,116,15,13,134,35,17,16
,Waalwijk,GR2014_Waalwijk,Gemeenteraad Waalwijk 2014,0867,Waalwijk,2014-03-19,Stembureau Ontmoetingscentrum De Haven,0867::SB33,5141 JX,1037,454,1,3,0,0,0,422,36,0,0,0,0,0,0,458,136,113,77,23,51,3,34,9,8
,Waalwijk,GR2014_Waalwijk,Gemeenteraad Waalwijk 2014,0867,Waalwijk,2014-03-19,Stembureau Café Restaurant Het Galgenwiel,0867::SB34,5144 NK,965,489,2,1,0,0,0,444,48,0,0,0,0,0,0,492,100,140,112,30,27,2,65,7,6
,Waalwijk,GR2014_Waalwijk,Gemeenteraad Waalwijk 2014,0867,Waalwijk,2014-03-19,Stembureau Sporthal de Slagen,0867::SB35,5146 AW,1608,684,5,2,0,0,0,604,87,0,0,0,0,0,0,691,194,191,49,47,58,6,70,56,13
,Waalwijk,GR2014_Waalwijk,Gemeenteraad Waalwijk 2014,0867,Waalwijk,2014-03-19,Stembureau Basisschool de Hoef,0867::SB36,5142 PG,1133,457,0,0,0,0,0,414,43,0,0,0,0,0,0,457,163,86,38,32,75,9,45,8,1
,Waalwijk,GR2014_Waalwijk,Gemeenteraad Waalwijk 2014,0867,Waalwijk,2014-03-19,Stembureau Bibliotheek Waalwijk,0867::SB37,5141 HK,1259,470,3,3,1,0,0,446,29,0,0,1,0,0,0,475,157,82,71,27,68,8,40,10,7
,Waalwijk,GR2014_Waalwijk,Gemeenteraad Waalwijk 2014,0867,Waalwijk,2014-03-19,Stembureau Basisschool de Brug,0867::SB38,5165 NB,945,463,1,1,0,0,0,412,53,0,0,0,0,0,0,465,44,68,99,20,14,180,27,8,3
