contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Gemeentebelangen Overbetuwe,VVD,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),GROENLINKS,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),9,10
,Overbetuwe,GR2014_Overbetuwe,Gemeenteraad Overbetuwe 2014,1734,Overbetuwe,2014-03-19,Stembureau Gemeentehuis te Elst,1734::SB1,6661 EH,1427,1356,0,1,0,3,0,1220,140,0,0,0,3,0,0,1360,538,136,104,254,103,96,22,3,37,63
,Overbetuwe,GR2014_Overbetuwe,Gemeenteraad Overbetuwe 2014,1734,Overbetuwe,2014-03-19,"Stembureau Sportcentrum de Helster, Elst",1734::SB2,6661 AW,1466,899,1,4,0,0,0,798,106,0,0,0,0,0,0,904,336,84,63,200,61,48,9,2,14,82
,Overbetuwe,GR2014_Overbetuwe,Gemeenteraad Overbetuwe 2014,1734,Overbetuwe,2014-03-19,"Stembureau Overbetuwe College, Elst",1734::SB3,6661 ZR,1612,562,3,3,0,0,0,504,64,0,0,0,0,0,0,568,181,50,23,160,47,32,10,9,18,32
,Overbetuwe,GR2014_Overbetuwe,Gemeenteraad Overbetuwe 2014,1734,Overbetuwe,2014-03-19,"Stembureau Ontmoetingsruimte Kruisakkers, Elst",1734::SB4,6662 DV,1398,733,1,4,0,0,0,640,98,0,0,0,0,0,0,738,208,86,53,205,52,57,13,3,11,45
,Overbetuwe,GR2014_Overbetuwe,Gemeenteraad Overbetuwe 2014,1734,Overbetuwe,2014-03-19,"Stembureau Verzorgingscentrum Tertzio, Elst",1734::SB5,6661 CP,1389,877,2,5,0,0,0,770,114,0,0,0,0,0,0,884,382,71,74,167,43,58,12,3,17,50
,Overbetuwe,GR2014_Overbetuwe,Gemeenteraad Overbetuwe 2014,1734,Overbetuwe,2014-03-19,"Stembureau Brede School ""de Kersentuin"", Elst",1734::SB6,6662 VH,2029,1122,4,1,0,0,0,1023,104,0,0,0,0,0,0,1127,300,129,132,278,69,101,23,3,21,66
,Overbetuwe,GR2014_Overbetuwe,Gemeenteraad Overbetuwe 2014,1734,Overbetuwe,2014-03-19,"Stembureau Onder de Toren, Elst",1734::SB7,6661 DA,1571,562,0,2,0,0,0,499,65,0,0,0,0,0,0,564,220,34,50,134,23,40,9,0,11,41
,Overbetuwe,GR2014_Overbetuwe,Gemeenteraad Overbetuwe 2014,1734,Overbetuwe,2014-03-19,"Stembureau Het Westeraamcollege, Elst",1734::SB8,6661 TZ,1769,742,4,0,0,0,0,643,103,0,0,0,0,0,0,746,208,67,92,186,61,66,13,5,13,31
,Overbetuwe,GR2014_Overbetuwe,Gemeenteraad Overbetuwe 2014,1734,Overbetuwe,2014-03-19,"Stembureau Zorgcentrum Liefkenshoek, Heteren",1734::SB9,6666 BR,1241,774,4,2,0,0,0,758,22,0,0,0,0,0,0,780,302,152,42,64,73,51,48,18,12,12
,Overbetuwe,GR2014_Overbetuwe,Gemeenteraad Overbetuwe 2014,1734,Overbetuwe,2014-03-19,"Stembureau Zalencentrum De Bongerd, Heteren",1734::SB10,6666 CR,1225,758,2,1,0,0,0,677,84,0,0,0,0,0,0,761,301,152,62,89,38,48,29,18,4,17
,Overbetuwe,GR2014_Overbetuwe,Gemeenteraad Overbetuwe 2014,1734,Overbetuwe,2014-03-19,"Stembureau Cunerahof, Driel",1734::SB11,6665 CS,1961,1105,5,5,0,1,0,995,119,0,0,1,0,0,0,1114,424,287,69,97,65,79,15,5,13,51
,Overbetuwe,GR2014_Overbetuwe,Gemeenteraad Overbetuwe 2014,1734,Overbetuwe,2014-03-19,Stembureau RKSV Driel,1734::SB12,6665 CB,1263,415,0,1,0,1,0,373,44,0,0,0,1,0,0,417,157,67,54,62,14,25,10,2,3,21
,Overbetuwe,GR2014_Overbetuwe,Gemeenteraad Overbetuwe 2014,1734,Overbetuwe,2014-03-19,Stembureau Dorpshuis Randwijks Hof,1734::SB13,6668 AS,1066,716,3,2,0,0,0,631,90,0,0,0,0,0,0,721,253,72,22,36,17,67,106,129,9,5
,Overbetuwe,GR2014_Overbetuwe,Gemeenteraad Overbetuwe 2014,1734,Overbetuwe,2014-03-19,Stembureau Gemeentehuis te Andelst,1734::SB14,6673 BT,1708,894,0,1,0,0,0,769,126,0,0,0,0,0,0,895,619,67,32,38,16,17,35,45,20,5
,Overbetuwe,GR2014_Overbetuwe,Gemeenteraad Overbetuwe 2014,1734,Overbetuwe,2014-03-19,"Stembureau Zorgcentrum De Hoge Hof, Herveld",1734::SB15,6674 BR,1887,1087,3,1,0,0,0,1011,80,0,0,0,0,0,0,1091,758,83,28,46,37,28,26,37,37,7
,Overbetuwe,GR2014_Overbetuwe,Gemeenteraad Overbetuwe 2014,1734,Overbetuwe,2014-03-19,"Stembureau Dorpshuis de Schakel, Oosterhout",1734::SB16,6678 BT,1878,911,3,0,0,0,0,809,105,0,0,0,0,0,0,914,416,87,78,135,28,95,26,10,14,22
,Overbetuwe,GR2014_Overbetuwe,Gemeenteraad Overbetuwe 2014,1734,Overbetuwe,2014-03-19,Stembureau Verenigingsgebouw Valburg,1734::SB17,6675 BR,1510,926,1,3,0,1,0,826,105,0,0,0,1,0,0,931,429,75,145,104,27,65,18,30,19,14
,Overbetuwe,GR2014_Overbetuwe,Gemeenteraad Overbetuwe 2014,1734,Overbetuwe,2014-03-19,"Stembureau De Wanmolen, Zetten",1734::SB18,6671 BR,1235,803,1,4,0,1,0,731,78,0,0,0,1,0,0,809,302,98,40,67,32,69,60,49,58,28
,Overbetuwe,GR2014_Overbetuwe,Gemeenteraad Overbetuwe 2014,1734,Overbetuwe,2014-03-19,"Stembureau basisschool Ds. van Lingen, Zetten",1734::SB19,6671 AN,1434,805,1,1,0,0,0,730,77,0,0,0,0,0,0,807,319,100,34,72,25,43,76,80,39,17
,Overbetuwe,GR2014_Overbetuwe,Gemeenteraad Overbetuwe 2014,1734,Overbetuwe,2014-03-19,"Stembureau De Wanmolen 2, Zetten",1734::SB20,6671 BR,1288,800,0,1,0,0,0,719,82,0,0,0,0,0,0,801,292,97,44,96,22,59,48,73,47,22
