contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Kiesvereniging Gemeentebelangen Noordenveld,Partij van de Arbeid (P.v.d.A.),Lijst Groen Noordenveld (LGN),VVD,CDA,GROENLINKS,Democraten 66 (D66),ChristenUnie
,Noordenveld,GR2014_Noordenveld,Gemeenteraad Noordenveld 2014,1699,Noordenveld,2014-03-19,"Stembureau Verzorgingscentrum ""de Hullen""",1699::SB1,9301 HW,1351,813,2,5,0,0,0,750,74,0,0,0,4,0,0,824,195,121,168,79,120,37,59,34
,Noordenveld,GR2014_Noordenveld,Gemeenteraad Noordenveld 2014,1699,Noordenveld,2014-03-19,Stembureau Gemeentehuis,1699::SB2,9301 AA,1756,1277,3,2,0,0,0,1161,121,0,0,0,0,0,0,1282,362,159,165,174,174,94,90,59
,Noordenveld,GR2014_Noordenveld,Gemeenteraad Noordenveld 2014,1699,Noordenveld,2014-03-19,Stembureau Fletcher Hotel Langewold,1699::SB3,9301 NR,1497,905,0,2,0,0,0,844,63,0,0,0,0,0,0,907,257,136,111,73,137,57,51,83
,Noordenveld,GR2014_Noordenveld,Gemeenteraad Noordenveld 2014,1699,Noordenveld,2014-03-19,"Stembureau gebouw ""Vasalis""",1699::SB4,9301 BC,1571,915,0,7,0,0,0,860,62,0,0,0,0,0,0,922,273,172,135,62,116,38,58,61
,Noordenveld,GR2014_Noordenveld,Gemeenteraad Noordenveld 2014,1699,Noordenveld,2014-03-19,Stembureau Gereformeerde kerk,1699::SB5,9301 SJ,1245,596,3,1,0,0,0,561,39,0,0,0,0,0,0,600,128,88,104,44,69,41,48,74
,Noordenveld,GR2014_Noordenveld,Gemeenteraad Noordenveld 2014,1699,Noordenveld,2014-03-19,"Stembureau Obs ""het Valkhof""",1699::SB6,9301 SP,1225,905,4,3,0,0,0,857,55,0,0,0,0,0,0,912,191,109,207,78,84,88,77,71
,Noordenveld,GR2014_Noordenveld,Gemeenteraad Noordenveld 2014,1699,Noordenveld,2014-03-19,"Stembureau dienstencentrum ""Geerties Hoes""",1699::SB7,9302 DC,1324,768,5,0,0,0,0,723,50,0,0,0,0,0,0,773,145,85,169,77,115,49,66,62
,Noordenveld,GR2014_Noordenveld,Gemeenteraad Noordenveld 2014,1699,Noordenveld,2014-03-19,"Stembureau 't Dörpshuus ""NijRoon""",1699::SB8,9311 PB,1458,950,3,2,0,0,0,880,75,0,0,0,0,0,0,955,239,125,204,70,100,85,73,54
,Noordenveld,GR2014_Noordenveld,Gemeenteraad Noordenveld 2014,1699,Noordenveld,2014-03-19,"Stembureau Obs ""De Poolster""",1699::SB9,9311 VA,1576,692,3,0,0,0,0,638,57,0,0,0,0,0,0,695,189,80,161,49,72,58,40,43
,Noordenveld,GR2014_Noordenveld,Gemeenteraad Noordenveld 2014,1699,Noordenveld,2014-03-19,"Stembureau cafe ""het Rode Hert""",1699::SB10,9315 PB,622,394,3,0,0,0,0,369,28,0,0,0,0,0,0,397,118,56,39,37,39,47,56,2
,Noordenveld,GR2014_Noordenveld,Gemeenteraad Noordenveld 2014,1699,Noordenveld,2014-03-19,"Stembureau Fysiopraktijk ""De Praktijk"" Nietap",1699::SB11,9312 PG,867,520,5,2,0,0,0,480,47,0,0,0,0,0,0,527,142,59,82,65,47,42,31,52
,Noordenveld,GR2014_Noordenveld,Gemeenteraad Noordenveld 2014,1699,Noordenveld,2014-03-19,"Stembureau Buurthuis ""de Roegte""",1699::SB12,9305 TG,756,403,3,2,0,0,0,377,31,0,0,0,0,0,0,408,78,42,164,40,27,18,14,20
,Noordenveld,GR2014_Noordenveld,Gemeenteraad Noordenveld 2014,1699,Noordenveld,2014-03-19,"Stembureau Ontmoetingscentrum ""de Brinkhof""",1699::SB13,9331 AA,1798,1190,5,2,0,0,0,1066,131,0,0,0,0,0,0,1197,356,123,226,171,120,73,88,33
,Noordenveld,GR2014_Noordenveld,Gemeenteraad Noordenveld 2014,1699,Noordenveld,2014-03-19,"Stembureau wooncentrum ""de Garve""",1699::SB14,9331 MB,1599,874,5,3,0,0,0,818,64,0,0,0,0,0,0,882,315,169,102,76,62,57,65,28
,Noordenveld,GR2014_Noordenveld,Gemeenteraad Noordenveld 2014,1699,Noordenveld,2014-03-19,"Stembureau ""Het Verenigingsgebouw""",1699::SB15,9341 BK,1154,519,4,1,0,0,0,477,47,0,0,0,0,0,0,524,240,36,41,37,53,58,32,22
,Noordenveld,GR2014_Noordenveld,Gemeenteraad Noordenveld 2014,1699,Noordenveld,2014-03-19,"Stembureau dorpshuis ""de Boswal""",1699::SB16,9342 PH,825,472,1,2,0,0,0,422,53,0,0,0,0,0,0,475,112,61,45,48,71,61,30,44
,Noordenveld,GR2014_Noordenveld,Gemeenteraad Noordenveld 2014,1699,Noordenveld,2014-03-19,"Stembureau verzorgingscentrum ""de Hoprank""",1699::SB17,9321 CC,1905,1225,7,2,0,0,0,1136,98,0,0,0,0,0,0,1234,416,187,120,191,56,80,142,33
,Noordenveld,GR2014_Noordenveld,Gemeenteraad Noordenveld 2014,1699,Noordenveld,2014-03-19,Stembureau Sporthal Peize,1699::SB18,9321 CL,1734,1069,5,2,0,0,0,1002,76,0,0,0,2,0,0,1078,309,161,107,158,38,121,150,25
,Noordenveld,GR2014_Noordenveld,Gemeenteraad Noordenveld 2014,1699,Noordenveld,2014-03-19,Stembureau Dorpshuis Altena,1699::SB19,9321 XG,583,287,1,0,0,0,0,264,24,0,0,0,0,0,0,288,107,31,34,31,20,24,30,10
