contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Volkspartij Dongen,VVD,CDA,DEMOCRATISCH PODIUM,Partij van de Arbeid (P.v.d.A.)
,Dongen,GR2014_Dongen,Gemeenteraad Dongen 2014,0766,Dongen,2014-03-19,Stembureau Gemeentehuis,0766::SB1,5104 JJ,1720,944,12,5,0,0,0,818,143,0,0,0,0,0,0,961,302,143,228,88,183
,Dongen,GR2014_Dongen,Gemeenteraad Dongen 2014,0766,Dongen,2014-03-19,Stembureau Cultureel Centrum 't Schouw,0766::SB2,5102 DK,1334,605,5,2,0,0,0,551,61,0,0,0,0,0,0,612,266,75,114,47,103
,Dongen,GR2014_Dongen,Gemeenteraad Dongen 2014,0766,Dongen,2014-03-19,Stembureau Basisschool De Vlinderboom,0766::SB3,5102 XS,1374,630,8,1,0,0,0,565,74,0,0,0,0,0,0,639,245,79,148,63,95
,Dongen,GR2014_Dongen,Gemeenteraad Dongen 2014,0766,Dongen,2014-03-19,Stembureau De Volckaert,0766::SB4,5102 DB,1286,582,13,4,0,0,0,548,51,0,0,0,0,0,0,599,220,72,117,59,114
,Dongen,GR2014_Dongen,Gemeenteraad Dongen 2014,0766,Dongen,2014-03-19,Stembureau GGZ Midden Brabant,0766::SB5,5101 TB,1219,521,6,1,0,0,0,481,47,0,0,0,0,0,0,528,183,92,129,29,88
,Dongen,GR2014_Dongen,Gemeenteraad Dongen 2014,0766,Dongen,2014-03-19,Stembureau De Cammeleur,0766::SB6,5104 JK,1368,772,12,7,0,0,0,724,67,0,0,0,0,0,0,791,288,143,160,61,120
,Dongen,GR2014_Dongen,Gemeenteraad Dongen 2014,0766,Dongen,2014-03-19,Stembureau Basisschool  St Jan,0766::SB7,5104 CL,1604,780,4,4,0,0,0,708,80,0,0,0,0,0,0,788,353,123,115,69,120
,Dongen,GR2014_Dongen,Gemeenteraad Dongen 2014,0766,Dongen,2014-03-19,Stembureau Basisschool Achterberg,0766::SB8,5104 EG,1310,604,0,1,0,0,0,550,55,0,0,0,0,0,0,605,233,91,142,51,87
,Dongen,GR2014_Dongen,Gemeenteraad Dongen 2014,0766,Dongen,2014-03-19,Stembureau Clubgebouw V.V.Dongen,0766::SB9,,2162,1016,5,2,0,0,0,895,128,0,0,0,0,0,0,1023,349,230,163,110,164
,Dongen,GR2014_Dongen,Gemeenteraad Dongen 2014,0766,Dongen,2014-03-19,Stembureau Basisschool de Noorderpoort,0766::SB10,5103 GN,1455,666,6,1,0,0,0,616,57,0,0,0,0,0,0,673,285,93,111,74,103
,Dongen,GR2014_Dongen,Gemeenteraad Dongen 2014,0766,Dongen,2014-03-19,Stembureau Sportzaal De Gaasjes,0766::SB11,5106 NC,836,441,2,1,0,0,0,393,52,0,1,0,1,0,0,445,209,52,132,21,27
,Dongen,GR2014_Dongen,Gemeenteraad Dongen 2014,0766,Dongen,2014-03-19,Stembureau Dorpshuis De Geubel,0766::SB12,5109 AC,1862,976,12,3,0,0,0,884,107,0,0,0,0,0,0,991,243,141,458,31,103
,Dongen,GR2014_Dongen,Gemeenteraad Dongen 2014,0766,Dongen,2014-03-19,Stembureau Europlus,0766::SB13,5101 TJ,1513,669,4,7,0,0,0,629,51,0,0,0,0,0,0,680,293,106,149,48,73
,Dongen,GR2014_Dongen,Gemeenteraad Dongen 2014,0766,Dongen,2014-03-19,Stembureau Basisschool De Biezenkring,0766::SB14,5103 HG,1104,532,9,0,0,0,0,482,59,0,0,0,0,0,0,541,213,86,89,30,114
