contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Leefbaar 3B,CDA,VVD,ChristenUnie,Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),GROENLINKS,Tot Behoud Huis de Haas,Partij Neeleman,Nieuwe Democraten Lansingerland,WIJ Lansingerland
,Lansingerland,GR2014_Lansingerland,Gemeenteraad Lansingerland 2014,1621,Lansingerland,2014-03-19,"Stembureau De Smitshoek, Bergschenhoek",1621::SB1,2661 CK,2156,1016,2,2,0,1,0,903,118,0,0,0,0,0,0,1021,167,167,153,115,64,107,44,17,49,9,124
,Lansingerland,GR2014_Lansingerland,Gemeenteraad Lansingerland 2014,1621,Lansingerland,2014-03-19,Stembureau,1621::SB2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Lansingerland,GR2014_Lansingerland,Gemeenteraad Lansingerland 2014,1621,Lansingerland,2014-03-19,"Stembureau Bibliotheek Oostland, Bergschenhoek",1621::SB3,2661 HP,2134,1254,4,5,0,0,0,1138,125,0,0,0,0,0,0,1263,200,200,129,138,105,137,62,26,74,17,166
,Lansingerland,GR2014_Lansingerland,Gemeenteraad Lansingerland 2014,1621,Lansingerland,2014-03-19,"Stembureau Postduivenvereniging, Bergschenhoek",1621::SB4,2661 GV,771,477,0,1,0,0,0,424,54,0,0,0,0,0,0,478,44,99,76,43,22,36,48,6,55,4,44
,Lansingerland,GR2014_Lansingerland,Gemeenteraad Lansingerland 2014,1621,Lansingerland,2014-03-19,"Stembureau RK Basisschool Pius X, Bergschenhoek",1621::SB5,2661 KZ,1905,1146,2,7,0,4,0,1035,124,0,0,0,4,0,0,1159,175,146,173,87,93,131,56,43,68,23,151
,Lansingerland,GR2014_Lansingerland,Gemeenteraad Lansingerland 2014,1621,Lansingerland,2014-03-19,"Stembureau Ger. Vrijgem. Kerk, Bergschenhoek",1621::SB6,2661 TP,1594,869,2,0,1,0,0,781,89,0,0,0,0,0,0,870,117,118,198,89,63,122,33,27,32,16,54
,Lansingerland,GR2014_Lansingerland,Gemeenteraad Lansingerland 2014,1621,Lansingerland,2014-03-19,"Stembureau Jongeren Centrum Spectrum, Bergschenhoek",1621::SB7,2661 AL,1987,1260,3,0,0,0,0,1123,140,0,0,0,0,0,0,1263,225,200,228,111,95,152,43,25,34,10,137
,Lansingerland,GR2014_Lansingerland,Gemeenteraad Lansingerland 2014,1621,Lansingerland,2014-03-19,"Stembureau Scholencomplex CBS De Acker, Bergschenhoek",1621::SB8,2661 SX,2156,1053,0,1,0,1,0,929,126,0,0,0,1,0,0,1055,152,115,203,103,95,166,39,35,20,17,108
,Lansingerland,GR2014_Lansingerland,Gemeenteraad Lansingerland 2014,1621,Lansingerland,2014-03-19,"Stembureau Basisschool De Poolster, Berkel en Rodenrijs",1621::SB9,2651 RC,2004,1250,10,3,0,1,0,1100,164,0,0,0,1,0,0,1264,200,374,159,52,103,152,45,36,42,26,61
,Lansingerland,GR2014_Lansingerland,Gemeenteraad Lansingerland 2014,1621,Lansingerland,2014-03-19,"Stembureau RK Basisschool Het Baken, Berkel en Rodenrijs",1621::SB10,2652 CJ,2380,1275,4,2,0,1,0,1092,190,0,0,0,0,0,0,1282,227,199,291,49,113,256,43,12,16,33,36
,Lansingerland,GR2014_Lansingerland,Gemeenteraad Lansingerland 2014,1621,Lansingerland,2014-03-19,"Stembureau Pr. Mauritsschool, Berkel en Rodenrijs",1621::SB11,2651 GS,2258,1025,0,1,0,1,0,910,117,0,0,0,0,0,0,1027,198,237,136,119,80,98,38,25,38,33,23
,Lansingerland,GR2014_Lansingerland,Gemeenteraad Lansingerland 2014,1621,Lansingerland,2014-03-19,"Stembureau Huize St. Petrus, Berkel en Rodenrijs",1621::SB12,2651 CX,2167,1081,6,5,0,0,0,969,123,0,0,0,0,0,0,1092,165,308,114,76,109,108,57,32,41,20,51
,Lansingerland,GR2014_Lansingerland,Gemeenteraad Lansingerland 2014,1621,Lansingerland,2014-03-19,"Stembureau Woonzorgcentr. Hergerborch, Berkel en Rodenrijs",1621::SB13,2651 DA,1372,830,4,6,0,0,0,767,73,0,0,0,0,0,0,840,152,281,67,106,58,62,33,20,16,7,28
,Lansingerland,GR2014_Lansingerland,Gemeenteraad Lansingerland 2014,1621,Lansingerland,2014-03-19,"Stembureau Gebouw De Bron, Berkel en Rodenrijs",1621::SB14,2651 BN,2287,1370,6,2,0,0,0,1195,183,0,0,0,0,0,0,1378,203,264,226,190,84,207,73,23,29,20,51
,Lansingerland,GR2014_Lansingerland,Gemeenteraad Lansingerland 2014,1621,Lansingerland,2014-03-19,"Stembureau Wijkgeb. Rodenrijs, Berkel en Rodenrijs",1621::SB15,2651 PG,1635,899,4,0,0,0,0,814,89,0,0,0,0,0,0,903,165,167,91,114,67,119,58,25,25,21,47
