contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,VVD,P.v.d.A./GROENLINKS,Ronde Venen Belang,ChristenUnie-SGP,Democraten 66 (D66),lijst 8 kernen
,De Ronde Venen,GR2014_DeRondeVenen,Gemeenteraad De Ronde Venen 2014,0736,De Ronde Venen,2014-03-19,Stembureau Gemeentehuis,0736::SB1,,1846,1281,4,2,0,0,0,1184,103,0,0,0,0,0,0,1287,337,271,114,200,91,155,113
,De Ronde Venen,GR2014_DeRondeVenen,Gemeenteraad De Ronde Venen 2014,0736,De Ronde Venen,2014-03-19,Stembureau Bibliotheek AVV,0736::SB2,,2157,1203,2,1,0,0,0,1063,143,0,0,0,0,0,0,1206,307,257,94,196,69,175,105
,De Ronde Venen,GR2014_DeRondeVenen,Gemeenteraad De Ronde Venen 2014,0736,De Ronde Venen,2014-03-19,Stembureau Zaal Driehuis,0736::SB3,,2152,886,4,2,0,0,0,804,92,0,0,0,4,0,0,896,226,146,77,131,61,140,105
,De Ronde Venen,GR2014_DeRondeVenen,Gemeenteraad De Ronde Venen 2014,0736,De Ronde Venen,2014-03-19,Stembureau Ons Streven,0736::SB4,,897,506,1,2,0,0,0,466,43,0,0,0,0,0,0,509,166,105,51,76,21,51,36
,De Ronde Venen,GR2014_DeRondeVenen,Gemeenteraad De Ronde Venen 2014,0736,De Ronde Venen,2014-03-19,Stembureau De Springbok,0736::SB5,,724,414,0,2,0,0,0,371,45,0,0,0,0,0,0,416,174,80,37,37,21,49,16
,De Ronde Venen,GR2014_DeRondeVenen,Gemeenteraad De Ronde Venen 2014,0736,De Ronde Venen,2014-03-19,Stembureau De Hoeksteen,0736::SB6,,1459,810,5,2,0,0,0,730,87,0,0,0,0,0,0,817,200,170,76,105,50,135,74
,De Ronde Venen,GR2014_DeRondeVenen,Gemeenteraad De Ronde Venen 2014,0736,De Ronde Venen,2014-03-19,Stembureau Veenlanden College,0736::SB7,,1538,952,2,0,0,0,0,865,89,0,0,0,0,0,0,954,212,239,71,115,47,183,85
,De Ronde Venen,GR2014_DeRondeVenen,Gemeenteraad De Ronde Venen 2014,0736,De Ronde Venen,2014-03-19,Stembureau OBS De Trekvogel,0736::SB8,,1973,1072,4,2,0,0,0,983,95,0,0,0,0,0,0,1078,247,233,79,137,53,177,146
,De Ronde Venen,GR2014_DeRondeVenen,Gemeenteraad De Ronde Venen 2014,0736,De Ronde Venen,2014-03-19,Stembureau OBS Molenland,0736::SB9,,2310,1353,5,4,0,0,0,1207,155,0,0,0,0,0,0,1362,332,321,117,193,72,205,113
,De Ronde Venen,GR2014_DeRondeVenen,Gemeenteraad De Ronde Venen 2014,0736,De Ronde Venen,2014-03-19,Stembureau Maria Oord (Vinkenoord),0736::SB10,,1697,943,5,4,0,1,0,879,74,0,0,0,1,0,0,953,224,146,68,230,99,144,32
,De Ronde Venen,GR2014_DeRondeVenen,Gemeenteraad De Ronde Venen 2014,0736,De Ronde Venen,2014-03-19,Stembureau De Poldertrots,0736::SB11,,682,427,0,0,0,0,0,375,52,0,0,0,0,0,0,427,170,65,23,40,85,30,14
,De Ronde Venen,GR2014_DeRondeVenen,Gemeenteraad De Ronde Venen 2014,0736,De Ronde Venen,2014-03-19,Stembureau PCB Prinses Beatrix,0736::SB12,,1757,908,0,0,0,0,0,813,95,0,0,0,0,0,0,908,300,175,68,131,53,117,64
,De Ronde Venen,GR2014_DeRondeVenen,Gemeenteraad De Ronde Venen 2014,0736,De Ronde Venen,2014-03-19,Stembureau NH verenigingsgebouw,0736::SB13,,1679,828,0,5,0,0,0,724,109,0,0,0,0,0,0,833,141,210,46,238,77,89,27
,De Ronde Venen,GR2014_DeRondeVenen,Gemeenteraad De Ronde Venen 2014,0736,De Ronde Venen,2014-03-19,Stembureau EHBO gebouw Lucas,0736::SB14,,1302,819,1,6,0,0,0,734,92,0,0,0,0,0,0,826,128,129,82,276,52,121,31
,De Ronde Venen,GR2014_DeRondeVenen,Gemeenteraad De Ronde Venen 2014,0736,De Ronde Venen,2014-03-19,Stembureau Zuiderhof,0736::SB15,,2047,1155,6,1,0,0,0,1056,106,0,0,0,0,0,0,1162,190,206,90,396,65,157,51
,De Ronde Venen,GR2014_DeRondeVenen,Gemeenteraad De Ronde Venen 2014,0736,De Ronde Venen,2014-03-19,Stembureau De Roeping,0736::SB16,,1234,889,0,1,0,0,0,794,97,0,0,0,1,0,0,891,338,113,49,97,160,80,52
,De Ronde Venen,GR2014_DeRondeVenen,Gemeenteraad De Ronde Venen 2014,0736,De Ronde Venen,2014-03-19,Stembureau OBS Willespoort,0736::SB17,,1287,999,5,2,0,0,0,914,94,0,0,0,2,0,0,1008,320,153,75,129,117,110,95
,De Ronde Venen,GR2014_DeRondeVenen,Gemeenteraad De Ronde Venen 2014,0736,De Ronde Venen,2014-03-19,Stembureau Kees Bonzaal,0736::SB18,,1852,1056,5,6,0,0,0,950,117,0,0,0,0,0,0,1067,185,191,121,63,24,357,115
,De Ronde Venen,GR2014_DeRondeVenen,Gemeenteraad De Ronde Venen 2014,0736,De Ronde Venen,2014-03-19,Stembureau CNS Abcoude,0736::SB19,,1861,1371,3,5,0,0,0,1186,193,0,0,0,0,0,0,1379,190,280,168,89,37,444,163
,De Ronde Venen,GR2014_DeRondeVenen,Gemeenteraad De Ronde Venen 2014,0736,De Ronde Venen,2014-03-19,Stembureau De Angstelborgh,0736::SB20,,1888,1351,3,3,0,0,0,1199,159,0,0,0,1,0,0,1358,158,154,223,124,26,443,223
,De Ronde Venen,GR2014_DeRondeVenen,Gemeenteraad De Ronde Venen 2014,0736,De Ronde Venen,2014-03-19,Stembureau Dorpshuis de Vijf Bogen,0736::SB21,,1062,802,0,2,0,0,0,717,87,0,0,0,0,0,0,804,216,128,105,70,97,103,83
