contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Dorpsbelang Son en Breugel,Dorpsvisie Son en Breugel,VVD,CDA,Partij van de Arbeid (P.v.d.A.)/GROENLINKS
,Son en Breugel,GR2014_SonenBreugel,Gemeenteraad Son en Breugel 2014,0848,Son en Breugel,2014-03-19,"Stembureau Kom van Son, Bibliotheek Dommeldal",0848::SB1,5691 CB,1499,920,3,2,0,0,0,852,73,0,0,0,0,0,0,925,269,301,160,111,79
,Son en Breugel,GR2014_SonenBreugel,Gemeenteraad Son en Breugel 2014,0848,Son en Breugel,2014-03-19,Stembureau Verzorgingshuis Berkenstaete,0848::SB2,5691 SV,1427,751,1,5,0,0,0,683,74,0,0,0,0,0,0,757,274,201,140,87,49
,Son en Breugel,GR2014_SonenBreugel,Gemeenteraad Son en Breugel 2014,0848,Son en Breugel,2014-03-19,"Stembureau Breeakker, Oude Gemeentewerf",0848::SB3,5691 TN,1013,576,0,2,0,0,0,531,47,0,0,0,0,0,0,578,141,264,55,59,57
,Son en Breugel,GR2014_SonenBreugel,Gemeenteraad Son en Breugel 2014,0848,Son en Breugel,2014-03-19,"Stembureau 't Harde Ven, BS De Harlekijn",0848::SB4,5691 EA,1150,760,1,4,0,0,0,692,73,0,0,0,0,0,0,765,279,140,183,99,59
,Son en Breugel,GR2014_SonenBreugel,Gemeenteraad Son en Breugel 2014,0848,Son en Breugel,2014-03-19,"Stembureau Gentiaan-Oost, Galerie Dejavu",0848::SB5,5691 LL,1648,743,2,1,0,0,0,670,76,0,0,0,0,0,0,746,242,259,106,52,84
,Son en Breugel,GR2014_SonenBreugel,Gemeenteraad Son en Breugel 2014,0848,Son en Breugel,2014-03-19,"Stembureau Gentiaan-west, Braecklant",0848::SB6,5691 KD,1587,1234,4,5,0,0,0,1131,112,0,0,0,0,0,0,1243,419,289,285,143,98
,Son en Breugel,GR2014_SonenBreugel,Gemeenteraad Son en Breugel 2014,0848,Son en Breugel,2014-03-19,Stembureau Parochiehuis Den Bauw,0848::SB7,5694 AG,976,593,1,1,0,0,0,540,55,0,0,0,0,0,0,595,159,220,56,124,34
,Son en Breugel,GR2014_SonenBreugel,Gemeenteraad Son en Breugel 2014,0848,Son en Breugel,2014-03-19,"Stembureau 't Eigen, BS De Stokland",0848::SB8,5694 TG,1366,665,6,0,0,0,0,612,59,0,0,0,0,0,0,671,212,278,53,44,78
,Son en Breugel,GR2014_SonenBreugel,Gemeenteraad Son en Breugel 2014,0848,Son en Breugel,2014-03-19,"Stembureau Hoogstraat, De Boerderij",0848::SB9,5694 VR,1364,670,7,1,0,0,0,627,51,0,0,0,0,0,0,678,207,252,89,32,90
,Son en Breugel,GR2014_SonenBreugel,Gemeenteraad Son en Breugel 2014,0848,Son en Breugel,2014-03-19,Stembureau Combigeb. gemeente/brandweer,0848::SB10,5691 PA,613,235,2,0,0,0,0,197,40,0,0,0,0,0,0,237,69,68,56,33,9
