contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),CDA,TROTS,Leefbaar Purmerend 2001,Algemeen Ouderen Verbond,STADSPARTIJ,GROENLINKS,Nederlandse Volks-Unie (NVU),Groep Hop
,Purmerend,GR2014_Purmerend,Gemeenteraad Purmerend 2014,0439,Purmerend,2014-03-19,Stembureau Stadhuis,0439::SB1,1441 DM,1451,1094,2,12,0,0,0,1012,96,0,0,0,0,0,0,1108,164,150,118,162,50,68,108,165,91,12,6
,Purmerend,GR2014_Purmerend,Gemeenteraad Purmerend 2014,0439,Purmerend,2014-03-19,Stembureau De Avondzon,0439::SB2,1441 CM,1410,655,0,2,0,0,0,591,66,0,0,0,0,0,0,657,94,77,98,61,43,66,76,77,47,5,11
,Purmerend,GR2014_Purmerend,Gemeenteraad Purmerend 2014,0439,Purmerend,2014-03-19,Stembureau Bibliotheek Purmerend,0439::SB3,1441 MP,2007,1031,2,6,1,0,0,939,101,0,0,0,1,0,0,1040,100,125,143,112,86,60,118,175,90,6,16
,Purmerend,GR2014_Purmerend,Gemeenteraad Purmerend 2014,0439,Purmerend,2014-03-19,"Stembureau De Zorgcirkel, locatie De Viervorst",0439::SB4,1441 HC,1355,782,3,5,0,0,0,736,54,0,0,0,0,0,0,790,78,97,102,111,43,55,151,76,54,10,5
,Purmerend,GR2014_Purmerend,Gemeenteraad Purmerend 2014,0439,Purmerend,2014-03-19,Stembureau Verzorgingshuis De Tien Gemeenten,0439::SB5,1442 AA,1519,845,2,7,0,0,0,786,68,0,0,0,0,0,0,854,117,89,97,108,44,45,130,122,76,8,9
,Purmerend,GR2014_Purmerend,Gemeenteraad Purmerend 2014,0439,Purmerend,2014-03-19,Stembureau Obs 't Carrousel,0439::SB6,1442 PZ,1935,754,4,2,0,0,0,701,59,0,0,0,0,0,0,760,52,113,78,58,62,65,96,136,50,25,19
,Purmerend,GR2014_Purmerend,Gemeenteraad Purmerend 2014,0439,Purmerend,2014-03-19,Stembureau Bets Frijlingschool,0439::SB7,1442 EC,1359,592,4,4,0,0,0,561,39,0,0,0,0,0,0,600,32,60,57,47,48,53,92,117,66,16,4
,Purmerend,GR2014_Purmerend,Gemeenteraad Purmerend 2014,0439,Purmerend,2014-03-19,"Stembureau De Zorgcirkel, locatie Novawhere",0439::SB8,1444 HT,1312,709,4,1,0,0,0,654,60,0,0,0,0,0,0,714,119,86,99,89,28,45,78,104,50,5,6
,Purmerend,GR2014_Purmerend,Gemeenteraad Purmerend 2014,0439,Purmerend,2014-03-19,"Stembureau De Zorgcirkel,  Jaap van Praag",0439::SB9,1444 TA,1315,710,4,1,0,1,0,660,56,0,0,0,1,0,0,716,57,98,103,84,46,35,103,108,69,2,5
,Purmerend,GR2014_Purmerend,Gemeenteraad Purmerend 2014,0439,Purmerend,2014-03-19,Stembureau Wijkcentrum De Inval,0439::SB10,1444 HV,1854,748,3,5,0,0,0,688,68,0,0,0,0,0,0,756,75,111,82,86,49,41,96,131,49,10,18
