contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Partij van de Arbeid (P.v.d.A.),Senioren Partij Maastricht,GROENLINKS,Democraten 66 (D66),VVD,Stadsbelangen Mestreech,SP (Socialistische Partij),Liberale Partij Maastricht,Maastrichtse Volkspartij (MV),OPA,Partij Veilig Maastricht (PVM)
,Maastricht,GR2014_Maastricht,Gemeenteraad Maastricht 2014,0935,Maastricht,2014-03-19,"Stembureau Stadhuis, Merretkamer",0935::SB1,6211 CL,3927,1228,8,2,0,0,0,1151,87,0,0,0,0,0,0,1238,109,126,95,166,299,166,33,128,17,25,4,60
,Maastricht,GR2014_Maastricht,Gemeenteraad Maastricht 2014,0935,Maastricht,2014-03-19,"Stembureau Stadhuis, Merretkamer",0935::SB3,6211 CL,0,1024,8,4,0,0,0,950,86,0,0,0,0,0,0,1036,89,144,82,120,245,105,27,84,25,50,10,43
,Maastricht,GR2014_Maastricht,Gemeenteraad Maastricht 2014,0935,Maastricht,2014-03-19,Stembureau Muziekschool Kumulus,0935::SB4,6221 BA,2329,904,2,7,0,0,0,848,65,0,0,0,0,0,0,913,94,125,86,127,137,93,25,123,15,24,8,47
,Maastricht,GR2014_Maastricht,Gemeenteraad Maastricht 2014,0935,Maastricht,2014-03-19,Stembureau Klooster Zusters onder de Bogen,0935::SB5,6211 NX,1483,572,1,5,0,0,0,522,57,0,1,0,1,0,0,579,153,48,54,53,122,61,9,33,6,8,5,20
,Maastricht,GR2014_Maastricht,Gemeenteraad Maastricht 2014,0935,Maastricht,2014-03-19,Stembureau Gemeenschapshuis De Lètterdoes,0935::SB6,6224 BE,1635,546,5,2,0,0,0,495,58,0,0,0,0,0,0,553,52,78,74,39,46,14,40,105,9,10,9,70
,Maastricht,GR2014_Maastricht,Gemeenteraad Maastricht 2014,0935,Maastricht,2014-03-19,Stembureau Kumulus West,0935::SB7,6211 RB,2051,701,1,2,0,0,0,636,68,0,0,0,0,0,0,704,78,96,45,111,114,47,24,79,23,38,4,42
,Maastricht,GR2014_Maastricht,Gemeenteraad Maastricht 2014,0935,Maastricht,2014-03-19,Stembureau Envida locatie Koepelhof,0935::SB8,6224 LW,1789,774,5,0,0,0,0,707,72,0,0,0,0,0,0,779,125,96,110,82,105,78,19,81,23,25,11,19
,Maastricht,GR2014_Maastricht,Gemeenteraad Maastricht 2014,0935,Maastricht,2014-03-19,Stembureau Envida locatie Klevarie,0935::SB9,6211 LX,1434,606,2,2,0,0,0,564,46,0,0,0,0,0,0,610,84,45,100,58,104,58,16,66,11,15,9,40
,Maastricht,GR2014_Maastricht,Gemeenteraad Maastricht 2014,0935,Maastricht,2014-03-19,Stembureau Centre Ceramique,0935::SB10,6221 KV,3869,817,0,1,0,0,0,746,73,0,0,0,1,0,0,819,154,72,124,79,166,89,13,52,16,23,5,24
,Maastricht,GR2014_Maastricht,Gemeenteraad Maastricht 2014,0935,Maastricht,2014-03-19,Stembureau Envida locatie Molenhof,0935::SB11,6211 JM,1441,732,2,4,0,0,0,685,53,0,0,0,0,0,0,738,83,107,95,91,149,82,6,59,6,19,7,28
