contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Volkspartij voor Vrijheid en Democratie (VVD),Partij van de Arbeid (P.v.d.A.),Gemeentebelangen Oosterhout,CDA,Gezond Burger Verstand,GROENLINKS,Democraten 66 (D66),GROEN BRABANT,SP (Socialistische Partij),Onafhankelijke Fractie,PRO Oosterhout,Oosterhout Anders,JEZUS LEEFT
,Oosterhout,GR2014_Oosterhout,Gemeenteraad Oosterhout 2014,0826,Oosterhout,2014-03-19,"Stembureau Stadhuis,",0826::SB1,4902 ZP,3091,1345,6,11,0,0,0,1237,126,0,1,0,1,0,0,1363,153,79,178,119,137,126,128,94,159,21,44,88,19
,Oosterhout,GR2014_Oosterhout,Gemeenteraad Oosterhout 2014,0826,Oosterhout,2014-03-19,Stembureau Delta-Onderwijs,0826::SB2,4902 AB,2126,991,0,2,0,0,0,881,112,0,0,0,0,0,0,993,255,30,122,179,80,69,100,32,66,29,25,1,3
,Oosterhout,GR2014_Oosterhout,Gemeenteraad Oosterhout 2014,0826,Oosterhout,2014-03-19,"Stembureau Zorgcentrum ""De Doelen""",0826::SB3,4901 JA,1733,890,4,3,0,0,0,826,71,0,0,0,0,0,0,897,115,43,160,138,79,92,81,35,90,25,25,2,5
,Oosterhout,GR2014_Oosterhout,Gemeenteraad Oosterhout 2014,0826,Oosterhout,2014-03-19,"Stembureau Theater ""De Bussel""",0826::SB4,4901 EC,2359,835,4,8,0,0,0,772,75,0,0,0,0,0,0,847,113,62,153,121,56,58,76,36,89,32,21,9,9
,Oosterhout,GR2014_Oosterhout,Gemeenteraad Oosterhout 2014,0826,Oosterhout,2014-03-19,"Stembureau Stichting ""De Pannehoef""",0826::SB5,4905 AT,1749,911,2,1,0,0,0,810,106,0,0,0,2,0,0,916,197,34,87,124,105,78,78,36,101,39,24,1,7
,Oosterhout,GR2014_Oosterhout,Gemeenteraad Oosterhout 2014,0826,Oosterhout,2014-03-19,Stembureau Thuiskamer Oudenhove,0826::SB6,4901 CD,1348,598,4,0,0,0,0,541,62,0,0,0,1,0,0,603,62,30,114,80,46,70,45,29,78,11,18,8,7
,Oosterhout,GR2014_Oosterhout,Gemeenteraad Oosterhout 2014,0826,Oosterhout,2014-03-19,"Stembureau BS ""Paulo Freire""",0826::SB7,4901 AW,1623,681,2,0,0,0,0,595,88,0,0,0,1,0,0,683,61,48,107,51,89,65,61,26,91,13,17,48,4
,Oosterhout,GR2014_Oosterhout,Gemeenteraad Oosterhout 2014,0826,Oosterhout,2014-03-19,"Stembureau Zorgcentrum ""Oosterheem""",0826::SB8,4901 MN,1154,850,2,1,0,0,0,759,94,0,0,0,0,0,0,853,118,30,180,124,71,84,63,52,74,22,24,0,8
,Oosterhout,GR2014_Oosterhout,Gemeenteraad Oosterhout 2014,0826,Oosterhout,2014-03-19,"Stembureau Speelgoed-& Carnavalsmuseum ""op Stelten""",0826::SB9,4901 HT,1349,630,0,3,0,0,0,549,84,0,0,0,0,0,0,633,78,30,111,79,97,71,39,24,57,19,13,6,6
,Oosterhout,GR2014_Oosterhout,Gemeenteraad Oosterhout 2014,0826,Oosterhout,2014-03-19,"Stembureau Activiteitencentrum ""De Bunthoef""",0826::SB10,4904 CA,2222,970,4,8,0,0,0,872,110,0,0,0,0,0,0,982,57,66,109,101,85,106,98,55,175,22,13,71,12
,Oosterhout,GR2014_Oosterhout,Gemeenteraad Oosterhout 2014,0826,Oosterhout,2014-03-19,"Stembureau Kindcentrum ""De Ontdekking""",0826::SB11,4904 KJ,2105,785,4,3,0,0,0,694,98,0,0,0,0,0,0,792,52,71,88,59,71,92,78,41,117,18,17,68,13
,Oosterhout,GR2014_Oosterhout,Gemeenteraad Oosterhout 2014,0826,Oosterhout,2014-03-19,"Stembureau Zorgcentrum ""Buurstede""",0826::SB12,4904 PX,919,620,4,1,0,0,0,579,46,0,0,0,0,0,0,625,106,36,77,91,53,68,48,31,77,7,9,10,7
,Oosterhout,GR2014_Oosterhout,Gemeenteraad Oosterhout 2014,0826,Oosterhout,2014-03-19,"Stembureau BS ""De Beiaard""",0826::SB13,4904 PW,1739,900,4,2,0,0,0,802,104,0,0,0,0,0,0,906,216,57,85,152,56,87,123,20,61,14,18,10,1
,Oosterhout,GR2014_Oosterhout,Gemeenteraad Oosterhout 2014,0826,Oosterhout,2014-03-19,"Stembureau Dorpshuis ""De Klip""",0826::SB14,4849 BG,2037,1083,2,0,0,0,0,987,98,0,0,0,0,0,0,1085,96,16,463,230,65,40,66,26,73,3,2,2,1
,Oosterhout,GR2014_Oosterhout,Gemeenteraad Oosterhout 2014,0826,Oosterhout,2014-03-19,"Stembureau Gemeenschapshuis ""Oostquartier""",0826::SB15,4909 AL,1012,680,0,3,0,0,0,596,86,0,1,0,1,0,0,682,73,11,76,246,126,30,25,65,13,4,9,0,2
,Oosterhout,GR2014_Oosterhout,Gemeenteraad Oosterhout 2014,0826,Oosterhout,2014-03-19,"Stembureau Dorpshuis ""Den Brink""",0826::SB16,4911 AW,1014,630,3,1,0,0,0,576,58,0,0,0,0,0,0,634,88,13,48,90,294,19,29,17,24,4,4,0,0
,Oosterhout,GR2014_Oosterhout,Gemeenteraad Oosterhout 2014,0826,Oosterhout,2014-03-19,"Stembureau BS ""De Hobbit""",0826::SB17,4907 AB,1457,948,1,0,0,0,0,850,99,0,0,0,0,0,0,949,186,53,124,106,46,78,143,39,97,27,41,1,7
,Oosterhout,GR2014_Oosterhout,Gemeenteraad Oosterhout 2014,0826,Oosterhout,2014-03-19,"Stembureau BS ""Rubenshof""",0826::SB18,4907 MX,2011,1021,3,2,0,0,0,917,109,0,0,0,0,0,0,1026,199,71,194,76,47,79,131,56,99,32,31,1,5
