contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Gemeentebelang Franekeradeel,CDA,Partij van de Arbeid (P.v.d.A.),FNP,VVD,GROENLINKS,Democraten 66 (D66),ChristenUnie
,Franekeradeel,GR2014_Franekeradeel,Gemeenteraad Franekeradeel 2014,0070,Franekeradeel,2014-03-19,Stembureau Raadskelder Stadhuis,0070::SB1,,1843,1025,5,0,0,0,0,914,116,0,0,0,0,0,0,1030,272,197,106,117,88,85,95,65
,Franekeradeel,GR2014_Franekeradeel,Gemeenteraad Franekeradeel 2014,0070,Franekeradeel,2014-03-19,Stembureau Zorgcentrum Saxenoord,0070::SB2,,1059,568,2,2,0,0,0,537,35,0,0,0,0,0,0,572,174,109,97,64,27,36,22,39
,Franekeradeel,GR2014_Franekeradeel,Gemeenteraad Franekeradeel 2014,0070,Franekeradeel,2014-03-19,Stembureau Sjaerdemastate,0070::SB3,,1883,595,3,1,0,0,0,551,48,0,0,0,0,0,0,599,191,102,72,82,23,42,45,38
,Franekeradeel,GR2014_Franekeradeel,Gemeenteraad Franekeradeel 2014,0070,Franekeradeel,2014-03-19,Stembureau Gemeentehuis,0070::SB4,,1600,1257,8,1,0,0,0,1118,148,0,0,0,0,0,0,1266,366,183,177,152,143,75,101,60
,Franekeradeel,GR2014_Franekeradeel,Gemeenteraad Franekeradeel 2014,0070,Franekeradeel,2014-03-19,Stembureau Serviceflat Froonacker,0070::SB5,,1128,470,2,1,0,0,0,432,41,0,0,0,0,0,0,473,153,81,81,48,18,14,39,36
,Franekeradeel,GR2014_Franekeradeel,Gemeenteraad Franekeradeel 2014,0070,Franekeradeel,2014-03-19,Stembureau School Fûgelflecht,0070::SB7,,1659,954,3,2,0,0,0,872,86,0,0,1,0,0,0,958,298,190,134,127,71,32,45,57
,Franekeradeel,GR2014_Franekeradeel,Gemeenteraad Franekeradeel 2014,0070,Franekeradeel,2014-03-19,Stembureau School Toermalijn,0070::SB9,,1589,958,5,5,0,0,0,888,78,0,0,2,0,0,0,966,288,105,127,114,105,56,93,70
,Franekeradeel,GR2014_Franekeradeel,Gemeenteraad Franekeradeel 2014,0070,Franekeradeel,2014-03-19,Stembureau Dorpshuis De Rede,0070::SB11,,375,223,0,0,0,0,0,201,22,0,0,0,0,0,0,223,48,14,30,67,34,15,14,1
,Franekeradeel,GR2014_Franekeradeel,Gemeenteraad Franekeradeel 2014,0070,Franekeradeel,2014-03-19,Stembureau Dorpshuis Us Doarpshûs,0070::SB12,,302,135,1,1,0,0,0,126,11,0,0,0,0,0,0,137,20,15,14,46,24,11,3,2
,Franekeradeel,GR2014_Franekeradeel,Gemeenteraad Franekeradeel 2014,0070,Franekeradeel,2014-03-19,Stembureau Dorpshuis De Singel,0070::SB13,,652,346,0,1,0,0,0,319,28,0,0,0,0,0,0,347,21,57,36,157,27,29,8,11
,Franekeradeel,GR2014_Franekeradeel,Gemeenteraad Franekeradeel 2014,0070,Franekeradeel,2014-03-19,Stembureau Zorgcentrum Martenahiem,0070::SB14,,893,505,2,1,0,0,0,466,43,0,0,0,1,0,0,509,45,158,21,140,53,26,22,40
,Franekeradeel,GR2014_Franekeradeel,Gemeenteraad Franekeradeel 2014,0070,Franekeradeel,2014-03-19,Stembureau Dorpshuis It Waed,0070::SB15,,1450,697,7,1,0,0,0,640,65,0,0,0,0,0,0,705,40,312,54,117,38,50,43,43
,Franekeradeel,GR2014_Franekeradeel,Gemeenteraad Franekeradeel 2014,0070,Franekeradeel,2014-03-19,Stembureau Zorgcentrum Nij Bethanië,0070::SB16,,1179,624,0,4,0,0,0,563,65,0,0,0,0,0,0,628,53,124,130,199,61,18,21,18
,Franekeradeel,GR2014_Franekeradeel,Gemeenteraad Franekeradeel 2014,0070,Franekeradeel,2014-03-19,Stembureau Gemeenschapscentrum It Mienskar,0070::SB17,,440,219,0,1,0,0,0,199,21,0,0,0,0,0,0,220,29,82,16,40,17,9,10,16
