contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),VVD,Lijst Stulp,CDA,Fractie 2014,ChristenUnie,Democraten 66 (D66),Sociaal Delfzijl,Seniorenpartij Delfzijl
,Delfzijl,GR2014_Delfzijl,Gemeenteraad Delfzijl 2014,0010,Delfzijl,2014-03-19,Stembureau Gemeentehuis,0010::SB1,9934 EA,1535,1183,21,3,0,0,0,1090,119,0,2,0,2,0,0,1209,159,237,132,138,124,113,71,19,190
,Delfzijl,GR2014_Delfzijl,Gemeenteraad Delfzijl 2014,0010,Delfzijl,2014-03-19,Stembureau Burg. van Julsinghatehuis,0010::SB2,9934 EH,1554,798,19,8,0,0,0,751,74,0,0,0,0,0,0,825,103,92,91,92,100,130,58,6,126
,Delfzijl,GR2014_Delfzijl,Gemeenteraad Delfzijl 2014,0010,Delfzijl,2014-03-19,Stembureau Werkorganisatie DEAL,0010::SB3,9934 LN,1180,697,3,0,0,0,0,646,54,0,0,0,0,0,0,700,65,164,94,38,119,112,60,5,40
,Delfzijl,GR2014_Delfzijl,Gemeenteraad Delfzijl 2014,0010,Delfzijl,2014-03-19,Stembureau Dorpshuis Aeolus,0010::SB5,9936 CS,1423,607,32,4,0,0,0,566,77,0,0,0,0,0,0,643,79,133,115,27,72,61,26,7,87
,Delfzijl,GR2014_Delfzijl,Gemeenteraad Delfzijl 2014,0010,Delfzijl,2014-03-19,Stembureau Kerk Meedhuizen,0010::SB6,9937 PD,479,273,6,2,0,0,0,251,30,0,0,0,0,0,0,281,31,54,38,15,60,26,27,2,20
,Delfzijl,GR2014_Delfzijl,Gemeenteraad Delfzijl 2014,0010,Delfzijl,2014-03-19,Stembureau Brede School Noord,0010::SB7,9933 KH,1590,434,12,1,0,0,0,401,46,0,0,0,0,0,0,447,37,62,74,38,71,66,25,18,43
,Delfzijl,GR2014_Delfzijl,Gemeenteraad Delfzijl 2014,0010,Delfzijl,2014-03-19,Stembureau Gebouw Chr Gereformeerde Kerk,0010::SB8,9931 CB,1600,634,14,2,0,0,0,579,71,0,0,0,0,0,0,650,62,52,121,62,111,106,28,18,74
,Delfzijl,GR2014_Delfzijl,Gemeenteraad Delfzijl 2014,0010,Delfzijl,2014-03-19,Stembureau Brede School Noord,0010::SB9,9933 KH,1791,1002,25,7,0,0,0,918,116,0,0,0,0,0,0,1034,104,104,149,85,179,121,48,29,183
,Delfzijl,GR2014_Delfzijl,Gemeenteraad Delfzijl 2014,0010,Delfzijl,2014-03-19,Stembureau Brede School Tuikwerd,0010::SB10,9932 BR,2167,815,14,8,0,0,0,742,95,0,0,0,0,0,0,837,107,93,141,39,114,130,65,29,97
,Delfzijl,GR2014_Delfzijl,Gemeenteraad Delfzijl 2014,0010,Delfzijl,2014-03-19,Stembureau Eemsdeltacollege,0010::SB11,9932 BD,1255,566,18,1,0,0,0,522,63,0,0,0,0,0,0,585,84,86,57,54,100,102,41,1,41
,Delfzijl,GR2014_Delfzijl,Gemeenteraad Delfzijl 2014,0010,Delfzijl,2014-03-19,Stembureau OBS Woldrakkers,0010::SB12,9946 PM,805,370,18,5,0,0,0,337,56,0,0,0,0,0,0,393,37,39,52,13,159,27,15,5,23
,Delfzijl,GR2014_Delfzijl,Gemeenteraad Delfzijl 2014,0010,Delfzijl,2014-03-19,Stembureau o.b.s. De Munte,0010::SB13,9948 PA,728,388,10,2,0,0,0,352,48,0,0,0,0,0,0,400,42,51,90,13,127,15,12,5,33
,Delfzijl,GR2014_Delfzijl,Gemeenteraad Delfzijl 2014,0010,Delfzijl,2014-03-19,Stembureau Ons Centrum,0010::SB14,9945 SG,1487,815,4,1,0,0,0,732,88,0,0,0,0,0,0,820,39,90,81,127,297,93,53,3,32
,Delfzijl,GR2014_Delfzijl,Gemeenteraad Delfzijl 2014,0010,Delfzijl,2014-03-19,Stembureau CBS Bierum,0010::SB15,9906 PE,556,318,6,3,0,0,0,295,32,0,0,0,0,0,0,327,16,30,96,53,16,55,27,4,21
,Delfzijl,GR2014_Delfzijl,Gemeenteraad Delfzijl 2014,0010,Delfzijl,2014-03-19,Stembureau Verenigingsgebouw Elim,0010::SB16,9909 AH,1095,615,24,3,0,0,0,584,58,0,0,0,0,0,0,642,37,42,246,67,38,104,32,0,49
,Delfzijl,GR2014_Delfzijl,Gemeenteraad Delfzijl 2014,0010,Delfzijl,2014-03-19,Stembureau Dorpshuis De Heekt,0010::SB17,9905 PD,970,557,12,3,0,0,0,520,52,0,0,0,0,0,0,572,47,63,156,67,69,69,44,1,41
,Delfzijl,GR2014_Delfzijl,Gemeenteraad Delfzijl 2014,0010,Delfzijl,2014-03-19,Stembureau Dorpshuis Vinkenhorst,0010::SB18,9908 PD,412,240,2,0,0,0,0,220,22,0,0,0,0,0,0,242,15,19,58,32,38,37,21,3,17
