contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Werknemers Groepering,CDA,VVD,Partij van de Arbeid (P.v.d.A.),GROENLINKS,Democraten 66 (D66)
,Oldenzaal,GR2014_Oldenzaal,Gemeenteraad Oldenzaal 2014,0173,Oldenzaal,2014-03-19,"Stembureau Stadhuis, Ganzenmarkt 1",0173::SB1,7571CD,1794,1375,5,1,0,0,0,1249,132,0,0,0,0,0,0,1381,462,229,251,80,123,230
,Oldenzaal,GR2014_Oldenzaal,Gemeenteraad Oldenzaal 2014,0173,Oldenzaal,2014-03-19,"Stembureau Woon- en Zorgcentrum de Molenkamp, Monnikstraat 33",0173::SB2,7571CW,1250,642,4,2,0,0,0,578,70,0,0,0,0,0,0,648,213,129,132,44,57,67
,Oldenzaal,GR2014_Oldenzaal,Gemeenteraad Oldenzaal 2014,0173,Oldenzaal,2014-03-19,"Stembureau Dienstencentrum ""De Walgaarden"", De Walgaarden 98",0173::SB3,7571GA,1591,652,3,5,0,0,0,603,57,0,0,0,0,0,0,660,271,117,52,71,75,66
,Oldenzaal,GR2014_Oldenzaal,Gemeenteraad Oldenzaal 2014,0173,Oldenzaal,2014-03-19,"Stembureau Restaurant Sportcentrum ""Vondersweijde"", Ada Kokstr 20",0173::SB4,7572BT,1630,833,0,2,0,0,0,754,81,0,0,0,0,0,0,835,291,166,96,67,100,113
,Oldenzaal,GR2014_Oldenzaal,Gemeenteraad Oldenzaal 2014,0173,Oldenzaal,2014-03-19,"Stembureau Bejaardencentrum Mariahof, Beatrixstraat 64",0173::SB5,7573AB,1698,855,6,5,0,0,0,784,82,0,0,0,0,0,0,866,310,157,139,52,77,120
,Oldenzaal,GR2014_Oldenzaal,Gemeenteraad Oldenzaal 2014,0173,Oldenzaal,2014-03-19,"Stembureau Wooncentrum Scholtenhof, Fonteinstraat 55",0173::SB6,7573CG,1292,813,0,3,0,0,0,734,82,0,0,0,0,0,0,816,190,175,209,48,74,117
,Oldenzaal,GR2014_Oldenzaal,Gemeenteraad Oldenzaal 2014,0173,Oldenzaal,2014-03-19,"Stembureau Kant. Tennisver. Zuid-Berghuizen, Schapendijk 35",0173::SB7,7574PG,1561,762,3,3,0,0,0,698,70,0,0,0,0,0,0,768,296,180,44,34,107,101
,Oldenzaal,GR2014_Oldenzaal,Gemeenteraad Oldenzaal 2014,0173,Oldenzaal,2014-03-19,"Stembureau School Breedwijs Zuid Berghuizen, Helmichstraat 44",0173::SB8,7574TX,1555,840,3,2,0,0,0,767,78,0,0,0,0,0,0,845,335,148,30,93,113,121
,Oldenzaal,GR2014_Oldenzaal,Gemeenteraad Oldenzaal 2014,0173,Oldenzaal,2014-03-19,"Stembureau Vrije School De Zevenster, J.W.F. van Hartenstraat 2",0173::SB9,7576VX,1300,638,2,4,0,0,0,591,53,0,0,0,0,0,0,644,242,125,59,60,75,77
,Oldenzaal,GR2014_Oldenzaal,Gemeenteraad Oldenzaal 2014,0173,Oldenzaal,2014-03-19,"Stembureau Woonzorgcentrum ""De Zonnestraal"", Ingang Jan Jansstraat",0173::SB10,7576BA,1350,721,1,3,0,0,0,660,65,0,0,0,0,0,0,725,320,162,48,78,52,61
,Oldenzaal,GR2014_Oldenzaal,Gemeenteraad Oldenzaal 2014,0173,Oldenzaal,2014-03-19,"Stembureau School de Wendakker, Zandhorstlaan 95",0173::SB11,7576VR,1456,960,3,5,0,0,0,884,84,0,0,0,0,0,0,968,326,157,144,72,130,131
,Oldenzaal,GR2014_Oldenzaal,Gemeenteraad Oldenzaal 2014,0173,Oldenzaal,2014-03-19,"Stembureau Kantine Wielerclub OWC, Oude Almeloseweg 1",0173::SB12,7576PE,1591,570,1,2,0,0,0,516,57,0,0,0,0,0,0,573,132,145,86,50,70,87
,Oldenzaal,GR2014_Oldenzaal,Gemeenteraad Oldenzaal 2014,0173,Oldenzaal,2014-03-19,"Stembureau Appartementencomplex ""De Meijbree"", Ingang Meijbreestraat",0173::SB13,7573ER,1503,604,1,2,0,0,0,551,56,0,0,0,0,0,0,607,221,128,72,46,74,63
