contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Nieuw Lisse,CDA,Democraten 66 (D66),SGP-ChristenUnie,Partij van de Arbeid-GROENLINKS
,Lisse,GR2014_Lisse,Gemeenteraad Lisse 2014,0553,Lisse,2014-03-19,Stembureau Woonzorgcentrum Rustoord,0553::SB1,2161 GC,999,658,1,0,0,0,0,581,78,0,0,0,0,0,0,659,178,108,137,120,86,29
,Lisse,GR2014_Lisse,Gemeenteraad Lisse 2014,0553,Lisse,2014-03-19,Stembureau Clubgebouw Baan 6 Watervrienden,0553::SB2,2161 VA,1378,611,2,1,0,0,0,565,49,0,0,0,0,0,0,614,55,165,128,105,114,44
,Lisse,GR2014_Lisse,Gemeenteraad Lisse 2014,0553,Lisse,2014-03-19,Stembureau Cardea campus,0553::SB3,2161 XG,1927,1074,1,1,0,0,0,953,123,0,0,0,0,0,0,1076,141,241,199,179,239,75
,Lisse,GR2014_Lisse,Gemeenteraad Lisse 2014,0553,Lisse,2014-03-19,Stembureau cbs De Lisbloem,0553::SB4,2163 AJ,1853,898,4,1,0,0,0,819,84,0,0,0,0,0,0,903,139,257,118,170,127,87
,Lisse,GR2014_Lisse,Gemeenteraad Lisse 2014,0553,Lisse,2014-03-19,Stembureau Gebouw De Klister,0553::SB5,2161 AE,1790,1002,2,5,1,0,0,893,117,0,0,0,1,0,0,1010,131,304,185,159,128,95
,Lisse,GR2014_Lisse,Gemeenteraad Lisse 2014,0553,Lisse,2014-03-19,Stembureau De Kleine Engel,0553::SB6,2161 DC,1077,604,0,2,0,0,0,551,55,0,0,0,0,0,0,606,114,170,162,93,23,42
,Lisse,GR2014_Lisse,Gemeenteraad Lisse 2014,0553,Lisse,2014-03-19,Stembureau Dienstencentrum De Beukenhof,0553::SB7,2161 EA,1406,1054,0,5,0,0,0,981,78,0,0,0,0,0,0,1059,172,239,309,198,77,59
,Lisse,GR2014_Lisse,Gemeenteraad Lisse 2014,0553,Lisse,2014-03-19,Stembureau Gebouw Postduivenvereniging,0553::SB8,2162 VW,1172,495,0,2,0,0,0,457,40,0,0,0,0,0,0,497,79,111,111,85,55,54
,Lisse,GR2014_Lisse,Gemeenteraad Lisse 2014,0553,Lisse,2014-03-19,Stembureau 't Poelhuys,0553::SB9,2162 AA,1358,1070,6,3,0,1,0,985,95,0,0,0,1,0,0,1080,139,275,185,226,116,129
,Lisse,GR2014_Lisse,Gemeenteraad Lisse 2014,0553,Lisse,2014-03-19,Stembureau Gebouw Da Capo,0553::SB10,2162 JB,1760,946,1,3,0,0,0,843,107,0,0,0,0,0,0,950,188,189,196,185,93,95
,Lisse,GR2014_Lisse,Gemeenteraad Lisse 2014,0553,Lisse,2014-03-19,"Stembureau OBS De Tweemaster, Gerard Doustraat",0553::SB11,2162 CP,1730,883,0,2,0,1,0,797,89,0,0,0,1,0,0,886,171,209,116,208,77,102
,Lisse,GR2014_Lisse,Gemeenteraad Lisse 2014,0553,Lisse,2014-03-19,Stembureau Gebouw Salvatori,0553::SB12,2161 ZL,1281,682,8,1,0,0,0,617,74,0,0,0,0,0,0,691,70,196,136,123,111,46
