contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Gemeentebelangen,Pro3,VVD,CDA,"""VOOR LOON"""
,Loon op Zand,GR2014_LoonopZand,Gemeenteraad Loon op Zand 2014,0809,Loon op Zand,2014-03-19,Stembureau De Werft,0809::SB1,5171 EP,1727,819,9,4,0,0,0,748,84,0,0,0,0,0,0,832,321,141,154,176,27
,Loon op Zand,GR2014_LoonopZand,Gemeenteraad Loon op Zand 2014,0809,Loon op Zand,2014-03-19,Stembureau De Bosvaert,0809::SB2,5171 JS,1648,792,6,1,0,0,0,726,73,0,0,0,0,0,0,799,223,98,239,218,14
,Loon op Zand,GR2014_LoonopZand,Gemeenteraad Loon op Zand 2014,0809,Loon op Zand,2014-03-19,Stembureau Het Zilverlicht (was Anton Piecksch),0809::SB3,5171 MX,1677,588,8,2,0,0,0,522,76,0,0,0,0,0,0,598,248,119,117,88,16
,Loon op Zand,GR2014_LoonopZand,Gemeenteraad Loon op Zand 2014,0809,Loon op Zand,2014-03-19,Stembureau De Vossenberg,0809::SB4,5171 DA,1507,599,3,1,0,0,0,533,70,0,0,0,0,0,0,603,279,75,102,122,21
,Loon op Zand,GR2014_LoonopZand,Gemeenteraad Loon op Zand 2014,0809,Loon op Zand,2014-03-19,Stembureau De Westkant,0809::SB5,5171 CD,1382,533,1,4,0,0,0,457,81,0,0,0,0,0,0,538,240,95,87,97,14
,Loon op Zand,GR2014_LoonopZand,Gemeenteraad Loon op Zand 2014,0809,Loon op Zand,2014-03-19,Stembureau Buurthuis Pannehoef,0809::SB6,5171 ZC,1606,647,4,7,0,0,0,590,68,0,0,0,0,0,0,658,277,131,75,141,23
,Loon op Zand,GR2014_LoonopZand,Gemeenteraad Loon op Zand 2014,0809,Loon op Zand,2014-03-19,Stembureau De Touwladder,0809::SB7,5171 WS,1739,794,4,1,0,0,0,719,80,0,0,0,0,0,0,799,273,143,178,174,26
,Loon op Zand,GR2014_LoonopZand,Gemeenteraad Loon op Zand 2014,0809,Loon op Zand,2014-03-19,Stembureau Crossroads,0809::SB8,5172 EA,1901,840,6,2,0,0,0,758,90,0,0,0,0,0,0,848,281,155,225,157,22
,Loon op Zand,GR2014_LoonopZand,Gemeenteraad Loon op Zand 2014,0809,Loon op Zand,2014-03-19,Stembureau De Venloene,0809::SB9,5175 CX,1698,1014,4,9,0,0,0,953,74,0,0,0,0,0,0,1027,46,129,118,152,569
,Loon op Zand,GR2014_LoonopZand,Gemeenteraad Loon op Zand 2014,0809,Loon op Zand,2014-03-19,Stembureau De Wetering,0809::SB10,5175 BZ,1629,968,9,3,0,0,0,879,101,0,0,0,0,0,0,980,33,157,149,122,507
,Loon op Zand,GR2014_LoonopZand,Gemeenteraad Loon op Zand 2014,0809,Loon op Zand,2014-03-19,Stembureau Serviceflat,0809::SB11,5175 WB,1594,912,5,5,0,0,0,844,78,0,0,0,0,0,0,922,16,205,184,130,377
,Loon op Zand,GR2014_LoonopZand,Gemeenteraad Loon op Zand 2014,0809,Loon op Zand,2014-03-19,Stembureau 't Maoske,0809::SB12,5176 NC,449,312,0,0,0,0,0,275,37,0,0,0,0,0,0,312,161,29,26,93,3
