contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,GROENLINKS,Partij van de Arbeid (P.v.d.A.),WaterlandNatuurlijk,SP (Socialistische Partij),Democraten 66 (D66)
,Waterland,GR2014_Waterland,Gemeenteraad Waterland 2014,0852,Waterland,2014-03-19,Stembureau Ned. Herv. Weeshuis,0852::SB1,1141 BN,1605,1119,0,4,0,0,0,1011,112,0,0,0,0,0,0,1123,218,261,175,138,47,107,173
,Waterland,GR2014_Waterland,Gemeenteraad Waterland 2014,0852,Waterland,2014-03-19,Stembureau zorgcentra Evean Swaensborch,0852::SB2,1141 VZ,1463,860,3,2,0,0,0,790,75,0,0,0,0,0,0,865,209,225,76,83,92,105,70
,Waterland,GR2014_Waterland,Gemeenteraad Waterland 2014,0852,Waterland,2014-03-19,Stembureau openbare basisschool De Fuut,0852::SB3,1141 JL,963,626,0,1,1,0,0,539,87,0,0,1,0,0,0,626,166,73,80,81,71,76,79
,Waterland,GR2014_Waterland,Gemeenteraad Waterland 2014,0852,Waterland,2014-03-19,Stembureau Gemeentehuis,0852::SB4,1141 GV,1409,828,1,1,0,0,0,745,86,0,1,0,1,0,0,831,185,133,117,74,94,150,75
,Waterland,GR2014_Waterland,Gemeenteraad Waterland 2014,0852,Waterland,2014-03-19,Stembureau Sociaal Cultureelcentrum De Bolder,0852::SB5,1141 SB,1216,887,1,1,0,0,0,806,83,0,0,0,0,0,0,889,209,124,138,74,61,121,160
,Waterland,GR2014_Waterland,Gemeenteraad Waterland 2014,0852,Waterland,2014-03-19,Stembureau Karmac Bibliotheek,0852::SB6,1141 SE,1331,862,2,3,0,3,0,773,97,0,0,0,3,0,0,870,225,124,104,92,87,113,117
,Waterland,GR2014_Waterland,Gemeenteraad Waterland 2014,0852,Waterland,2014-03-19,Stembureau Het Hart van Katwoude,0852::SB7,1145 PN,180,128,1,0,0,0,0,129,0,0,0,0,0,0,0,129,18,41,45,5,6,5,8
,Waterland,GR2014_Waterland,Gemeenteraad Waterland 2014,0852,Waterland,2014-03-19,Stembureau Dorpshuis Het Trefpunt,0852::SB8,1156 BM,1484,1127,1,2,0,1,0,983,148,0,0,0,1,0,0,1131,40,566,166,29,12,297,17
,Waterland,GR2014_Waterland,Gemeenteraad Waterland 2014,0852,Waterland,2014-03-19,Stembureau Het Broeker Huis,0852::SB9,1151 AK,877,655,0,1,0,0,0,553,103,0,0,0,0,0,0,656,135,60,169,55,44,73,119
,Waterland,GR2014_Waterland,Gemeenteraad Waterland 2014,0852,Waterland,2014-03-19,Stembureau wijksteunpunt Broek in Waterland,0852::SB10,1151 CD,1066,664,1,3,0,0,0,595,73,0,0,0,0,0,0,668,142,77,152,46,99,62,86
,Waterland,GR2014_Waterland,Gemeenteraad Waterland 2014,0852,Waterland,2014-03-19,Stembureau obs De Overhaal,0852::SB11,1153 PD,332,251,2,0,0,0,0,228,25,0,0,0,0,0,0,253,45,61,72,14,7,28,24
,Waterland,GR2014_Waterland,Gemeenteraad Waterland 2014,0852,Waterland,2014-03-19,Stembureau Dorpshuis Ilpendam,0852::SB12,1452 PR,1457,992,2,5,0,0,0,925,74,0,0,0,0,0,0,999,162,261,175,83,190,59,62
,Waterland,GR2014_Waterland,Gemeenteraad Waterland 2014,0852,Waterland,2014-03-19,Stembureau Dorpshuis De Nieuwe Boet,0852::SB13,1454 AA,329,192,2,0,0,0,0,170,24,0,0,0,0,0,0,194,47,20,64,20,18,14,9
