contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Algemeen Belang Zuid-Zuidwesthoek (ABZ),CDA,VVD,Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),Alle Kernen Troef (A.K.T.)
,Woensdrecht,GR2014_Woensdrecht,Gemeenteraad Woensdrecht 2014,0873,Woensdrecht,2014-03-19,Stembureau Basisschool De stappen,0873::SB1,4631AD,1705,775,3,4,0,0,0,701,81,0,0,0,0,0,0,782,288,115,115,46,129,82
,Woensdrecht,GR2014_Woensdrecht,Gemeenteraad Woensdrecht 2014,0873,Woensdrecht,2014-03-19,Stembureau Gemeentehuis,0873::SB2,4631GC,1884,1271,4,5,0,0,0,1156,124,0,0,0,0,0,0,1280,514,200,142,103,178,134
,Woensdrecht,GR2014_Woensdrecht,Gemeenteraad Woensdrecht 2014,0873,Woensdrecht,2014-03-19,Stembureau WZC Heidetuin,0873::SB3,4631KX,2013,1020,2,2,0,0,0,918,106,0,0,0,0,0,0,1024,383,202,142,62,132,99
,Woensdrecht,GR2014_Woensdrecht,Gemeenteraad Woensdrecht 2014,0873,Woensdrecht,2014-03-19,Stembureau Dorpshuis 't Blickvelt,0873::SB4,4634TN,1243,650,3,2,0,0,0,575,80,0,0,0,0,0,0,655,212,135,76,41,117,69
,Woensdrecht,GR2014_Woensdrecht,Gemeenteraad Woensdrecht 2014,0873,Woensdrecht,2014-03-19,Stembureau Tandartspraktijk van Geest,0873::SB5,4631JE,1596,670,0,0,0,0,0,595,75,0,0,0,0,0,0,670,296,119,59,53,49,94
,Woensdrecht,GR2014_Woensdrecht,Gemeenteraad Woensdrecht 2014,0873,Woensdrecht,2014-03-19,Stembureau MFC De Drieschaar,0873::SB6,4641TH,1552,670,1,5,0,0,0,600,76,0,0,0,0,0,0,676,179,168,95,123,43,62
,Woensdrecht,GR2014_Woensdrecht,Gemeenteraad Woensdrecht 2014,0873,Woensdrecht,2014-03-19,Stembureau WZC Mariahove,0873::SB7,4641TL,1520,721,0,6,0,0,0,629,98,0,0,0,0,0,0,727,200,156,87,187,57,34
,Woensdrecht,GR2014_Woensdrecht,Gemeenteraad Woensdrecht 2014,0873,Woensdrecht,2014-03-19,Stembureau Hotel Dekkers,0873::SB8,4641CP,1189,672,0,2,0,0,0,593,82,1,0,0,0,0,0,675,199,96,56,198,43,80
,Woensdrecht,GR2014_Woensdrecht,Gemeenteraad Woensdrecht 2014,0873,Woensdrecht,2014-03-19,Stembureau MFC Centrum De Biezen,0873::SB9,4645DA,1503,626,1,5,0,0,0,539,93,0,0,0,0,0,0,632,252,34,143,54,39,104
,Woensdrecht,GR2014_Woensdrecht,Gemeenteraad Woensdrecht 2014,0873,Woensdrecht,2014-03-19,Stembureau WZC De Beukenhof,0873::SB10,4645HV,1612,765,2,6,0,0,0,690,83,0,0,0,0,0,0,773,263,47,171,90,85,109
,Woensdrecht,GR2014_Woensdrecht,Gemeenteraad Woensdrecht 2014,0873,Woensdrecht,2014-03-19,Stembureau WZC St Margaretha,0873::SB11,4635CM,1736,991,8,7,0,0,0,887,119,0,0,0,0,0,0,1006,232,364,155,48,96,96
