contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Heusden ÉÉN,Gemeentebelangen,D.M.P. Heusden,CDA,VVD,Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),Heusden Transparant
,Heusden,GR2014_Heusden,Gemeenteraad Heusden 2014,0797,Heusden,2014-03-19,Stembureau Gemeentehuis Drunen,0797::SB1,5151 JH,1406,942,3,4,0,0,0,864,85,0,0,0,0,0,0,949,86,339,98,107,61,75,74,102
,Heusden,GR2014_Heusden,Gemeenteraad Heusden 2014,0797,Heusden,2014-03-19,Stembureau De Bolster,0797::SB2,5151 ZK,1191,543,8,1,0,0,0,494,58,0,0,0,0,0,0,552,44,148,43,81,27,63,38,99
,Heusden,GR2014_Heusden,Gemeenteraad Heusden 2014,0797,Heusden,2014-03-19,Stembureau De Remise,0797::SB3,5151 BM,1358,808,7,4,0,0,0,739,80,0,0,0,0,0,0,819,43,208,80,97,83,81,76,140
,Heusden,GR2014_Heusden,Gemeenteraad Heusden 2014,0797,Heusden,2014-03-19,Stembureau OBS Jongleren,0797::SB4,5151 TN,1323,552,6,1,0,0,0,499,60,0,0,0,0,0,0,559,40,200,49,61,27,63,40,72
,Heusden,GR2014_Heusden,Gemeenteraad Heusden 2014,0797,Heusden,2014-03-19,Stembureau D'n Elshof,0797::SB5,5154 AK,1236,818,0,2,1,0,0,730,91,0,0,0,1,0,0,821,29,385,95,60,88,22,24,115
,Heusden,GR2014_Heusden,Gemeenteraad Heusden 2014,0797,Heusden,2014-03-19,Stembureau SBO De Regenboog,0797::SB6,5151 KR,1233,560,2,2,0,0,0,505,59,0,0,0,0,0,0,564,29,138,49,60,56,88,66,74
,Heusden,GR2014_Heusden,Gemeenteraad Heusden 2014,0797,Heusden,2014-03-19,Stembureau Woonzorgservicecentrum Zandley,0797::SB7,5151 HK,1458,715,5,4,0,0,0,661,63,0,0,0,0,0,0,724,53,215,78,93,53,74,42,107
,Heusden,GR2014_Heusden,Gemeenteraad Heusden 2014,0797,Heusden,2014-03-19,Stembureau De Stulp,0797::SB8,5151 MR,1263,734,6,8,0,0,0,671,78,0,2,0,1,1,0,749,43,201,70,85,55,105,88,87
,Heusden,GR2014_Heusden,Gemeenteraad Heusden 2014,0797,Heusden,2014-03-19,Stembureau Olof Palme,0797::SB9,5152 JB,1214,746,4,2,0,0,0,688,64,0,0,0,0,0,0,752,55,163,68,60,100,87,97,116
,Heusden,GR2014_Heusden,Gemeenteraad Heusden 2014,0797,Heusden,2014-03-19,Stembureau De Voorste Venne,0797::SB10,5152 JB,1234,394,4,0,0,0,0,354,44,0,0,0,0,0,0,398,29,113,36,38,53,33,41,51
,Heusden,GR2014_Heusden,Gemeenteraad Heusden 2014,0797,Heusden,2014-03-19,Stembureau De Schakel,0797::SB11,5256 HL,1050,448,1,0,0,0,0,399,50,0,0,0,0,0,0,449,49,219,20,30,15,68,26,21
