contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Lokaal Belang Montferland (LBM),Partij van de Arbeid (P.v.d.A.),VVD,Burger Belangen,Democraten 66 (D66),de lijst waarop als eerste kandidaat voorkomt de heer H.J. Groote,Eerlijk Montferland
,Montferland,GR2014_Montferland,Gemeenteraad Montferland 2014,1955,Montferland,2014-03-19,Stembureau gemeentehuis,1955::SB1,6942 BE,1577,838,6,2,0,0,0,755,91,0,0,0,0,0,0,846,323,76,120,107,124,68,2,18
,Montferland,GR2014_Montferland,Gemeenteraad Montferland 2014,1955,Montferland,2014-03-19,Stembureau De Ziep,1955::SB2,6941 BH,1589,778,4,0,0,0,0,700,82,0,0,0,0,0,0,782,374,61,120,71,79,60,2,11
,Montferland,GR2014_Montferland,Gemeenteraad Montferland 2014,1955,Montferland,2014-03-19,Stembureau Sporthal De Muizenberg,1955::SB3,6942 VA,1828,903,3,4,0,0,0,838,73,0,0,0,1,0,0,911,354,101,170,78,111,73,2,14
,Montferland,GR2014_Montferland,Gemeenteraad Montferland 2014,1955,Montferland,2014-03-19,Stembureau Cafe-restaurant Uniek,1955::SB4,6942 EA,2220,1234,3,5,0,0,0,1121,121,0,0,0,0,0,0,1242,492,124,171,185,140,103,2,17
,Montferland,GR2014_Montferland,Gemeenteraad Montferland 2014,1955,Montferland,2014-03-19,Stembureau Albertusgebouw,1955::SB5,6942 BE,1884,784,5,4,0,0,0,720,73,0,0,0,0,0,0,793,351,81,115,72,120,30,13,2
,Montferland,GR2014_Montferland,Gemeenteraad Montferland 2014,1955,Montferland,2014-03-19,Stembureau Verenigingsgebouw de Zomp,1955::SB6,6941 DM,1370,941,2,4,0,0,0,840,110,0,0,0,3,0,0,950,768,33,34,39,35,29,0,3
,Montferland,GR2014_Montferland,Gemeenteraad Montferland 2014,1955,Montferland,2014-03-19,Stembureau Verenigingsgebouw de Meikever,1955::SB7,6942 HD,1459,854,0,1,0,0,0,724,131,0,0,0,0,0,0,855,544,83,52,68,72,28,0,7
,Montferland,GR2014_Montferland,Gemeenteraad Montferland 2014,1955,Montferland,2014-03-19,Stembureau Gouden Handen,1955::SB8,7041 AV,2033,1223,6,1,0,0,0,1118,112,0,0,0,0,0,0,1230,162,426,101,159,23,112,229,11
,Montferland,GR2014_Montferland,Gemeenteraad Montferland 2014,1955,Montferland,2014-03-19,Stembureau het Willem van den Berghcentrum,1955::SB9,7041 CW,1679,708,4,1,0,0,0,628,85,0,0,0,0,0,0,713,106,228,67,103,14,78,102,10
,Montferland,GR2014_Montferland,Gemeenteraad Montferland 2014,1955,Montferland,2014-03-19,Stembureau Woningstichting Bergh,1955::SB10,7041 GL,1684,646,3,2,2,0,0,596,57,0,0,0,2,0,0,653,122,208,75,74,14,53,95,5
,Montferland,GR2014_Montferland,Gemeenteraad Montferland 2014,1955,Montferland,2014-03-19,Stembureau Voetbal Vereniging Lengel,1955::SB11,7044 AS,1395,501,1,2,1,0,0,453,50,0,0,1,0,0,0,503,119,143,38,64,15,55,59,8
,Montferland,GR2014_Montferland,Gemeenteraad Montferland 2014,1955,Montferland,2014-03-19,Stembureau Dorpshuis Zeddam,1955::SB12,7038 BX,932,803,3,1,0,0,0,742,65,0,0,0,0,0,0,807,262,165,106,123,39,79,25,4
,Montferland,GR2014_Montferland,Gemeenteraad Montferland 2014,1955,Montferland,2014-03-19,Stembureau Kantine voetbalvereniging Stokkum,1955::SB13,7039 CM,938,604,0,2,0,0,0,549,57,0,0,0,0,0,0,606,237,188,33,38,7,82,16,3
,Montferland,GR2014_Montferland,Gemeenteraad Montferland 2014,1955,Montferland,2014-03-19,Stembureau Auberge Graaf Hendrik,1955::SB14,7047 AE,1032,579,2,1,0,0,0,523,59,0,0,0,0,0,0,582,294,29,142,44,37,24,6,3
,Montferland,GR2014_Montferland,Gemeenteraad Montferland 2014,1955,Montferland,2014-03-19,Stembureau De Averhof,1955::SB15,7037 BJ,1316,733,3,2,0,0,0,672,66,0,0,0,0,0,0,738,298,161,53,106,65,49,0,1
,Montferland,GR2014_Montferland,Gemeenteraad Montferland 2014,1955,Montferland,2014-03-19,Stembureau Partycentrum  De Dèèl,1955::SB16,7037 DH,809,440,1,0,0,0,0,393,48,0,0,0,0,0,0,441,169,114,26,75,28,24,3,1
,Montferland,GR2014_Montferland,Gemeenteraad Montferland 2014,1955,Montferland,2014-03-19,Stembureau zaal van 't Kelrehuus,1955::SB17,7035 AW,1200,683,2,0,0,1,0,616,70,0,0,0,1,0,0,686,428,116,60,35,18,20,0,6
,Montferland,GR2014_Montferland,Gemeenteraad Montferland 2014,1955,Montferland,2014-03-19,Stembureau clubgebouw voetbalverening Azewijn,1955::SB18,7045 AE,578,414,0,1,0,0,0,382,33,0,0,0,0,0,0,415,197,75,91,28,6,16,1,0
,Montferland,GR2014_Montferland,Gemeenteraad Montferland 2014,1955,Montferland,2014-03-19,Stembureau hal Waverlo/Meulenvelden,1955::SB19,,1453,792,3,5,0,0,0,749,51,0,0,0,0,0,0,800,360,66,159,73,83,42,3,6
,Montferland,GR2014_Montferland,Gemeenteraad Montferland 2014,1955,Montferland,2014-03-19,"Stembureau ""Sydehem"" Benedendorpsstraat 35 Zed",1955::SB20,7038 EN,1142,440,2,0,0,0,0,399,43,0,0,0,0,0,0,442,130,121,48,71,27,35,4,4
