contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,PUUR NOORDWIJK,CDA,VVD,NOORDWIJK ZELFSTANDIG,Democraten 66 (D66),P.v.d.A.-GROENLINKS,Lijst Salman Noordwijk
,Noordwijk,GR2014_Noordwijk,Gemeenteraad Noordwijk 2014,0575,Noordwijk,2014-03-19,Stembureau Gemeentehuis,0575::SB1,2201HW,1314,1133,2,2,1,0,0,998,138,0,0,1,0,0,0,1136,284,222,182,114,105,117,109
,Noordwijk,GR2014_Noordwijk,Gemeenteraad Noordwijk 2014,0575,Noordwijk,2014-03-19,Stembureau De Vinkenhof,0575::SB2,2201EM,1405,852,1,2,0,0,0,782,73,0,0,0,0,0,0,855,235,213,108,64,42,60,130
,Noordwijk,GR2014_Noordwijk,Gemeenteraad Noordwijk 2014,0575,Noordwijk,2014-03-19,Stembureau Woonzorgcentrum Jeroen,0575::SB3,2201KS,1741,986,3,5,1,0,0,901,92,0,0,1,0,0,0,993,263,164,80,119,69,123,168
,Noordwijk,GR2014_Noordwijk,Gemeenteraad Noordwijk 2014,0575,Noordwijk,2014-03-19,Stembureau De Wieken,0575::SB4,2201RD,1958,1085,2,1,2,0,0,1003,83,0,0,2,0,0,0,1086,322,191,76,117,64,87,228
,Noordwijk,GR2014_Noordwijk,Gemeenteraad Noordwijk 2014,0575,Noordwijk,2014-03-19,Stembureau Northgo Sporthal,0575::SB5,2203HM,1339,1005,4,1,1,0,0,922,87,0,0,1,0,0,0,1009,372,147,90,96,68,100,132
,Noordwijk,GR2014_Noordwijk,Gemeenteraad Noordwijk 2014,0575,Noordwijk,2014-03-19,"Stembureau Chr. Basisschool Hoffennevierboet, locatie Vierboet",0575::SB6,2203GH,1489,905,3,1,0,0,0,814,95,0,0,0,0,0,0,909,301,150,83,92,55,93,131
,Noordwijk,GR2014_Noordwijk,Gemeenteraad Noordwijk 2014,0575,Noordwijk,2014-03-19,Stembureau Pastorie de Hoofdstraat,0575::SB7,2202GD,1278,796,2,1,1,0,0,678,120,0,0,1,0,0,0,798,323,82,196,50,49,48,48
,Noordwijk,GR2014_Noordwijk,Gemeenteraad Noordwijk 2014,0575,Noordwijk,2014-03-19,Stembureau Het Trefpunt,0575::SB8,2202HJ,1611,863,7,7,3,0,0,798,76,0,0,3,0,0,0,874,292,125,120,74,50,67,135
,Noordwijk,GR2014_Noordwijk,Gemeenteraad Noordwijk 2014,0575,Noordwijk,2014-03-19,Stembureau Prot. Chr. Basisschool Zeehonk,0575::SB9,2202KB,1190,737,3,2,0,0,0,665,77,0,0,0,0,0,0,742,343,67,86,53,37,65,86
,Noordwijk,GR2014_Noordwijk,Gemeenteraad Noordwijk 2014,0575,Noordwijk,2014-03-19,Stembureau Chr. Basisschool Wakersduin,0575::SB10,2202SP,1116,817,1,2,0,0,0,739,83,0,2,0,2,0,0,822,347,89,66,81,48,56,130
,Noordwijk,GR2014_Noordwijk,Gemeenteraad Noordwijk 2014,0575,Noordwijk,2014-03-19,Stembureau Woon- en Zorgcentrum Groot Hoogwaak,0575::SB11,2202TG,1331,832,10,4,1,0,0,767,78,0,0,1,0,0,0,845,280,181,79,70,37,84,101
,Noordwijk,GR2014_Noordwijk,Gemeenteraad Noordwijk 2014,0575,Noordwijk,2014-03-19,Stembureau Hotel De Witte Raaf,0575::SB12,2204AT,418,260,0,2,0,0,0,222,40,0,0,0,0,0,0,262,56,61,62,9,17,25,30
,Noordwijk,GR2014_Noordwijk,Gemeenteraad Noordwijk 2014,0575,Noordwijk,2014-03-19,Stembureau Basisschool De Jutter,0575::SB13,2201XP,952,577,2,4,1,0,0,516,66,0,0,1,0,0,0,582,194,85,55,56,56,52,79
,Noordwijk,GR2014_Noordwijk,Gemeenteraad Noordwijk 2014,0575,Noordwijk,2014-03-19,"Stembureau Chr. Basisschool Hoffennevierboet, locatie Hoffenne",0575::SB14,2201WN,1747,1138,4,3,1,0,0,1020,124,0,0,1,0,0,0,1144,347,192,90,134,50,161,164
,Noordwijk,GR2014_Noordwijk,Gemeenteraad Noordwijk 2014,0575,Noordwijk,2014-03-19,Stembureau Gemeentelijk sportpark S.J.C.,0575::SB15,2201TV,1258,742,4,1,0,0,0,640,107,0,0,0,0,0,0,747,236,86,102,50,43,40,185
,Noordwijk,GR2014_Noordwijk,Gemeenteraad Noordwijk 2014,0575,Noordwijk,2014-03-19,"Stembureau 's Heerenloo, locatie Noordwijkerduin",0575::SB16,2201AC,708,138,0,2,0,0,0,130,10,0,0,0,0,0,0,140,20,50,13,13,15,15,12
