contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Combinatie Gemeentebelangen,Partij van de Arbeid (P.v.d.A.),VVD,GROENLINKS,CDA,Democraten 66 (D66)
,Aa en Hunze,GR2014_AaenHunze,Gemeenteraad Aa en Hunze 2014,1680,Aa en Hunze,2014-03-19,Stembureau Gemeentehuis Gieten,1680::SB1,9461 BH,1360,1106,2,1,0,0,0,1010,99,0,0,0,0,0,0,1109,371,166,209,122,121,117
,Aa en Hunze,GR2014_AaenHunze,Gemeenteraad Aa en Hunze 2014,1680,Aa en Hunze,2014-03-19,Stembureau Openbare basisschool Gieten,1680::SB2,9460 AB,1410,773,2,0,0,0,0,702,73,0,0,0,0,0,0,775,293,134,122,63,92,69
,Aa en Hunze,GR2014_AaenHunze,Gemeenteraad Aa en Hunze 2014,1680,Aa en Hunze,2014-03-19,Stembureau Zorgcentrum 'Dekelhem' (Gieten),1680::SB3,9461 JA,1324,901,3,0,0,0,0,831,73,0,0,0,0,0,0,904,377,210,107,73,84,50
,Aa en Hunze,GR2014_AaenHunze,Gemeenteraad Aa en Hunze 2014,1680,Aa en Hunze,2014-03-19,Stembureau Ontmoetingscentrum Boerhoorn Rolde,1680::SB4,9451 KD,1738,1434,2,3,0,0,0,1305,135,0,1,0,1,0,0,1440,361,360,309,168,107,129
,Aa en Hunze,GR2014_AaenHunze,Gemeenteraad Aa en Hunze 2014,1680,Aa en Hunze,2014-03-19,Stembureau Zorgcentrum 'Hendrik Kok' (Rolde),1680::SB5,9451 CT,2014,972,3,4,0,0,0,905,74,0,0,0,0,0,0,979,308,251,160,93,78,82
,Aa en Hunze,GR2014_AaenHunze,Gemeenteraad Aa en Hunze 2014,1680,Aa en Hunze,2014-03-19,Stembureau Dorpshuis 'De Eekhof' (Ekehaar),1680::SB6,9454 PL,433,334,0,0,0,0,0,305,29,0,0,0,0,0,0,334,96,78,82,27,26,25
,Aa en Hunze,GR2014_AaenHunze,Gemeenteraad Aa en Hunze 2014,1680,Aa en Hunze,2014-03-19,Stembureau Het Markehuis (Grolloo),1680::SB7,9444 XE,916,627,1,3,0,0,0,568,63,0,0,0,0,0,0,631,278,90,140,53,27,39
,Aa en Hunze,GR2014_AaenHunze,Gemeenteraad Aa en Hunze 2014,1680,Aa en Hunze,2014-03-19,Stembureau Dorpshuis Gasselte,1680::SB8,9462 RH,1512,929,3,4,0,0,0,866,70,0,0,0,0,0,0,936,527,107,94,91,49,61
,Aa en Hunze,GR2014_AaenHunze,Gemeenteraad Aa en Hunze 2014,1680,Aa en Hunze,2014-03-19,Stembureau MFC De Spil Gasselternijveen,1680::SB9,9514 CA,1472,762,7,3,0,0,0,708,64,0,0,0,0,0,0,772,227,247,45,54,114,75
,Aa en Hunze,GR2014_AaenHunze,Gemeenteraad Aa en Hunze 2014,1680,Aa en Hunze,2014-03-19,Stembureau Dorpshuis Gasselternijveenschemond,1680::SB10,9515 PE,568,325,2,2,0,0,0,303,26,0,0,0,0,0,0,329,84,75,28,30,48,60
,Aa en Hunze,GR2014_AaenHunze,Gemeenteraad Aa en Hunze 2014,1680,Aa en Hunze,2014-03-19,Stembureau Dorpshuis Ous Hoes (Gieterveen),1680::SB11,9511 PM,764,454,0,3,0,0,0,424,33,0,0,0,0,0,0,457,109,99,71,33,64,78
,Aa en Hunze,GR2014_AaenHunze,Gemeenteraad Aa en Hunze 2014,1680,Aa en Hunze,2014-03-19,Stembureau Dorpshuis De Kiep Eexterveenscheka.,1680::SB12,9659 PL,427,168,0,1,0,0,0,159,10,0,0,0,0,0,0,169,42,46,12,11,6,51
,Aa en Hunze,GR2014_AaenHunze,Gemeenteraad Aa en Hunze 2014,1680,Aa en Hunze,2014-03-19,Stembureau Multifunctioneel centrum De Badde,1680::SB13,9654 PP,324,207,0,1,0,0,0,186,22,0,0,0,0,0,0,208,60,49,12,18,2,66
,Aa en Hunze,GR2014_AaenHunze,Gemeenteraad Aa en Hunze 2014,1680,Aa en Hunze,2014-03-19,Stembureau Gemschapshuis De Spiker Nieuw-Annerveen,1680::SB14,9657 PD,311,227,0,0,0,0,0,206,21,0,0,0,0,0,0,227,45,56,44,16,6,60
,Aa en Hunze,GR2014_AaenHunze,Gemeenteraad Aa en Hunze 2014,1680,Aa en Hunze,2014-03-19,Stembureau Dorpshuis 't Achterhoes Eexterveen,1680::SB15,9658 PH,437,300,0,0,0,0,0,270,30,0,0,0,0,0,0,300,81,47,53,20,16,83
,Aa en Hunze,GR2014_AaenHunze,Gemeenteraad Aa en Hunze 2014,1680,Aa en Hunze,2014-03-19,Stembureau Dorpshuis Annen,1680::SB16,9468 BG,1351,905,3,3,0,0,0,826,85,0,0,0,0,0,0,911,319,191,147,77,72,99
,Aa en Hunze,GR2014_AaenHunze,Gemeenteraad Aa en Hunze 2014,1680,Aa en Hunze,2014-03-19,Stembureau Verzorgingstehuis 't Holthuys Annen,1680::SB17,9468 HG,1492,822,1,3,0,0,0,774,52,0,0,0,0,0,0,826,299,189,92,104,60,78
,Aa en Hunze,GR2014_AaenHunze,Gemeenteraad Aa en Hunze 2014,1680,Aa en Hunze,2014-03-19,Stembureau Dorpshuis Schipborg,1680::SB18,9469 PE,491,332,7,2,0,0,0,320,21,0,0,0,0,0,0,341,91,40,53,52,62,34
,Aa en Hunze,GR2014_AaenHunze,Gemeenteraad Aa en Hunze 2014,1680,Aa en Hunze,2014-03-19,Stembureau St.Welzijn Aa en Hunze (Eext),1680::SB19,9463 PP,1108,676,1,3,0,0,0,640,40,0,0,0,0,0,0,680,346,89,82,72,39,48
,Aa en Hunze,GR2014_AaenHunze,Gemeenteraad Aa en Hunze 2014,1680,Aa en Hunze,2014-03-19,Stembureau Dorpshuis De Gasterije (Gasteren),1680::SB20,9466 PL,356,247,0,0,0,0,0,226,21,0,0,0,0,0,0,247,91,44,27,46,16,23
,Aa en Hunze,GR2014_AaenHunze,Gemeenteraad Aa en Hunze 2014,1680,Aa en Hunze,2014-03-19,Stembureau Gemeenschapshuis Oes Stee (Anderen),1680::SB21,9465 TS,224,171,0,0,0,0,0,154,17,0,0,0,0,0,0,171,40,15,47,36,10,23
,Aa en Hunze,GR2014_AaenHunze,Gemeenteraad Aa en Hunze 2014,1680,Aa en Hunze,2014-03-19,Stembureau Openbare Basisschool Anloo,1680::SB22,9467 PH,388,246,1,2,0,0,0,234,15,0,0,0,0,0,0,249,102,37,29,36,14,28
