contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Christen Democratisch Appèl (CDA),Volkspartij voor Vrijheid en Democratie (VVD),SAMEN STERK MAASDRIEL,GROENLINKS,Partij van de Arbeid (P.v.d.A.),Staatkundig Gereformeerde Partij (SGP)
,Maasdriel,GR2014_Maasdriel,Gemeenteraad Maasdriel 2014,0263,Maasdriel,2014-03-19,Stembureau Gemeentehuis Kerkdriel,0263::SB1,5331 CB,1139,877,1,7,0,0,0,766,119,0,0,0,0,0,0,885,269,92,422,49,45,0
,Maasdriel,GR2014_Maasdriel,Gemeenteraad Maasdriel 2014,0263,Maasdriel,2014-03-19,Stembureau Gemeentehuis Kerkdriel,0263::SB2,5331 CB,1127,733,0,1,0,0,0,607,127,0,0,0,0,0,0,734,176,100,383,37,34,3
,Maasdriel,GR2014_Maasdriel,Gemeenteraad Maasdriel 2014,0263,Maasdriel,2014-03-19,Stembureau De Leijenstein,0263::SB3,5331 TA,1162,764,4,4,0,0,0,669,103,0,0,0,0,0,0,772,288,48,366,21,37,4
,Maasdriel,GR2014_Maasdriel,Gemeenteraad Maasdriel 2014,0263,Maasdriel,2014-03-19,Stembureau MFC De Kreek,0263::SB4,5331 KC,1465,452,1,1,0,0,0,374,80,0,0,0,0,0,0,454,144,39,231,22,14,2
,Maasdriel,GR2014_Maasdriel,Gemeenteraad Maasdriel 2014,0263,Maasdriel,2014-03-19,Stembureau MFC De Kreek,0263::SB5,5331 KC,1172,405,3,3,0,0,0,350,61,0,0,0,0,0,0,411,104,50,202,27,15,7
,Maasdriel,GR2014_Maasdriel,Gemeenteraad Maasdriel 2014,0263,Maasdriel,2014-03-19,Stembureau De Boxhof,0263::SB6,5334 JR,1203,857,3,2,0,1,0,724,139,0,0,0,1,0,0,863,401,90,300,33,24,9
,Maasdriel,GR2014_Maasdriel,Gemeenteraad Maasdriel 2014,0263,Maasdriel,2014-03-19,Stembureau Dorpshuis Gelre's End,0263::SB7,5321 GG,1332,971,6,0,0,0,0,828,149,0,0,0,0,0,0,977,540,74,139,60,83,75
,Maasdriel,GR2014_Maasdriel,Gemeenteraad Maasdriel 2014,0263,Maasdriel,2014-03-19,Stembureau Rehoboth,0263::SB8,5321 TM,1208,496,0,0,0,0,0,424,72,0,0,0,0,0,0,496,248,46,72,27,68,35
,Maasdriel,GR2014_Maasdriel,Gemeenteraad Maasdriel 2014,0263,Maasdriel,2014-03-19,Stembureau Rehoboth,0263::SB9,5321 TM,1187,748,5,0,0,0,0,653,100,0,0,0,0,0,0,753,383,48,114,47,88,68
,Maasdriel,GR2014_Maasdriel,Gemeenteraad Maasdriel 2014,0263,Maasdriel,2014-03-19,Stembureau De Lindeboom,0263::SB10,5324 EP,646,608,4,1,0,0,0,548,65,0,0,0,0,0,0,613,348,52,127,34,42,5
,Maasdriel,GR2014_Maasdriel,Gemeenteraad Maasdriel 2014,0263,Maasdriel,2014-03-19,Stembureau De Weesboom,0263::SB11,5324 AT,920,396,2,0,0,0,0,350,48,0,0,0,0,0,0,398,249,41,70,17,17,2
,Maasdriel,GR2014_Maasdriel,Gemeenteraad Maasdriel 2014,0263,Maasdriel,2014-03-19,Stembureau De Weesboom,0263::SB12,5324 AT,1220,485,3,0,0,0,0,430,58,0,0,0,0,0,0,488,294,48,83,27,29,4
,Maasdriel,GR2014_Maasdriel,Gemeenteraad Maasdriel 2014,0263,Maasdriel,2014-03-19,Stembureau Dorpshuis Ons Huis,0263::SB13,5325 XE,792,563,4,0,0,1,0,494,72,0,0,1,0,0,0,566,264,30,127,39,37,66
,Maasdriel,GR2014_Maasdriel,Gemeenteraad Maasdriel 2014,0263,Maasdriel,2014-03-19,Stembureau Dorpshuis De Vrijheid,0263::SB14,6624 KN,1165,521,6,0,0,0,0,470,57,0,0,0,0,0,0,527,79,52,237,80,66,7
,Maasdriel,GR2014_Maasdriel,Gemeenteraad Maasdriel 2014,0263,Maasdriel,2014-03-19,Stembureau De Parel,0263::SB15,5328 AA,1224,596,1,6,0,0,0,541,62,0,0,0,0,0,0,603,228,109,86,143,29,1
,Maasdriel,GR2014_Maasdriel,Gemeenteraad Maasdriel 2014,0263,Maasdriel,2014-03-19,Stembureau De Vaste Burcht,0263::SB16,5328 ES,988,556,4,1,0,0,0,486,75,0,0,0,0,0,0,561,191,57,130,138,36,4
,Maasdriel,GR2014_Maasdriel,Gemeenteraad Maasdriel 2014,0263,Maasdriel,2014-03-19,Stembureau Dorpshuis De Kil,0263::SB17,5327 AR,545,497,4,3,0,0,0,445,59,0,0,0,0,0,0,504,200,103,34,114,41,5
,Maasdriel,GR2014_Maasdriel,Gemeenteraad Maasdriel 2014,0263,Maasdriel,2014-03-19,Stembureau De Drie Linden,0263::SB18,5335 LK,505,383,3,2,0,0,0,343,45,0,0,0,0,0,0,388,236,5,96,33,9,4
