contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Algemeen Plaatselijk Belang,CDA,VVD,Ons Etten-Leur,Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),JEZUS LEEFT,Leefbaar Etten-leur
,Etten-Leur,GR2014_EttenLeur,Gemeenteraad Etten-Leur 2014,0777,Etten-Leur,2014-03-19,Stembureau Raadzaal,0777::SB1,,1053,1134,4,3,2,1,0,1058,86,0,0,0,3,0,0,1144,228,298,178,107,77,163,17,66
,Etten-Leur,GR2014_EttenLeur,Gemeenteraad Etten-Leur 2014,0777,Etten-Leur,2014-03-19,Stembureau Nieuwe Nobelaer,0777::SB2,,1930,911,2,7,0,0,0,812,108,0,0,0,0,0,0,920,209,187,114,101,81,122,9,88
,Etten-Leur,GR2014_EttenLeur,Gemeenteraad Etten-Leur 2014,0777,Etten-Leur,2014-03-19,"Stembureau Avoord Zorg en Wonen, locatie Anbarg",0777::SB3,,1056,650,3,2,0,0,0,594,61,0,0,0,0,0,0,655,144,142,77,96,39,82,9,61
,Etten-Leur,GR2014_EttenLeur,Gemeenteraad Etten-Leur 2014,0777,Etten-Leur,2014-03-19,Stembureau Woonstichting Etten-Leur,0777::SB4,,1084,471,1,1,0,0,0,426,47,0,0,0,0,0,0,473,124,96,61,55,43,67,3,22
,Etten-Leur,GR2014_EttenLeur,Gemeenteraad Etten-Leur 2014,0777,Etten-Leur,2014-03-19,Stembureau Smeltkroes de Keen,0777::SB5,,1423,392,0,2,1,0,0,354,41,0,0,0,1,0,0,395,60,81,94,40,26,54,2,35
,Etten-Leur,GR2014_EttenLeur,Gemeenteraad Etten-Leur 2014,0777,Etten-Leur,2014-03-19,Stembureau Dep. Basisschool de Hasselbraam,0777::SB6,,1393,690,0,1,0,0,0,618,73,0,0,0,0,0,0,691,140,106,71,111,73,110,13,66
,Etten-Leur,GR2014_EttenLeur,Gemeenteraad Etten-Leur 2014,0777,Etten-Leur,2014-03-19,Stembureau 4 Heemskinderen,0777::SB7,,1106,531,0,2,1,0,0,480,52,0,0,1,0,0,0,532,113,101,50,68,68,60,11,60
,Etten-Leur,GR2014_EttenLeur,Gemeenteraad Etten-Leur 2014,0777,Etten-Leur,2014-03-19,Stembureau Wijkgebouw Ut Praotuis,0777::SB8,,1346,665,1,3,0,0,0,609,60,0,0,0,0,0,0,669,152,161,89,67,51,95,8,42
,Etten-Leur,GR2014_EttenLeur,Gemeenteraad Etten-Leur 2014,0777,Etten-Leur,2014-03-19,Stembureau Scholengemeenschap,0777::SB9,,1615,857,5,2,0,0,0,746,117,0,1,1,0,0,0,863,159,205,126,68,73,151,7,68
,Etten-Leur,GR2014_EttenLeur,Gemeenteraad Etten-Leur 2014,0777,Etten-Leur,2014-03-19,"Stembureau Avoord Zorg en Wonen, locatie Kloostergaard",0777::SB10,,1460,661,2,1,0,0,0,570,94,0,0,0,0,0,0,664,111,261,80,49,40,54,8,58
