contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),VVD,Gouda Positief / Gemeentebelangen Gouda,CDA,TROTS,Democraten 66 (D66),GROENLINKS,ChristenUnie,Gouda's 50+ partij,Staatkundig Gereformeerde Partij (SGP),SP (Socialistische Partij),Partij voor de Dieren,OPA
,Gouda,GR2014_Gouda,Gemeenteraad Gouda 2014,0513,Gouda,2014-03-19,Stembureau Agnietenkapel (ingang-links),0513::SB101,,2142,878,0,2,0,2,0,806,76,0,0,0,2,0,0,882,136,81,125,39,14,198,83,35,41,24,71,28,3
,Gouda,GR2014_Gouda,Gemeenteraad Gouda 2014,0513,Gouda,2014-03-19,Stembureau Gymzaal Herpstraat,0513::SB102,,2497,1093,4,2,0,1,0,990,108,0,0,1,0,0,0,1098,123,130,171,32,20,284,81,77,19,22,81,52,1
,Gouda,GR2014_Gouda,Gemeenteraad Gouda 2014,0513,Gouda,2014-03-19,Stembureau Agnietenkapel (ingang-rechts),0513::SB103,,0,942,4,3,0,0,0,875,74,0,0,0,0,0,0,949,112,81,120,40,15,232,104,67,27,20,76,38,10
,Gouda,GR2014_Gouda,Gemeenteraad Gouda 2014,0513,Gouda,2014-03-19,Stembureau Zorgcentrum Gouwestein,0513::SB104,,1466,761,2,2,0,0,0,656,109,0,0,0,0,0,0,765,74,94,68,57,10,140,40,66,31,148,18,7,8
,Gouda,GR2014_Gouda,Gemeenteraad Gouda 2014,0513,Gouda,2014-03-19,Stembureau het Wijk informatiecentrum,0513::SB201,,2191,882,5,17,0,0,0,734,170,0,0,0,0,0,0,904,269,35,125,27,29,87,48,57,43,55,75,24,8
,Gouda,GR2014_Gouda,Gemeenteraad Gouda 2014,0513,Gouda,2014-03-19,Stembureau RK Basisschool de Goudakker,0513::SB204,,1962,901,1,1,0,0,0,809,94,0,0,0,0,0,0,903,103,54,117,40,56,111,44,101,82,57,101,30,5
,Gouda,GR2014_Gouda,Gemeenteraad Gouda 2014,0513,Gouda,2014-03-19,Stembureau Basisschool De Kas,0513::SB206,,1730,821,2,6,0,1,0,742,88,0,0,0,1,0,0,830,83,61,164,35,36,88,47,76,54,51,78,39,9
,Gouda,GR2014_Gouda,Gemeenteraad Gouda 2014,0513,Gouda,2014-03-19,Stembureau Gymzaal Tesselschadestraat,0513::SB207,,1518,380,2,1,0,0,0,334,49,0,0,0,0,0,0,383,55,29,76,13,10,38,14,19,28,24,50,21,3
,Gouda,GR2014_Gouda,Gemeenteraad Gouda 2014,0513,Gouda,2014-03-19,Stembureau Zorgcentrum Ronssehof,0513::SB301,,1877,1056,0,0,0,0,0,977,79,0,0,0,0,0,0,1056,101,114,189,113,19,156,24,112,82,56,53,27,10
,Gouda,GR2014_Gouda,Gemeenteraad Gouda 2014,0513,Gouda,2014-03-19,Stembureau Voormalig verpleeghuis Bloemendaal,0513::SB302,,1826,1172,2,3,0,0,0,1033,145,0,1,0,1,0,0,1178,140,111,128,126,16,199,78,134,49,99,67,16,9
,Gouda,GR2014_Gouda,Gemeenteraad Gouda 2014,0513,Gouda,2014-03-19,Stembureau GGZ Midden-Holland,0513::SB303,,1993,1096,0,6,0,0,0,988,114,0,0,0,0,0,0,1102,105,160,136,114,15,207,50,78,70,59,73,22,7
