contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Democraten 66 (D66),CDA,GROENLINKS,Partij van de Arbeid (P.v.d.A.),6
,Leiderdorp,GR2014_Leiderdorp,Gemeenteraad Leiderdorp 2014,0547,Leiderdorp,2014-03-19,Stembureau Gemeentehuis,0547::SB1,2351 DZ,1846,852,2,7,0,0,0,782,79,0,0,0,0,0,0,861,252,204,170,81,76,69
,Leiderdorp,GR2014_Leiderdorp,Gemeenteraad Leiderdorp 2014,0547,Leiderdorp,2014-03-19,Stembureau Gebouw Irene,0547::SB2,2351 AM,2340,1546,7,5,0,0,0,1415,143,0,0,0,0,0,0,1558,387,349,352,188,187,83
,Leiderdorp,GR2014_Leiderdorp,Gemeenteraad Leiderdorp 2014,0547,Leiderdorp,2014-03-19,Stembureau Winkelcentrum Winkelhof,0547::SB3,2151 DZ,1697,1034,7,8,0,0,0,940,109,0,0,0,0,0,0,1049,250,220,214,128,113,109
,Leiderdorp,GR2014_Leiderdorp,Gemeenteraad Leiderdorp 2014,0547,Leiderdorp,2014-03-19,Stembureau Bibliotheek BC+,0547::SB4,2352 KA,1842,1566,12,9,0,0,0,1459,121,0,0,7,0,7,0,1580,340,388,341,193,170,134
,Leiderdorp,GR2014_Leiderdorp,Gemeenteraad Leiderdorp 2014,0547,Leiderdorp,2014-03-19,Stembureau Zijlkwartier,0547::SB5,2350 AD,1821,909,6,3,0,0,0,823,95,0,0,0,0,0,0,918,161,214,198,166,99,71
,Leiderdorp,GR2014_Leiderdorp,Gemeenteraad Leiderdorp 2014,0547,Leiderdorp,2014-03-19,Stembureau Basisschool De Hobbit,0547::SB6,2353 WB,2283,939,3,5,0,1,0,834,112,0,0,1,0,0,0,946,218,207,184,104,141,85
,Leiderdorp,GR2014_Leiderdorp,Gemeenteraad Leiderdorp 2014,0547,Leiderdorp,2014-03-19,Stembureau De Ommedijk,0547::SB7,2352 CD,2103,1027,9,0,0,1,0,945,92,0,0,0,1,0,0,1037,165,224,243,148,118,129
,Leiderdorp,GR2014_Leiderdorp,Gemeenteraad Leiderdorp 2014,0547,Leiderdorp,2014-03-19,Stembureau Basisschool De Schakel,0547::SB8,2353 BX,1775,946,2,1,0,0,0,872,77,0,0,0,0,0,0,949,197,214,253,102,125,55
,Leiderdorp,GR2014_Leiderdorp,Gemeenteraad Leiderdorp 2014,0547,Leiderdorp,2014-03-19,Stembureau De Hasselbraam,0547::SB9,2353 PA,1821,917,8,4,0,1,0,856,72,0,0,1,0,0,0,928,159,197,196,138,142,85
,Leiderdorp,GR2014_Leiderdorp,Gemeenteraad Leiderdorp 2014,0547,Leiderdorp,2014-03-19,Stembureau Buitenhoflaan-Keizershof,0547::SB10,2353 ME,1468,897,4,5,0,0,0,808,98,0,0,0,0,0,0,906,200,206,191,92,115,93
,Leiderdorp,GR2014_Leiderdorp,Gemeenteraad Leiderdorp 2014,0547,Leiderdorp,2014-03-19,Stembureau Korfbalvereniging Velocitas,0547::SB11,2353 BZ,1981,939,1,3,0,0,0,825,118,0,0,0,0,0,0,943,257,234,145,99,95,109
