contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),Liberaal Bloemendaal,GROENLINKS
,Bloemendaal,GR2014_Bloemendaal,Gemeenteraad Bloemendaal 2014,0377,Bloemendaal,2014-03-19,Stembureau Zorgcentrum Oldenhove,0377::SB1,2051 NA,1586,1050,3,2,0,0,0,932,123,0,0,0,0,0,0,1055,279,99,248,105,231,88
,Bloemendaal,GR2014_Bloemendaal,Gemeenteraad Bloemendaal 2014,0377,Bloemendaal,2014-03-19,Stembureau Centrum voor Jeugd en Gezin,0377::SB2,2061 HW,1013,605,3,0,0,0,0,540,68,0,0,0,0,0,0,608,145,47,141,93,86,93
,Bloemendaal,GR2014_Bloemendaal,Gemeenteraad Bloemendaal 2014,0377,Bloemendaal,2014-03-19,Stembureau Zorglocatie Wildhoef,0377::SB3,2061 JZ,1613,909,2,8,0,1,0,825,95,0,0,0,1,0,0,920,198,125,221,94,173,98
,Bloemendaal,GR2014_Bloemendaal,Gemeenteraad Bloemendaal 2014,0377,Bloemendaal,2014-03-19,Stembureau Woonzorgcentrum De Rijp,0377::SB4,2061 SC,1773,1226,4,1,0,1,0,1089,143,0,0,0,1,0,0,1232,302,140,316,114,238,116
,Bloemendaal,GR2014_Bloemendaal,Gemeenteraad Bloemendaal 2014,0377,Bloemendaal,2014-03-19,Stembureau Bloemendaalse Schoolvereniging,0377::SB5,2061 BB,508,544,2,0,0,0,0,471,75,0,0,0,0,0,0,546,228,33,123,18,121,21
,Bloemendaal,GR2014_Bloemendaal,Gemeenteraad Bloemendaal 2014,0377,Bloemendaal,2014-03-19,Stembureau Gebouw Tinholt,0377::SB6,2051 LA,1463,1099,0,3,0,0,0,969,133,0,0,0,0,0,0,1102,259,63,305,121,192,159
,Bloemendaal,GR2014_Bloemendaal,Gemeenteraad Bloemendaal 2014,0377,Bloemendaal,2014-03-19,Stembureau Vondelschool,0377::SB7,2111 CJ,1176,869,5,0,0,0,0,751,123,0,0,0,0,0,0,874,277,66,182,54,215,75
,Bloemendaal,GR2014_Bloemendaal,Gemeenteraad Bloemendaal 2014,0377,Bloemendaal,2014-03-19,Stembureau De Nieuwe Kring,0377::SB8,2111 AS,1129,796,4,4,0,0,0,699,105,0,0,0,0,0,0,804,334,67,139,40,162,54
,Bloemendaal,GR2014_Bloemendaal,Gemeenteraad Bloemendaal 2014,0377,Bloemendaal,2014-03-19,Stembureau De Adventskerk,0377::SB9,2111 HA,1007,682,1,1,0,0,0,567,117,0,0,0,0,0,0,684,296,115,121,11,121,18
,Bloemendaal,GR2014_Bloemendaal,Gemeenteraad Bloemendaal 2014,0377,Bloemendaal,2014-03-19,Stembureau De Voghelsanck,0377::SB10,2114 ES,877,572,1,3,0,0,0,515,61,0,0,0,0,0,0,576,76,260,57,37,83,59
,Bloemendaal,GR2014_Bloemendaal,Gemeenteraad Bloemendaal 2014,0377,Bloemendaal,2014-03-19,Stembureau Dorpshuis Vogelenzang,0377::SB11,2114 ER,914,594,2,0,0,0,0,548,48,0,0,0,0,0,0,596,50,176,83,40,143,102
,Bloemendaal,GR2014_Bloemendaal,Gemeenteraad Bloemendaal 2014,0377,Bloemendaal,2014-03-19,Stembureau Voormalig gemeentehuis Bennebroek,0377::SB12,2121 GP,984,854,2,3,1,0,0,793,67,0,0,0,1,0,0,860,219,82,117,47,266,123
,Bloemendaal,GR2014_Bloemendaal,Gemeenteraad Bloemendaal 2014,0377,Bloemendaal,2014-03-19,Stembureau Willinkschool,0377::SB13,2121 AD,1145,641,5,7,0,0,0,599,54,0,0,0,0,0,0,653,130,90,87,58,167,109
,Bloemendaal,GR2014_Bloemendaal,Gemeenteraad Bloemendaal 2014,0377,Bloemendaal,2014-03-19,Stembureau Het Jagershuis,0377::SB14,2121 GW,921,472,4,1,0,0,0,441,36,0,0,0,0,0,0,477,73,66,48,65,125,95
,Bloemendaal,GR2014_Bloemendaal,Gemeenteraad Bloemendaal 2014,0377,Bloemendaal,2014-03-19,Stembureau Meerwijkhof,0377::SB15,2121 VM,1020,640,0,0,0,0,0,575,65,0,0,0,0,0,0,640,85,103,90,61,192,109
