contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Gemeenschapslijst Someren-Eind en 13,Lijst Someren-Heide,Partij van de Arbeid (P.v.d.A.),Leefbaar Someren,6
,Someren,GR2014_Someren,Gemeenteraad Someren 2014,0847,Someren,2014-03-19,Stembureau Gemeentehuis,0847::SB1,5711 EK,1261,1085,4,6,0,0,0,965,130,0,0,0,0,0,0,1095,463,102,33,123,204,160
,Someren,GR2014_Someren,Gemeenteraad Someren 2014,0847,Someren,2014-03-19,Stembureau Kantine De Postel,0847::SB2,5711 ET,1862,1011,12,3,0,0,0,899,128,0,1,0,1,0,0,1027,457,82,41,130,192,109
,Someren,GR2014_Someren,Gemeenteraad Someren 2014,0847,Someren,2014-03-19,Stembureau Sonnehove,0847::SB3,5711 HA,1758,946,5,3,0,0,0,866,88,0,0,0,0,0,0,954,418,124,50,84,137,133
,Someren,GR2014_Someren,Gemeenteraad Someren 2014,0847,Someren,2014-03-19,Stembureau Pauluskerk,0847::SB4,5711 VK,1919,1013,4,5,0,0,0,875,147,0,0,0,0,0,0,1022,494,45,25,147,125,177
,Someren,GR2014_Someren,Gemeenteraad Someren 2014,0847,Someren,2014-03-19,Stembureau Eegelshoeve,0847::SB5,5711 VG,1689,604,6,4,0,0,0,557,57,0,0,0,0,0,0,614,259,59,21,92,115,58
,Someren,GR2014_Someren,Gemeenteraad Someren 2014,0847,Someren,2014-03-19,Stembureau De Bunt,0847::SB6,5712 GC,1180,796,5,2,0,0,0,670,133,0,0,0,0,0,0,803,66,22,636,12,27,33
,Someren,GR2014_Someren,Gemeenteraad Someren 2014,0847,Someren,2014-03-19,Stembureau De Vurherd,0847::SB7,5715 AN,1710,954,17,5,0,0,0,853,121,0,0,2,0,0,0,974,282,57,26,163,42,384
,Someren,GR2014_Someren,Gemeenteraad Someren 2014,0847,Someren,2014-03-19,Stembureau De Einder,0847::SB8,5712 EM,1185,1062,2,2,0,0,0,918,148,0,0,0,0,0,0,1066,64,878,16,22,46,36
,Someren,GR2014_Someren,Gemeenteraad Someren 2014,0847,Someren,2014-03-19,Stembureau Bassisschool De Vonder,0847::SB9,5712 CA,1469,667,1,3,0,0,0,579,92,0,0,0,0,0,0,671,35,573,10,9,22,18
,Someren,GR2014_Someren,Gemeenteraad Someren 2014,0847,Someren,2014-03-19,Stembureau Waterdael,0847::SB10,5711 KT,1000,355,4,0,0,0,0,315,44,0,0,0,0,0,0,359,146,45,10,47,58,49
