contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Progressief Westerveld D66 GROENLINKS,Gemeentebelangen,DSSW,Partij van de Arbeid (P.v.d.A.),CDA,STERK Westerveld
,Westerveld,GR2014_Westerveld,Gemeenteraad Westerveld 2014,1701,Westerveld,2014-03-19,Stembureau Ontm. centr. Dingspilhuus.,1701::SB1,7981 AV,1374,932,0,1,0,0,0,858,75,0,0,0,0,0,0,933,127,168,162,54,161,242,18
,Westerveld,GR2014_Westerveld,Gemeenteraad Westerveld 2014,1701,Westerveld,2014-03-19,Stembureau Villa Nova Zorgvlied,1701::SB2,8437 PB,325,221,1,0,0,0,0,200,22,0,0,0,0,0,0,222,43,47,89,5,8,18,11
,Westerveld,GR2014_Westerveld,Gemeenteraad Westerveld 2014,1701,Westerveld,2014-03-19,Stembureau Dorpshuis  Oens Huus,1701::SB3,7983 KL,480,332,0,0,0,0,0,308,24,0,0,0,0,0,0,332,97,60,22,27,54,55,17
,Westerveld,GR2014_Westerveld,Gemeenteraad Westerveld 2014,1701,Westerveld,2014-03-19,Stembureau Ons Dorpshuis,1701::SB4,8384 EE,1363,684,2,3,0,0,0,633,56,0,0,0,0,0,0,689,144,120,49,55,179,109,28
,Westerveld,GR2014_Westerveld,Gemeenteraad Westerveld 2014,1701,Westerveld,2014-03-19,Stembureau Verz. centr. De Weyert,1701::SB5,7991 BS,1279,799,1,0,0,1,0,730,71,0,0,0,1,0,0,801,123,113,119,89,162,143,50
,Westerveld,GR2014_Westerveld,Gemeenteraad Westerveld 2014,1701,Westerveld,2014-03-19,Stembureau OBS De Eemster,1701::SB6,7991 PP,756,504,1,2,0,1,0,451,57,0,0,0,1,0,0,508,122,156,28,21,41,114,22
,Westerveld,GR2014_Westerveld,Gemeenteraad Westerveld 2014,1701,Westerveld,2014-03-19,Stembureau Hotel  De Börken,1701::SB7,7991 PJ,389,271,1,0,0,0,0,238,34,0,0,0,0,0,0,272,59,73,31,26,27,48,7
,Westerveld,GR2014_Westerveld,Gemeenteraad Westerveld 2014,1701,Westerveld,2014-03-19,Stembureau Ontmoetingscentrum  De Veldkei,1701::SB8,7971 BX,1622,1144,1,5,0,0,0,1062,88,0,0,0,0,0,0,1150,261,242,235,138,133,101,34
,Westerveld,GR2014_Westerveld,Gemeenteraad Westerveld 2014,1701,Westerveld,2014-03-19,Stembureau Multif. centrum  De Wiekslag,1701::SB9,8351 HR,649,407,0,1,0,0,0,377,31,0,0,0,0,0,0,408,85,81,39,119,42,23,18
,Westerveld,GR2014_Westerveld,Gemeenteraad Westerveld 2014,1701,Westerveld,2014-03-19,Stembureau Dorpshuis  De Vlasbarg'n,1701::SB10,7975 BX,1176,724,5,1,0,0,0,667,63,0,0,0,0,0,0,730,105,145,27,308,55,64,20
,Westerveld,GR2014_Westerveld,Gemeenteraad Westerveld 2014,1701,Westerveld,2014-03-19,Stembureau Buurthuis  De Stobbe,1701::SB11,7973 KG,742,379,1,0,0,0,0,340,40,0,0,0,0,0,0,380,38,86,28,70,50,30,77
,Westerveld,GR2014_Westerveld,Gemeenteraad Westerveld 2014,1701,Westerveld,2014-03-19,Stembureau Verzorgingscentrum  De Molenhof,1701::SB12,7971 BK,1215,683,10,5,0,1,0,635,65,0,1,0,2,0,0,700,100,116,179,101,104,60,23
,Westerveld,GR2014_Westerveld,Gemeenteraad Westerveld 2014,1701,Westerveld,2014-03-19,Stembureau Ontm. centr.  De Tippe,1701::SB13,8381 BX,1268,765,1,2,0,0,0,691,77,0,0,0,0,0,0,768,136,183,94,61,126,96,69
,Westerveld,GR2014_Westerveld,Gemeenteraad Westerveld 2014,1701,Westerveld,2014-03-19,Stembureau Gemeentehuis Diever,1701::SB14,7981 EL,1000,650,0,0,0,0,0,584,66,0,0,0,0,0,0,650,85,115,68,33,144,196,9
,Westerveld,GR2014_Westerveld,Gemeenteraad Westerveld 2014,1701,Westerveld,2014-03-19,Stembureau 't Hof van Dwingeloo,1701::SB15,7991 AA,820,514,0,1,0,0,0,466,49,0,0,0,0,0,0,515,153,120,56,45,69,54,17
,Westerveld,GR2014_Westerveld,Gemeenteraad Westerveld 2014,1701,Westerveld,2014-03-19,Stembureau Brandweerkazerne Vledder,1701::SB16,8381 BB,876,451,0,5,0,0,0,430,26,0,0,0,0,0,0,456,95,101,61,34,71,53,36
