contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,VVD,ChristenUnie,Partij van de Arbeid (P.v.d.A.),Staatkundig Gereformeerde Partij (SGP)
,Lopik,GR2014_Lopik,Gemeenteraad Lopik 2014,0331,Lopik,2014-03-19,Stembureau Gemeentehuis Lopik,0331::SB1,3411 CH,1057,549,2,4,0,0,0,500,55,0,0,0,0,0,0,555,159,112,143,91,44
,Lopik,GR2014_Lopik,Gemeenteraad Lopik 2014,0331,Lopik,2014-03-19,"Stembureau KMN Kind & Co, tover",0331::SB2,3411 ZG,1408,538,10,1,0,0,0,474,75,0,0,0,0,0,0,549,132,110,98,131,67
,Lopik,GR2014_Lopik,Gemeenteraad Lopik 2014,0331,Lopik,2014-03-19,Stembureau Dorpshuis De Schouw,0331::SB3,3411 DB,1930,1148,1,2,0,0,0,1021,130,0,0,0,0,0,0,1151,317,319,249,177,86
,Lopik,GR2014_Lopik,Gemeenteraad Lopik 2014,0331,Lopik,2014-03-19,Stembureau Buurthuis Uitweg,0331::SB4,3412 KR,991,538,1,1,0,0,0,454,87,0,0,0,1,0,0,541,97,127,157,58,99
,Lopik,GR2014_Lopik,Gemeenteraad Lopik 2014,0331,Lopik,2014-03-19,Stembureau Ver. gebouw Jaarsveld,0331::SB5,3413 MP,689,328,8,2,0,0,0,304,34,0,0,0,0,0,0,338,77,88,72,46,45
,Lopik,GR2014_Lopik,Gemeenteraad Lopik 2014,0331,Lopik,2014-03-19,Stembureau In 't Witte Paard,0331::SB6,3411 EC,772,435,0,2,0,0,0,382,55,0,0,0,0,0,0,437,225,128,22,42,18
,Lopik,GR2014_Lopik,Gemeenteraad Lopik 2014,0331,Lopik,2014-03-19,Stembureau Buurthuis 't Wilgegat,0331::SB7,3411 NC,255,163,0,0,0,0,0,146,17,0,0,0,0,0,0,163,81,34,26,16,6
,Lopik,GR2014_Lopik,Gemeenteraad Lopik 2014,0331,Lopik,2014-03-19,Stembureau Dorpshuis Benschop,0331::SB8,3405 XJ,2003,1303,9,4,0,0,0,1169,147,0,0,0,0,0,0,1316,314,401,289,134,165
,Lopik,GR2014_Lopik,Gemeenteraad Lopik 2014,0331,Lopik,2014-03-19,Stembureau Buurthuis de Triangel,0331::SB9,3405 CE,635,396,4,0,0,0,0,352,48,0,0,0,0,0,0,400,109,99,100,15,73
,Lopik,GR2014_Lopik,Gemeenteraad Lopik 2014,0331,Lopik,2014-03-19,Stembureau Dorpshuis Polsbroek,0331::SB10,3415 PE,813,535,2,0,0,0,0,482,55,0,0,0,0,0,0,537,96,91,179,36,133
