contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,ChristenUnie/SGP,CDA,P.v.d.A./GROENLINKS,Democraten 66 (D66),SP (Socialistische Partij),Nieuw Elan Zuidplas (NEZ),Nieuwe Gemeente Politiek
,Zuidplas,GR2014_Zuidplas,Gemeenteraad Zuidplas 2014,1892,Zuidplas,2014-03-19,Stembureau Gemeentehuis 1,1892::SB1,2914 KM,1561,1218,4,3,0,0,0,1113,112,0,0,0,0,0,0,1225,248,175,161,117,208,182,82,45
,Zuidplas,GR2014_Zuidplas,Gemeenteraad Zuidplas 2014,1892,Zuidplas,2014-03-19,Stembureau Gemeentehuis 2,1892::SB2,2914 KM,2543,1421,2,2,0,0,0,1267,158,0,0,0,0,0,0,1425,331,207,200,120,221,212,77,53
,Zuidplas,GR2014_Zuidplas,Gemeenteraad Zuidplas 2014,1892,Zuidplas,2014-03-19,Stembureau Comenius College,1892::SB3,2914 PN,3489,1374,4,0,0,0,0,1204,174,0,0,0,0,0,0,1378,362,231,166,97,222,167,86,43
,Zuidplas,GR2014_Zuidplas,Gemeenteraad Zuidplas 2014,1892,Zuidplas,2014-03-19,Stembureau Brede School Esse Zoom,1892::SB4,2911 CV,3337,1423,6,3,0,0,0,1239,194,0,1,0,1,0,0,1433,469,195,204,87,270,104,62,32
,Zuidplas,GR2014_Zuidplas,Gemeenteraad Zuidplas 2014,1892,Zuidplas,2014-03-19,Stembureau Hervormde Kerk De Bron,1892::SB5,2914 VJ,1614,1105,1,3,0,0,0,1005,104,0,0,0,0,0,0,1109,296,125,161,93,182,138,70,40
,Zuidplas,GR2014_Zuidplas,Gemeenteraad Zuidplas 2014,1892,Zuidplas,2014-03-19,Stembureau Woonzorgcentrum De Meander,1892::SB6,2912 PA,2419,1806,4,5,0,0,0,1620,197,0,2,0,2,0,0,1817,348,313,382,182,227,229,67,58
,Zuidplas,GR2014_Zuidplas,Gemeenteraad Zuidplas 2014,1892,Zuidplas,2014-03-19,Stembureau Brandweerkazerne Nieuwerkerk a/d IJ,1892::SB7,2912 AL,1936,1018,0,2,0,0,0,915,105,0,0,0,0,0,0,1020,277,222,167,62,139,94,38,19
,Zuidplas,GR2014_Zuidplas,Gemeenteraad Zuidplas 2014,1892,Zuidplas,2014-03-19,Stembureau Dorpshuis Swanla 1 (Theaterzaal),1892::SB11,2761 BJ,1547,510,4,3,0,0,0,458,59,0,0,0,0,0,0,517,136,101,83,26,67,59,17,21
,Zuidplas,GR2014_Zuidplas,Gemeenteraad Zuidplas 2014,1892,Zuidplas,2014-03-19,Stembureau Dorpshuis Swanla 2 (Theaterzaal),1892::SB12,2761 BJ,1425,748,1,1,0,0,0,664,86,0,0,0,0,0,0,750,221,139,129,64,95,52,21,27
,Zuidplas,GR2014_Zuidplas,Gemeenteraad Zuidplas 2014,1892,Zuidplas,2014-03-19,Stembureau Hervormd Centrum,1892::SB13,2761 AJ,2379,1311,5,3,0,0,0,1179,140,0,0,0,0,0,0,1319,316,164,226,108,250,141,56,50
,Zuidplas,GR2014_Zuidplas,Gemeenteraad Zuidplas 2014,1892,Zuidplas,2014-03-19,Stembureau Zorgcentrum  Beth-San,1892::SB21,2751 EE,1471,1096,2,2,0,0,0,932,168,0,0,0,0,0,0,1100,96,739,82,37,68,39,17,18
,Zuidplas,GR2014_Zuidplas,Gemeenteraad Zuidplas 2014,1892,Zuidplas,2014-03-19,Stembureau Dorpshuis Op Moer,1892::SB22,2751 AW,1496,940,3,4,0,0,0,822,125,0,0,0,0,0,0,947,95,551,97,51,58,59,19,10
,Zuidplas,GR2014_Zuidplas,Gemeenteraad Zuidplas 2014,1892,Zuidplas,2014-03-19,Stembureau Zorgcentrum Moerdregt,1892::SB31,2841 NA,2415,1471,7,6,0,0,0,1320,164,0,0,0,0,0,0,1484,277,232,221,174,213,209,103,42
,Zuidplas,GR2014_Zuidplas,Gemeenteraad Zuidplas 2014,1892,Zuidplas,2014-03-19,Stembureau Kantine Korfbalver. IJsselvogels,1892::SB32,2841 EB,2104,952,2,7,0,0,0,848,113,0,0,0,0,0,0,961,201,201,112,71,128,166,59,14
,Zuidplas,GR2014_Zuidplas,Gemeenteraad Zuidplas 2014,1892,Zuidplas,2014-03-19,Stembureau Historische vereniging Moordrecht,1892::SB33,2841 BN,1916,921,2,1,0,0,0,845,79,0,0,0,0,0,0,924,194,141,160,105,131,116,57,17
,Zuidplas,GR2014_Zuidplas,Gemeenteraad Zuidplas 2014,1892,Zuidplas,2014-03-19,Stembureau Mobiel stembureau,1892::SB41,,0,325,0,0,0,0,0,291,34,0,0,0,0,0,0,325,68,42,75,42,50,34,7,7
